update_date,non_comm_long,non_comm_short,non_comm_arb,comm_long,comm_short,open interest
1991/12/31,1233,14487,1003,27961,14108,43334
1992/1/15,1042,16046,563,33291,16167,48927
1992/1/31,1933,10073,229,29098,22790,46302
1992/2/14,5109,5964,101,26410,28988,49150
1992/2/28,11686,3543,412,20835,34837,51533
1992/3/13,8039,2223,532,21361,32405,47335
1992/3/31,8441,1827,280,21038,32748,46447
1992/4/15,4087,2008,654,22462,26428,44029
1992/4/30,4002,2471,237,21413,24921,40454
1992/5/15,5912,1515,622,19352,24821,40309
1992/5/29,6421,1218,477,17069,24237,38295
1992/6/15,13870,1577,506,14271,33638,48812
1992/6/30,18260,2045,139,14464,33732,48170
1992/7/15,17238,1493,102,14801,33498,48528
1992/7/31,12471,1124,383,14407,26241,40746
1992/8/14,7613,2005,914,15438,19116,34877
1992/8/31,6937,1157,884,14469,21010,34574
1992/9/15,5276,3890,393,18993,18470,35459
1992/9/30,4084,6896,581,24099,19245,39524
1992/10/6,3177,8929,435,25643,18306,40174
1992/10/13,3157,9802,433,26724,18997,41838
1992/10/20,3527,9948,433,25174,18424,42150
1992/10/27,2863,10957,333,27243,18920,44176
1992/11/3,2962,8240,0,23673,19036,40383
1992/11/10,1935,10740,126,27975,20614,46270
1992/11/17,1664,10072,0,27752,20434,45871
1992/11/24,1902,10617,0,28206,21089,47315
1992/12/1,1581,7825,0,26203,23243,44130
1992/12/8,1849,5615,0,26464,26579,44777
1992/12/15,1918,4719,0,27681,28631,45901
1992/12/22,3622,2763,0,25110,31851,45952
1992/12/29,3992,1434,0,24896,33907,45944
1993/1/5,6834,388,111,21769,34906,46291
1993/1/12,2840,363,244,26469,34824,46213
1993/1/19,735,1273,278,29267,34427,46789
1993/1/26,719,1696,400,30257,36351,49269
1993/2/2,844,1734,282,29430,34902,48350
1993/2/9,1409,2108,250,27236,34914,48241
1993/2/16,1198,2471,373,29092,34610,48591
1993/2/23,929,3476,292,30659,32106,48090
1993/3/2,1656,11378,470,34430,24716,51747
1993/3/9,1469,10991,289,32722,24076,51318
1993/3/16,1240,6107,284,28340,26991,46740
1993/3/23,789,4952,282,27896,27990,45687
1993/3/30,1402,5366,258,28020,27505,45376
1993/4/6,1417,8936,0,29287,24195,47768
1993/4/13,612,9268,101,33024,27471,51486
1993/4/20,2026,9654,103,35184,30163,55101
1993/4/27,702,8380,142,31887,28175,50918
1993/5/4,1646,9269,154,31517,27407,51912
1993/5/11,3041,9695,173,29025,27631,51695
1993/5/18,3264,9284,0,28856,29248,51787
1993/5/25,5623,8401,103,28724,32696,54846
1993/6/1,6444,9185,0,30150,33206,55967
1993/6/8,7034,6263,0,28304,37534,55704
1993/6/15,7584,5243,154,27637,38842,56337
1993/6/22,7752,4975,0,29506,41129,58201
1993/6/29,8636,3487,131,28737,40881,57535
1993/7/6,10907,2383,358,24668,41785,55363
1993/7/13,9108,2935,548,26106,37689,54923
1993/7/20,7824,2991,898,27543,37679,55066
1993/7/27,5481,3032,1057,27984,36720,53950
1993/8/3,5976,2162,989,28980,38589,54028
1993/8/10,5271,3741,606,32284,37010,56676
1993/8/17,4433,5078,587,32760,33989,54639
1993/8/24,4583,4041,637,30950,35806,55012
1993/8/31,4544,5090,203,31338,33143,50976
1993/9/7,6045,4320,32,27679,32264,49694
1993/9/14,4250,9646,5,32589,25445,52483
1993/9/21,5287,12441,114,38021,30527,59836
1993/9/28,4678,13600,5,38714,28480,60353
1993/10/5,7971,13874,5,30838,25176,57868
1993/10/12,7975,14035,5,29585,25198,56653
1993/10/19,6848,14580,5,29907,24318,55638
1993/10/26,7192,14423,129,30218,25369,57924
1993/11/2,7943,13932,227,28499,27527,58298
1993/11/9,8772,11768,314,30938,35417,61957
1993/11/16,9557,11684,276,31290,37874,64968
1993/11/23,8434,11180,321,34915,41973,67945
1993/11/30,8359,10724,199,35644,42249,67148
1993/12/7,12740,6083,119,30392,52164,70752
1993/12/14,14359,3874,385,27428,51669,69195
1993/12/21,14442,4399,393,26896,51180,68834
1993/12/28,14229,4554,374,26177,49854,68178
1994/1/4,15637,4831,282,25221,48787,67462
1994/1/11,12646,5623,466,25642,44058,65968
1994/1/18,17219,6268,290,25005,47380,66945
1994/1/25,16803,7140,201,21209,42097,63470
1994/2/1,18443,7631,111,19065,42988,64129
1994/2/8,19777,7005,44,20798,48833,69351
1994/2/15,15608,5694,442,18774,45134,66116
1994/2/22,15646,5857,699,17136,41186,63274
1994/3/1,15545,3527,90,19964,41809,59722
1994/3/8,19948,3689,296,19534,44111,63469
1994/3/15,21497,3039,948,18302,45601,65623
1994/3/22,22877,6343,828,19955,46961,71288
1994/3/29,21551,6076,889,18791,43528,68602
1994/4/5,14503,3665,917,19165,38611,60617
1994/4/12,11815,4125,563,19484,37489,56887
1994/4/19,12726,4093,482,18031,37779,56587
1994/4/26,14524,3801,1111,19338,41757,61454
1994/5/3,20172,2561,268,18813,49886,67201
1994/5/10,22034,3387,100,15608,46904,65121
1994/5/17,23469,4011,158,16112,42914,61199
1994/5/24,25440,4208,133,13476,42036,60549
1994/5/31,25450,4936,472,14104,43455,62805
1994/6/7,22564,3926,677,15377,41639,59847
1994/6/14,25016,5300,232,16190,41518,62433
1994/6/21,25247,3026,150,15064,44449,61606
1994/6/28,23161,1703,778,14498,40851,58055
1994/7/5,19998,2048,150,15956,40668,54850
1994/7/12,15623,1733,232,16108,35169,50378
1994/7/19,19811,3946,493,12963,35558,53738
1994/7/26,17304,2956,462,13546,31598,48937
1994/8/2,17046,2920,244,14725,31588,48692
1994/8/9,12787,3602,140,18701,29464,46120
1994/8/16,12960,4242,0,17353,27935,46853
1994/8/23,12591,3993,393,16322,26477,45047
1994/8/30,15534,2902,284,15513,31199,47600
1994/9/6,19363,3892,174,14844,34509,51584
1994/9/13,21332,4369,10,14300,37088,55223
1994/9/20,23239,4608,565,15615,40934,59696
1994/9/27,22666,3839,493,15505,41550,59019
1994/10/4,16275,3437,470,20269,39177,55077
1994/10/11,15725,3654,782,23000,41626,58000
1994/10/18,15529,3464,474,23682,42074,57867
1994/10/25,17259,3230,627,23666,45080,60272
1994/11/1,19387,5717,929,21496,43268,61388
1994/11/8,18843,5754,1068,21471,41325,61485
1994/11/15,18928,5039,243,21605,40419,61272
1994/11/22,18031,3664,424,16930,35488,56132
1994/11/29,18458,2753,1463,15434,34946,53817
1994/12/6,17890,3928,1900,14404,32151,52106
1994/12/13,15531,4518,946,15237,29611,49992
1994/12/20,15883,3795,255,16236,31341,50928
1994/12/27,15784,3715,149,16456,32393,50563
1995/1/3,14981,3467,12,15960,30910,49465
1995/1/10,14780,3632,515,18485,33025,53004
1995/1/17,14688,4570,249,19648,32773,53685
1995/1/24,16769,5672,154,19438,34875,56125
1995/1/31,11999,6691,173,20606,28478,51134
1995/2/7,7853,7206,212,26479,27569,51466
1995/2/14,7384,5938,307,26232,27046,50979
1995/2/21,7111,5467,744,26658,26934,51414
1995/2/28,7110,6408,472,27590,27176,50122
1995/3/7,6940,4751,497,23929,25200,45962
1995/3/14,7509,3911,773,21517,26488,45816
1995/3/21,8133,3927,831,21315,26007,44901
1995/3/28,13525,7105,590,17710,27814,49039
1995/4/4,14617,6701,659,14836,27609,49063
1995/4/11,14538,5577,709,12786,26276,45839
1995/4/18,9825,3943,780,16759,24345,43784
1995/4/25,6774,11314,723,28876,21510,50484
1995/5/2,5289,11685,646,30085,20357,48544
1995/5/9,4974,12902,820,32847,18810,51611
1995/5/16,4600,14659,933,34529,18809,53070
1995/5/23,5294,10001,714,28872,20893,52418
1995/5/30,4440,6358,753,24447,20857,42941
1995/6/6,9269,7084,808,19231,23227,46811
1995/6/13,10989,7416,881,17708,22500,44772
1995/6/20,19162,8941,534,15027,28461,52846
1995/6/27,17812,4948,858,11401,28837,46794
1995/7/3,16883,2142,1015,13092,31244,46452
1995/7/11,14410,2109,822,12293,29068,44348
1995/7/18,16134,3150,651,10631,28124,44337
1995/7/25,5969,2198,602,16404,21511,36466
1995/8/1,5306,3506,552,16045,18510,34974
1995/8/8,6235,2492,533,14030,20132,34693
1995/8/15,9749,3099,502,12274,21933,37610
1995/8/22,12788,2935,644,10046,24730,40504
1995/8/29,12617,3031,963,10692,25261,40077
1995/9/5,7427,1446,739,10967,20438,33854
1995/9/12,7251,3032,607,10498,17431,33420
1995/9/19,6161,3955,789,14140,17407,35194
1995/9/26,6437,2818,642,10641,16534,31642
1995/10/3,6975,2913,662,11092,15740,31510
1995/10/10,7336,5353,572,13758,13055,35063
1995/10/17,7129,7532,591,15867,14493,37768
1995/10/24,8523,9097,706,15866,13677,39530
1995/10/31,8297,7688,729,14994,14385,38522
1995/11/7,7290,3042,771,13010,19508,38990
1995/11/14,7414,2920,1194,12673,19961,38647
1995/11/21,7923,2587,1330,13406,21771,39945
1995/11/28,6398,2547,1331,14009,21539,38088
1995/12/5,6529,3127,923,14330,21445,37490
1995/12/12,6433,3973,789,13191,16930,35969
1995/12/19,6659,2602,663,10760,19072,35021
1995/12/26,8351,3366,777,10652,18518,35136
1996/1/2,11968,6853,691,12275,18188,39746
1996/1/9,12642,11003,833,17233,17272,46324
1996/1/16,13604,13800,1515,17049,15930,48590
1996/1/23,13944,13104,1691,17970,17737,49898
1996/1/30,12442,11781,1759,19075,19991,50323
1996/2/6,9369,8472,1503,17433,20095,46107
1996/2/13,7609,8003,1466,18857,19569,45320
1996/2/20,7329,8945,1454,21138,20611,46427
1996/2/27,5777,7605,606,19054,19694,43525
1996/3/5,6209,4650,552,17208,22261,40673
1996/3/12,8186,4566,0,18066,25257,43615
1996/3/19,8451,3332,217,16129,26433,42791
1996/3/26,9337,3704,274,17461,27206,44125
1996/4/2,7977,3521,258,18343,25722,43107
1996/4/9,8269,3402,297,17552,24131,42318
1996/4/16,11930,1778,9,13955,30104,45671
1996/4/23,12994,2486,235,16760,34272,50367
1996/4/30,14417,3719,858,17079,33425,51471
1996/5/7,16662,5004,687,16946,34478,53241
