index,update_date,open,return_rate,volume,high,low,invest_signal,min5,max5,out,record,accu_return,max_draw
2015-02-05,2015-02-05,473.57,-0.00732157022901,704600.0,475.91,467.98,0.5,466.59,482.67,1.0,1,-0.00732157022901,
2015-02-06,2015-02-06,473.52,-0.000105586586378,498500.0,477.13,469.55,0.5,467.04,482.67,1.0,2,-0.00742715681539,0.000105586586378
2015-02-09,2015-02-09,474.18,0.00139284606247,377900.0,475.52,470.89,1.0,467.04,482.67,1.0,2,-0.00603431075292,-0.00128725947609
2015-02-10,2015-02-10,474.79,0.0012856045692,149600.0,477.78,473.17,1.0,467.04,482.67,1.0,2,-0.00474870618372,-0.0012856045692
2015-02-11,2015-02-11,476.18,0.00292333299662,248600.0,480.47,474.53,1.0,467.04,482.67,1.0,2,-0.0018253731871,-0.00292333299662
2015-02-12,2015-02-12,474.83,-0.00283908877256,223000.0,478.44,472.86,1.0,467.98,480.47,1.0,2,-0.00466446195966,0.00283908877256
2015-02-13,2015-02-13,477.49,0.00558637205492,653600.0,488.83,475.83,1.0,469.55,480.47,1.0,2,0.000921910095258,-0.00274728328236
2015-02-16,2015-02-16,487.79,0.0213417680736,397500.0,494.37,483.84,1.0,470.89,488.83,1.0,2,0.0222636781688,-0.0213417680736
2015-02-17,2015-02-17,491.02,0.00659987479582,218500.0,492.61,484.41,1.0,472.86,494.37,1.0,2,0.0288635529646,-0.00659987479582
2015-02-25,2015-02-25,484.39,-0.0135944927924,642900.0,486.07,475.11,1.0,472.86,494.37,1.0,2,0.0152690601722,0.0135944927924
2015-02-26,2015-02-26,478.81,-0.0115865083571,457900.0,485.86,475.88,1.0,472.86,494.37,1.0,2,0.00368255181506,0.0251810011496
2015-02-27,2015-02-27,484.72,0.0122675456238,573500.0,487.39,479.88,1.0,475.11,494.37,1.0,2,0.0159500974389,0.0129134555258
2015-03-02,2015-03-02,481.82,-0.00600080431711,796000.0,482.85,474.58,1.0,475.11,494.37,1.0,2,0.00994929312177,0.0189142598429
2015-03-03,2015-03-03,481.67,-0.000311368049926,432600.0,483.67,477.69,1.0,474.58,492.61,1.0,2,0.00963792507185,0.0192256278928
2015-03-04,2015-03-04,481.63,-8.30478563749e-05,449300.0,482.7,474.15,1.0,474.58,487.39,1.0,2,0.00955487721547,0.0193086757492
2015-03-05,2015-03-05,464.22,-0.0368176066239,1144600.0,473.71,457.98,1.0,474.15,487.39,1.0,2,-0.0272627294084,0.0561262823731
2015-06-04,2015-06-04,435.62,-0.00925414183452,2028600.0,440.37,431.68,0.5,420.44,444.33,1.0,1,-0.036516871243,0.0653804242076
2015-06-05,2015-06-05,437.2,0.0036204526153,1658100.0,441.24,432.63,1.0,420.44,444.33,1.0,2,-0.0328964186277,0.0617599715923
2015-06-08,2015-06-08,433.96,-0.00743839234813,982200.0,436.13,429.69,1.0,430.88,444.33,1.0,2,-0.0403348109758,0.0691983639404
2015-06-09,2015-06-09,433.96,0.0,1548400.0,438.2,429.52,1.0,429.69,444.33,1.0,2,-0.0403348109758,0.0691983639404
2015-06-10,2015-06-10,437.07,0.00714100137976,2472400.0,448.28,432.7,1.0,429.52,442.58,1.0,2,-0.033193809596,0.0620573625607
2015-06-11,2015-06-11,446.92,0.0222862423451,3141500.0,455.0,445.38,1.0,429.52,448.28,1.0,2,-0.0109075672509,0.0397711202155
2015-06-12,2015-06-12,445.59,-0.00298036096959,2741600.0,451.85,441.7,1.0,429.52,455.0,1.0,2,-0.0138879282205,0.0427514811851
