update_date,close,position_all,net_position,pos_ratio,pos_ratio_ma10,pos_ratio_ma20
2013-10-18,977.0,65042.0,3155.0,0.0485071184773,,
2013-10-21,969.0,68130.0,3491.0,0.0512402759431,,
2013-10-22,948.0,76004.0,2090.0,0.0274985527078,,
2013-10-23,939.0,81162.0,1584.0,0.0195165225105,,
2013-10-24,926.0,87872.0,161.0,0.00183221048798,,
2013-10-25,918.0,86472.0,-1543.0,-0.0178439263577,,
2013-10-28,923.0,93480.0,-1101.0,-0.0117779204108,,
2013-10-29,921.0,99058.0,-871.0,-0.00879282844394,,
2013-10-30,924.0,91262.0,-961.0,-0.0105301220661,,
2013-10-31,922.0,84820.0,-5321.0,-0.0627328460269,0.00369170368212,
2013-11-04,950.0,122298.0,-842.0,-0.00688482231925,-0.00184749039753,
2013-11-05,946.0,121942.0,-1916.0,-0.0157123878565,-0.00854275677749,
2013-11-06,944.0,123650.0,-2065.0,-0.0167003639304,-0.0129626484413,
2013-11-07,945.0,124958.0,-1127.0,-0.00901903039421,-0.0158162037318,
2013-11-08,939.0,120532.0,-4359.0,-0.0361646699632,-0.0196158917769,
2013-11-11,942.0,112342.0,-5022.0,-0.0447027825746,-0.0223017773986,
2013-11-12,943.0,107938.0,-6245.0,-0.0578572884434,-0.0269097142019,
2013-11-13,943.0,110812.0,-4452.0,-0.0401761542071,-0.0300480467782,
2013-11-14,937.0,103446.0,-4795.0,-0.0463526864258,-0.0336303032141,
2013-11-15,931.0,102752.0,-3852.0,-0.0374883213952,-0.031105850751,-0.0137070735344
2013-11-18,932.0,99378.0,-5062.0,-0.0509368270643,-0.0355110512255,-0.0186792708115
2013-11-19,942.0,106904.0,-3732.0,-0.034909825638,-0.0374307950036,-0.0229867758906
2013-11-20,942.0,104228.0,-4095.0,-0.0392888667153,-0.0396896452821,-0.0263261468617
2013-11-21,932.0,105090.0,-5334.0,-0.0507564944333,-0.043863391686,-0.0298397977089
2013-11-22,931.0,106092.0,-2876.0,-0.0271085472986,-0.0429577794196,-0.0312868355982
2013-11-25,933.0,104188.0,-3649.0,-0.0350232272431,-0.0419898238864,-0.0321458006425
2013-11-26,941.0,108162.0,-6493.0,-0.060030324883,-0.0422071275304,-0.0345584208661
2013-11-27,936.0,106536.0,-8171.0,-0.0766970789217,-0.0458592200018,-0.03795363339
2013-11-28,939.0,105728.0,-8392.0,-0.0793734866828,-0.0491613000275,-0.0413958016208
2013-11-29,939.0,106418.0,-8814.0,-0.0828243342292,-0.0536949013109,-0.0424003760309
2013-12-02,936.0,108744.0,-7089.0,-0.0651898035754,-0.055120198962,-0.0453156250938
2013-12-03,939.0,105336.0,-7495.0,-0.0711532619427,-0.0587445425925,-0.0480876687981
2013-12-04,952.0,114382.0,-10974.0,-0.0959416691437,-0.0644098228354,-0.0520497340587
2013-12-05,945.0,114538.0,-12864.0,-0.112312071103,-0.0705653805023,-0.0572143860942
2013-12-06,941.0,108430.0,-12136.0,-0.111924744075,-0.0790470001799,-0.0610023897997
2013-12-09,945.0,112378.0,-11927.0,-0.106132872982,-0.0861579647538,-0.0640738943201
2013-12-10,942.0,109726.0,-11038.0,-0.100596030111,-0.0902145352767,-0.0662108314035
2013-12-11,937.0,108132.0,-7490.0,-0.0692671919506,-0.0894715465796,-0.0676653832907
2013-12-12,930.0,108944.0,-6982.0,-0.064087971802,-0.0879429950915,-0.0685521475595
2013-12-13,914.0,116740.0,-5629.0,-0.0482182628062,-0.0844823879492,-0.0690886446301
2013-12-16,918.0,121312.0,-5118.0,-0.0421887364811,-0.0821822812398,-0.0686512401009
2013-12-17,910.0,124712.0,-4385.0,-0.0351610109693,-0.0785830561424,-0.0686637993675
2013-12-18,906.0,128188.0,-2142.0,-0.0167098324336,-0.0706598724714,-0.0675348476534
2013-12-19,908.0,128266.0,-2008.0,-0.0156549670217,-0.0609941620633,-0.0657797712828
2013-12-20,905.0,127190.0,-2255.0,-0.0177293812407,-0.0515746257799,-0.0653108129799
2013-12-23,893.0,135724.0,-184.0,-0.00135569243465,-0.0410969077251,-0.0636274362395
2013-12-24,900.0,121156.0,1482.0,0.0122321634917,-0.0298140883648,-0.0600143118207
2013-12-25,903.0,114208.0,1110.0,0.00971910899412,-0.0219154582703,-0.055693502425
2013-12-26,896.0,124116.0,3538.0,0.0285055915434,-0.0126561019358,-0.0502995485136
2013-12-27,907.0,107922.0,4096.0,0.0379533366691,-0.00403894198827,-0.0442606649687
2013-12-30,911.0,104050.0,3467.0,0.0333205189813,0.00351198355797,-0.0393351488409
2013-12-31,911.0,98646.0,1999.0,0.0202643797012,0.00905452262501,-0.0347642667587
2014-01-02,907.0,107880.0,1326.0,0.0122914349277,0.0119546493611,-0.0293526115551
2014-01-03,902.0,122358.0,1541.0,0.0125941908171,0.014779565145,-0.0231072984591
2014-01-06,893.0,142642.0,1367.0,0.00958343264957,0.017510846534,-0.0170318896229
2014-01-07,896.0,149034.0,521.0,0.00349584658534,0.017996000436,-0.0115504536445
2014-01-08,892.0,157264.0,2522.0,0.0160367280496,0.0183764568918,-0.00571881573649
2014-01-09,888.0,161606.0,911.0,0.00563716693687,0.0179682626861,-0.00197359779212
2014-01-10,881.0,163378.0,1323.0,0.00809778550356,0.0159274820821,0.00163569007316
2014-01-13,871.0,178106.0,1766.0,0.00991544361223,0.0131236927764,0.00454237539409
2014-01-14,880.0,178102.0,-1997.0,-0.0112126758824,0.00867037329008,0.00609117842403
2014-01-15,879.0,184704.0,-3087.0,-0.0167132276507,0.00497261255489,0.00701356758995
2014-01-16,879.0,186510.0,-6842.0,-0.0366843600879,7.50330533313e-05,0.00601484120724
2014-01-17,876.0,184412.0,-5102.0,-0.0276663123875,-0.00395101726713,0.00541427393895
2014-01-20,861.0,195022.0,-4079.0,-0.0209155890105,-0.00700091943313,0.00525496355046
2014-01-21,847.0,208510.0,-5241.0,-0.0251354851086,-0.00986405260253,0.00406597391676
2014-01-22,852.0,208986.0,-4928.0,-0.0235805269252,-0.0138257781,0.00227533939591
2014-01-23,878.0,194104.0,-4958.0,-0.0255430078721,-0.0169437955809,0.0005122335526
2014-01-24,877.0,176300.0,-4493.0,-0.0254849688032,-0.0203020710116,-0.00218729446473
2014-01-27,864.0,184670.0,-3695.0,-0.0200086641035,-0.0232944817832,-0.00508539450336
2014-01-28,857.0,184348.0,-4327.0,-0.023471911819,-0.0245204053768,-0.00792501604337
2014-01-29,866.0,183982.0,-4488.0,-0.0243936906871,-0.0252884516805,-0.0101579195628
2014-01-30,868.0,181866.0,-5199.0,-0.0285869816238,-0.0244787138341,-0.0122018403904
2014-02-07,856.0,168784.0,-2092.0,-0.0123945397668,-0.022951536572,-0.0134512769196
2014-02-10,854.0,174428.0,-1147.0,-0.00657577911803,-0.0215175555827,-0.0142592375079
2014-02-11,848.0,179890.0,459.0,0.00255155928623,-0.0187488511433,-0.0143064518729
2014-02-12,853.0,178688.0,179.0,0.00100174606017,-0.0162906238447,-0.0150582009724
2014-02-13,854.0,175878.0,680.0,0.00386631642388,-0.0133496914151,-0.015146743498
2014-02-14,861.0,177852.0,-82.0,-0.00046105750849,-0.0108473002856,-0.0155746856486
2014-02-17,873.0,160886.0,-2561.0,-0.0159181035019,-0.0104382442255,-0.0168663630043
2014-02-18,860.0,156626.0,-2830.0,-0.0180685199137,-0.00989790503495,-0.0172091552059
2014-02-19,864.0,158376.0,-2718.0,-0.0171616911653,-0.00917470508277,-0.0172315783816
2014-02-20,852.0,157148.0,-1940.0,-0.0123450505256,-0.00755051197295,-0.0160146129035
2014-02-21,851.0,156434.0,-3168.0,-0.0202513520079,-0.00833619319706,-0.0156438648845
2014-02-24,821.0,169866.0,-4113.0,-0.0242132033485,-0.0100999356201,-0.0158087456014
2014-02-25,817.0,174898.0,-4707.0,-0.0269128291919,-0.0130463744679,-0.0158976128056
2014-02-26,820.0,178426.0,-9084.0,-0.0509118626209,-0.018237735336,-0.0172641795904
2014-02-27,818.0,186136.0,-6619.0,-0.0355600206301,-0.0221803690414,-0.0177650302283
2014-02-28,808.0,191914.0,-7620.0,-0.0397052846588,-0.0261047917565,-0.018476046021
2014-03-03,799.0,201976.0,-7826.0,-0.0387471778825,-0.0283876991945,-0.01941297171
