,DCE豆油,,,,,
,Y.DCE,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-03-08,5778.0000,5860.0000,5738.0000,5776.0000,467768.0000,0.1387
2016-03-09,5800.0000,5806.0000,5714.0000,5804.0000,264068.0000,0.1380
2016-03-10,5820.0000,5872.0000,5780.0000,5790.0000,478830.0000,0.5907
2016-03-11,5790.0000,5974.0000,5770.0000,5928.0000,1110758.0000,1.8557
2016-03-14,5926.0000,5992.0000,5882.0000,5884.0000,956272.0000,-0.3050
2016-03-15,5880.0000,5920.0000,5850.0000,5870.0000,651146.0000,-1.1119
2016-03-16,5872.0000,5918.0000,5858.0000,5866.0000,597590.0000,-0.3059
2016-03-17,5858.0000,5978.0000,5858.0000,5976.0000,667650.0000,1.5291
2016-03-18,5986.0000,6076.0000,5978.0000,6020.0000,943752.0000,1.5862
2016-03-21,6020.0000,6056.0000,5972.0000,6040.0000,757116.0000,0.1991
2016-03-22,6038.0000,6108.0000,6026.0000,6062.0000,882500.0000,0.8317
2016-03-23,6066.0000,6094.0000,6012.0000,6018.0000,850026.0000,-0.8567
2016-03-24,6000.0000,6010.0000,5924.0000,5930.0000,675006.0000,-2.0482
2016-03-25,5916.0000,6010.0000,5912.0000,6006.0000,708526.0000,0.7718
2016-03-28,6012.0000,6044.0000,5980.0000,5994.0000,725118.0000,0.4693
2016-03-29,6012.0000,6058.0000,5984.0000,6008.0000,742552.0000,-0.0333
2016-03-30,6058.0000,6058.0000,5972.0000,6002.0000,730310.0000,-0.2659
2016-03-31,5994.0000,6040.0000,5976.0000,6040.0000,561038.0000,0.3989
2016-04-01,6018.0000,6182.0000,6006.0000,6170.0000,1194436.0000,2.7306
2016-04-05,6158.0000,6182.0000,6116.0000,6168.0000,529776.0000,0.9823
2016-04-06,6148.0000,6152.0000,6044.0000,6058.0000,740424.0000,-1.5280
2016-04-07,6038.0000,6094.0000,6034.0000,6078.0000,484644.0000,-0.2298
2016-04-08,6060.0000,6066.0000,6012.0000,6036.0000,481016.0000,-0.5929
2016-04-11,6038.0000,6130.0000,6024.0000,6046.0000,878452.0000,0.2321
2016-04-12,6040.0000,6094.0000,6030.0000,6072.0000,667982.0000,0.0329
2016-04-13,6068.0000,6268.0000,6062.0000,6130.0000,1265764.0000,1.0884
2016-04-14,6120.0000,6188.0000,6118.0000,6166.0000,646408.0000,0.3581
2016-04-15,6172.0000,6222.0000,6120.0000,6120.0000,847348.0000,-0.5525
2016-04-18,6098.0000,6156.0000,6078.0000,6150.0000,795482.0000,-0.2271
2016-04-19,6176.0000,6240.0000,6156.0000,6200.0000,839470.0000,1.3734
2016-04-20,6220.0000,6358.0000,6202.0000,6296.0000,1173082.0000,1.5812
2016-04-21,6266.0000,6486.0000,6242.0000,6400.0000,1239638.0000,2.0083
2016-04-22,6402.0000,6426.0000,6252.0000,6302.0000,999016.0000,-1.0053
2016-04-25,6280.0000,6392.0000,6238.0000,6290.0000,832192.0000,-0.5062
2016-04-26,6288.0000,6372.0000,6250.0000,6296.0000,801950.0000,-0.1902
2016-04-27,6360.0000,6360.0000,6278.0000,6300.0000,637692.0000,-0.2217
2016-04-28,6278.0000,6290.0000,6136.0000,6190.0000,864360.0000,-1.9639
2016-04-29,6200.0000,6252.0000,6136.0000,6142.0000,650746.0000,-1.1587
2016-05-03,6100.0000,6178.0000,6082.0000,6172.0000,495396.0000,-0.2263
2016-05-04,6142.0000,6186.0000,6094.0000,6170.0000,784514.0000,0.6197
2016-05-05,6196.0000,6214.0000,6156.0000,6198.0000,503414.0000,0.8133
2016-05-06,6216.0000,6234.0000,6044.0000,6104.0000,744504.0000,-1.3256
2016-05-09,6120.0000,6272.0000,6108.0000,6236.0000,974500.0000,1.5635
2016-05-10,6226.0000,6248.0000,6122.0000,6226.0000,738870.0000,0.3546
2016-05-11,6214.0000,6424.0000,6200.0000,6384.0000,1125284.0000,3.2676
2016-05-12,6356.0000,6370.0000,6238.0000,6244.0000,1033786.0000,-1.4520
2016-05-13,6238.0000,6260.0000,6044.0000,6044.0000,1050096.0000,-3.9720
2016-05-16,6000.0000,6064.0000,5938.0000,5974.0000,840246.0000,-2.0977
2016-05-17,6012.0000,6076.0000,5998.0000,6068.0000,527728.0000,0.9987
2016-05-18,6058.0000,6148.0000,5924.0000,6000.0000,1029326.0000,-0.5635
2016-05-19,5996.0000,6042.0000,5902.0000,5912.0000,783540.0000,-2.3456
2016-05-20,5856.0000,5932.0000,5814.0000,5902.0000,678872.0000,-1.2713
2016-05-23,5902.0000,5930.0000,5680.0000,5738.0000,874884.0000,-2.3818
2016-05-24,5744.0000,5842.0000,5712.0000,5806.0000,675760.0000,0.2417
2016-05-25,5828.0000,5848.0000,5782.0000,5828.0000,499658.0000,0.8654
2016-05-26,5870.0000,5934.0000,5862.0000,5922.0000,599138.0000,1.7876
2016-05-27,5938.0000,5958.0000,5832.0000,5890.0000,571734.0000,-0.1018
2016-05-30,5880.0000,5994.0000,5862.0000,5984.0000,521442.0000,1.6995
2016-05-31,6008.0000,6020.0000,5888.0000,5890.0000,550944.0000,-0.8751
2016-06-01,5920.0000,5956.0000,5886.0000,5914.0000,510404.0000,-0.6718
2016-06-02,5896.0000,6024.0000,5866.0000,6016.0000,602582.0000,1.5530
2016-06-03,6030.0000,6118.0000,6022.0000,6118.0000,663800.0000,2.5822
2016-06-06,6140.0000,6184.0000,6070.0000,6174.0000,495524.0000,1.7804
2016-06-07,6196.0000,6240.0000,6106.0000,6232.0000,656206.0000,1.6639
2016-06-08,6196.0000,6224.0000,6138.0000,6168.0000,531432.0000,-0.0972
2016-06-13,6276.0000,6280.0000,6122.0000,6132.0000,473150.0000,-0.7124
2016-06-14,6114.0000,6172.0000,6038.0000,6076.0000,557338.0000,-2.1893
2016-06-15,6098.0000,6122.0000,5996.0000,6000.0000,507696.0000,-1.8003
2016-06-16,6000.0000,6032.0000,5902.0000,5912.0000,528742.0000,-2.3778
