,DCE豆油,,,,,
2016-06-17,5910.0000,5952.0000,5828.0000,5946.0000,566880.0000,-0.2684
2016-06-20,5966.0000,5986.0000,5906.0000,5944.0000,486024.0000,0.8483
2016-06-21,5928.0000,6044.0000,5914.0000,5958.0000,694908.0000,0.3368
2016-06-22,5940.0000,6030.0000,5916.0000,6012.0000,432888.0000,0.4008
2016-06-23,5998.0000,6054.0000,5958.0000,5988.0000,488782.0000,0.1338
2016-06-24,6006.0000,6034.0000,5898.0000,5910.0000,590776.0000,-1.5984
2016-06-27,5906.0000,6044.0000,5888.0000,6034.0000,413602.0000,0.8693
2016-06-28,6020.0000,6130.0000,6012.0000,6100.0000,619484.0000,1.9385
2016-06-29,6100.0000,6142.0000,6036.0000,6072.0000,490330.0000,-0.1316
2016-06-30,6080.0000,6166.0000,6042.0000,6162.0000,577512.0000,1.1823
2016-07-01,6150.0000,6296.0000,6136.0000,6226.0000,765168.0000,1.9319
2016-07-04,6234.0000,6470.0000,6230.0000,6390.0000,1015202.0000,2.7001
2016-07-05,6420.0000,6498.0000,6126.0000,6310.0000,1035318.0000,-1.0351
2016-07-06,6500.0000,6514.0000,6246.0000,6246.0000,422410.0000,-3.9963
2016-07-07,6190.0000,6210.0000,6060.0000,6112.0000,521000.0000,-3.6266
2016-07-08,6150.0000,6200.0000,6028.0000,6106.0000,401040.0000,-0.5537
2016-07-11,6132.0000,6232.0000,6122.0000,6192.0000,310234.0000,1.4085
2016-07-12,6228.0000,6234.0000,6126.0000,6172.0000,324492.0000,0.0000
2016-07-13,6160.0000,6320.0000,6154.0000,6280.0000,415434.0000,1.5196
2016-07-14,6312.0000,6340.0000,6234.0000,6328.0000,423268.0000,1.2804
2016-07-15,6332.0000,6354.0000,6222.0000,6302.0000,476538.0000,0.1589
2016-07-18,6280.0000,6346.0000,6246.0000,6282.0000,601716.0000,-0.0636
2016-07-19,6270.0000,6284.0000,6172.0000,6224.0000,601126.0000,-1.1436
2016-07-20,6222.0000,6336.0000,6188.0000,6324.0000,646134.0000,1.5740
2016-07-21,6308.0000,6352.0000,6274.0000,6288.0000,778844.0000,0.6402
2016-07-22,6296.0000,6318.0000,6148.0000,6182.0000,710566.0000,-2.0285
2016-07-25,6170.0000,6190.0000,6084.0000,6128.0000,542228.0000,-1.8578
2016-07-26,6088.0000,6112.0000,6022.0000,6088.0000,557420.0000,-0.7823
2016-07-27,6084.0000,6132.0000,6072.0000,6084.0000,463556.0000,0.3298
2016-07-28,6106.0000,6118.0000,6054.0000,6064.0000,521748.0000,-0.5249
2016-07-29,6052.0000,6108.0000,6018.0000,6036.0000,649766.0000,-0.7890
2016-08-01,6062.0000,6178.0000,6044.0000,6154.0000,604934.0000,1.5177
2016-08-02,6138.0000,6166.0000,6072.0000,6124.0000,511454.0000,-0.0653
2016-08-03,6130.0000,6172.0000,6112.0000,6156.0000,567872.0000,0.6869
2016-08-04,6210.0000,6218.0000,6124.0000,6178.0000,575860.0000,0.5534
2016-08-05,6200.0000,6204.0000,6134.0000,6136.0000,545866.0000,-0.5833
2016-08-08,6124.0000,6210.0000,6106.0000,6196.0000,558432.0000,0.5518
2016-08-09,6208.0000,6272.0000,6176.0000,6254.0000,558164.0000,1.4930
2016-08-10,6244.0000,6278.0000,6208.0000,6226.0000,446690.0000,-0.0642
2016-08-11,6262.0000,6274.0000,6144.0000,6148.0000,550676.0000,-1.4744
2016-08-12,6150.0000,6214.0000,6140.0000,6204.0000,504490.0000,0.0000
2016-08-15,6198.0000,6368.0000,6160.0000,6342.0000,837174.0000,2.8210
2016-08-16,6352.0000,6390.0000,6324.0000,6376.0000,661766.0000,1.7230
2016-08-17,6382.0000,6416.0000,6330.0000,6382.0000,588618.0000,0.4723
2016-08-18,6400.0000,6468.0000,6370.0000,6418.0000,823048.0000,0.6272
2016-08-19,6392.0000,6446.0000,6372.0000,6416.0000,538506.0000,-0.1245
2016-08-22,6380.0000,6442.0000,6348.0000,6354.0000,512310.0000,-0.8736
2016-08-23,6330.0000,6390.0000,6320.0000,6372.0000,370886.0000,-0.3129
2016-08-24,6400.0000,6444.0000,6384.0000,6418.0000,516328.0000,0.8485
2016-08-25,6416.0000,6420.0000,6264.0000,6326.0000,715824.0000,-1.4335
2016-08-26,6316.0000,6324.0000,6242.0000,6280.0000,456384.0000,-0.9464
2016-08-29,6300.0000,6320.0000,6258.0000,6276.0000,404890.0000,-0.0955
2016-08-30,6266.0000,6314.0000,6246.0000,6290.0000,410350.0000,-0.0318
2016-08-31,6284.0000,6322.0000,6176.0000,6186.0000,654472.0000,-1.5908
2016-09-01,6180.0000,6204.0000,6152.0000,6180.0000,374076.0000,-0.8662
2016-09-02,6182.0000,6236.0000,6164.0000,6196.0000,450896.0000,0.3238
2016-09-05,6226.0000,6296.0000,6216.0000,6264.0000,546498.0000,1.0649
2016-09-06,6268.0000,6340.0000,6258.0000,6322.0000,454730.0000,1.1196
2016-09-07,6302.0000,6318.0000,6262.0000,6284.0000,434782.0000,-0.3489
2016-09-08,6280.0000,6308.0000,6246.0000,6296.0000,462020.0000,0.0954
2016-09-09,6302.0000,6348.0000,6296.0000,6342.0000,519486.0000,0.9551
2016-09-12,6330.0000,6336.0000,6220.0000,6224.0000,496116.0000,-1.5190
2016-09-13,6222.0000,6262.0000,6186.0000,6260.0000,514900.0000,-0.1913
2016-09-14,6218.0000,6222.0000,6098.0000,6106.0000,543394.0000,-1.8012
2016-09-19,6156.0000,6218.0000,6150.0000,6206.0000,267624.0000,0.9762
2016-09-20,6224.0000,6394.0000,6224.0000,6380.0000,1062300.0000,3.1028
2016-09-21,6358.0000,6388.0000,6330.0000,6354.0000,669088.0000,0.2841
2016-09-22,6338.0000,6440.0000,6326.0000,6372.0000,682972.0000,0.2517
2016-09-23,6400.0000,6448.0000,6360.0000,6394.0000,511508.0000,0.2509
2016-09-26,6360.0000,6478.0000,6352.0000,6458.0000,565816.0000,0.8432
2016-09-27,6454.0000,6460.0000,6342.0000,6384.0000,518184.0000,-0.4056
2016-09-28,6348.0000,6374.0000,6294.0000,6318.0000,555188.0000,-1.1577
2016-09-29,6290.0000,6356.0000,6272.0000,6282.0000,509340.0000,-0.6955
2016-09-30,6282.0000,6322.0000,6250.0000,6310.0000,442128.0000,0.0000
2016-10-10,6298.0000,6344.0000,6262.0000,6334.0000,339394.0000,0.7316
2016-10-11,6320.0000,6452.0000,6316.0000,6438.0000,611290.0000,1.9962
2016-10-12,6446.0000,6456.0000,6362.0000,6394.0000,600766.0000,-0.1250
2016-10-13,6410.0000,6462.0000,6302.0000,6314.0000,815948.0000,-1.4977
2016-10-14,6320.0000,6386.0000,6238.0000,6382.0000,627662.0000,-0.0313
2016-10-17,6376.0000,6620.0000,6376.0000,6620.0000,1348414.0000,4.9794
2016-10-18,6642.0000,6666.0000,6566.0000,6624.0000,815342.0000,0.7912
2016-10-19,6570.0000,6718.0000,6514.0000,6686.0000,952176.0000,1.2110
2016-10-20,6680.0000,6738.0000,6630.0000,6630.0000,859546.0000,0.4545
2016-10-21,6624.0000,6664.0000,6516.0000,6572.0000,826544.0000,-1.5873
2016-10-24,6586.0000,6718.0000,6546.0000,6714.0000,721524.0000,1.9745
2016-10-25,6760.0000,6880.0000,6698.0000,6710.0000,1012550.0000,1.2983
2016-10-26,6710.0000,6810.0000,6682.0000,6806.0000,876254.0000,0.5021
2016-10-27,6810.0000,6824.0000,6710.0000,6710.0000,650130.0000,-0.7103
2016-10-28,6706.0000,6770.0000,6666.0000,6758.0000,627524.0000,-0.0592
2016-10-31,6748.0000,6764.0000,6656.0000,6700.0000,632136.0000,-0.2085
2016-11-01,6680.0000,6760.0000,6650.0000,6664.0000,634972.0000,-0.6263
2016-11-02,6648.0000,6694.0000,6578.0000,6616.0000,689622.0000,-1.3126
2016-11-03,6642.0000,6652.0000,6588.0000,6612.0000,415776.0000,-0.3016
2016-11-04,6638.0000,6680.0000,6562.0000,6564.0000,590736.0000,-0.9058
2016-11-07,6556.0000,6682.0000,6534.0000,6654.0000,511476.0000,0.4226
2016-11-08,6678.0000,6754.0000,6626.0000,6742.0000,620364.0000,2.0587
2016-11-09,6756.0000,6772.0000,6614.0000,6654.0000,573954.0000,-0.4488
2016-11-10,6682.0000,6796.0000,6614.0000,6724.0000,936620.0000,0.2385
2016-11-11,6722.0000,6950.0000,6684.0000,6808.0000,1394688.0000,1.6119
2016-11-14,6800.0000,6878.0000,6486.0000,6534.0000,1228308.0000,-4.2778
2016-11-15,6500.0000,6624.0000,6498.0000,6578.0000,478862.0000,-0.8142
2016-11-16,6550.0000,6678.0000,6550.0000,6666.0000,423476.0000,1.3995
2016-11-17,6666.0000,6686.0000,6602.0000,6638.0000,372762.0000,0.0905
2016-11-18,6650.0000,6674.0000,6604.0000,6632.0000,316552.0000,-0.2407
2016-11-21,6640.0000,6742.0000,6630.0000,6726.0000,461014.0000,1.4480
2016-11-22,6732.0000,6782.0000,6708.0000,6734.0000,372892.0000,0.5675
2016-11-23,6800.0000,6864.0000,6786.0000,6824.0000,325426.0000,0.1762
2016-11-24,6820.0000,7168.0000,6762.0000,7042.0000,936824.0000,3.1342
2016-11-25,7040.0000,7190.0000,7024.0000,7162.0000,803704.0000,1.9357
2016-11-28,7164.0000,7244.0000,7084.0000,7200.0000,924786.0000,1.2658
2016-11-29,7210.0000,7220.0000,7108.0000,7120.0000,698022.0000,-0.5587
2016-11-30,7098.0000,7214.0000,7036.0000,7154.0000,1091496.0000,-0.1396
2016-12-01,7210.0000,7276.0000,7126.0000,7162.0000,965830.0000,0.6464
2016-12-02,7162.0000,7246.0000,7102.0000,7192.0000,773626.0000,-0.0278
2016-12-05,7186.0000,7218.0000,7110.0000,7184.0000,712660.0000,0.2232
2016-12-06,7202.0000,7236.0000,7148.0000,7160.0000,545012.0000,-0.1951
2016-12-07,7240.0000,7260.0000,7146.0000,7200.0000,673148.0000,0.1948
2016-12-08,7178.0000,7204.0000,7128.0000,7148.0000,575682.0000,-0.7773
2016-12-09,7158.0000,7160.0000,7052.0000,7112.0000,612696.0000,-0.6426
2016-12-12,7100.0000,7268.0000,7074.0000,7202.0000,673634.0000,1.5797
2016-12-13,7190.0000,7220.0000,7106.0000,7148.0000,511146.0000,-0.5565
2016-12-14,7168.0000,7180.0000,7084.0000,7112.0000,542304.0000,-0.7259
2016-12-15,7104.0000,7198.0000,7050.0000,7160.0000,645422.0000,0.4771
2016-12-16,7162.0000,7258.0000,7140.0000,7158.0000,672178.0000,0.4209
2016-12-19,7166.0000,7348.0000,7150.0000,7216.0000,1041710.0000,0.1666
2016-12-20,7192.0000,7196.0000,7030.0000,7082.0000,889560.0000,-2.5055
2016-12-21,7090.0000,7132.0000,7038.0000,7098.0000,490106.0000,-0.3370
2016-12-22,7100.0000,7126.0000,6978.0000,6978.0000,552314.0000,-1.5519
2016-12-23,6972.0000,6984.0000,6858.0000,6890.0000,690344.0000,-2.4079
2016-12-26,6930.0000,6938.0000,6786.0000,6870.0000,556200.0000,-0.6651
2016-12-27,6876.0000,7000.0000,6854.0000,6994.0000,438944.0000,1.8049
2016-12-28,6990.0000,7048.0000,6968.0000,6996.0000,479984.0000,0.9815
2016-12-29,6990.0000,7036.0000,6950.0000,6996.0000,409550.0000,-0.1997
2016-12-30,7016.0000,7038.0000,6962.0000,6980.0000,263246.0000,-0.2002
2017-01-03,6988.0000,7058.0000,6940.0000,6950.0000,365268.0000,-0.6007
2017-01-04,6972.0000,6998.0000,6822.0000,6880.0000,582356.0000,-1.8265
2017-01-05,6900.0000,6930.0000,6852.0000,6874.0000,393544.0000,-0.3479
2017-01-06,6874.0000,6900.0000,6794.0000,6800.0000,359944.0000,-1.3349
2017-01-09,6822.0000,6848.0000,6782.0000,6824.0000,408540.0000,-0.4086
2017-01-10,6816.0000,6898.0000,6812.0000,6878.0000,409104.0000,0.8800
2017-01-11,6860.0000,6952.0000,6850.0000,6950.0000,467120.0000,1.4302
2017-01-12,6958.0000,6964.0000,6902.0000,6932.0000,330464.0000,0.3474
2017-01-13,6926.0000,6994.0000,6896.0000,6936.0000,370210.0000,0.0000
2017-01-16,6926.0000,7020.0000,6908.0000,7000.0000,370910.0000,0.7194
2017-01-17,7014.0000,7064.0000,6970.0000,7024.0000,405022.0000,0.8037
2017-01-18,7038.0000,7052.0000,6974.0000,7020.0000,374022.0000,0.0855
2017-01-19,7008.0000,7070.0000,6992.0000,7010.0000,355212.0000,0.0571
2017-01-20,7016.0000,7036.0000,6976.0000,7000.0000,264832.0000,-0.3984
2017-01-23,6998.0000,6998.0000,6944.0000,6972.0000,256178.0000,-0.4569
2017-01-24,6970.0000,7084.0000,6956.0000,7066.0000,338142.0000,1.3773
2017-01-25,7070.0000,7072.0000,6962.0000,6982.0000,261372.0000,-0.5696
2017-01-26,6990.0000,7022.0000,6926.0000,6936.0000,236768.0000,-1.0839
2017-02-03,6926.0000,6960.0000,6836.0000,6854.0000,228264.0000,-1.6643
2017-02-06,6858.0000,6910.0000,6842.0000,6864.0000,343954.0000,-0.2905
2017-02-07,6868.0000,6906.0000,6830.0000,6844.0000,271606.0000,-0.3785
2017-02-08,6832.0000,6934.0000,6832.0000,6906.0000,366640.0000,0.5533
2017-02-09,6904.0000,6932.0000,6882.0000,6884.0000,243498.0000,-0.0871
2017-02-10,6888.0000,6958.0000,6874.0000,6956.0000,332846.0000,0.6657
2017-02-13,6926.0000,6978.0000,6860.0000,6868.0000,500438.0000,-0.8374
2017-02-14,6878.0000,6910.0000,6822.0000,6828.0000,360880.0000,-1.4434
2017-02-15,6852.0000,6882.0000,6812.0000,6830.0000,363660.0000,-0.6112
2017-02-16,6832.0000,6872.0000,6800.0000,6800.0000,404834.0000,-0.6139
2017-02-17,6792.0000,6826.0000,6684.0000,6690.0000,559224.0000,-2.1358
2017-02-20,6688.0000,6718.0000,6672.0000,6698.0000,246048.0000,-0.7998
2017-02-21,6690.0000,6722.0000,6632.0000,6670.0000,453510.0000,-0.3288
2017-02-22,6652.0000,6668.0000,6606.0000,6654.0000,340086.0000,-0.5084
2017-02-23,6666.0000,6676.0000,6560.0000,6584.0000,396318.0000,-0.7836
2017-02-24,6600.0000,6604.0000,6518.0000,6588.0000,309544.0000,-0.4232
2017-02-27,6598.0000,6624.0000,6562.0000,6578.0000,331488.0000,0.0304
2017-02-28,6570.0000,6598.0000,6534.0000,6572.0000,298660.0000,-0.3639
2017-03-01,6616.0000,6712.0000,6594.0000,6652.0000,567856.0000,1.2789
2017-03-02,6688.0000,6716.0000,6648.0000,6688.0000,335560.0000,0.4808
2017-03-03,6680.0000,6694.0000,6634.0000,6672.0000,271558.0000,-0.1198
2017-03-06,6672.0000,6728.0000,6636.0000,6686.0000,326362.0000,0.2699
2017-03-07,6686.0000,6688.0000,6568.0000,6586.0000,409912.0000,-1.3481
2017-03-08,6572.0000,6596.0000,6486.0000,6538.0000,364530.0000,-1.1790
2017-03-09,6548.0000,6564.0000,6470.0000,6536.0000,334204.0000,0.0000
2017-03-10,6510.0000,6514.0000,6388.0000,6414.0000,414058.0000,-1.7764
2017-03-13,,,,6414.0000,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
