month,kind,acc_rate
2002-01-01,AFI.WI,0.526315789474
2002-01-01,AGFI.WI,0.0
2002-01-01,ALFI.WI,0.473684210526
2002-01-01,AUFI.WI,0.0
2002-01-01,BBFI.WI,0.0
2002-01-01,BFI.WI,0.0
2002-01-01,BUFI.WI,0.0
2002-01-01,CFFI.WI,0.0
2002-01-01,CFI.WI,0.0
2002-01-01,CSFI.WI,0.0
2002-01-01,CUFI.WI,0.631578947368
2002-01-01,FBFI.WI,0.0
2002-01-01,FGFI.WI,0.0
2002-01-01,FUFI.WI,0.0
2002-01-01,HCFI.WI,0.0
2002-01-01,IFI.WI,0.0
2002-01-01,JDFI.WI,0.0
2002-01-01,JFI.WI,0.0
2002-01-01,JMFI.WI,0.0
2002-01-01,JRFI.WI,0.0
2002-01-01,LFI.WI,0.0
2002-01-01,LRFI.WI,0.0
2002-01-01,MAFI.WI,0.0
2002-01-01,MFI.WI,0.578947368421
2002-01-01,NIFI.WI,0.0
2002-01-01,OIFI.WI,0.0
2002-01-01,PBFI.WI,0.0
2002-01-01,PFI.WI,0.0
2002-01-01,PMFI.WI,0.0
2002-01-01,PPFI.WI,0.0
2002-01-01,RBFI.WI,0.0
2002-01-01,RIFI.WI,0.0
2002-01-01,RMFI.WI,0.0
2002-01-01,RSFI.WI,0.0
2002-01-01,RUFI.WI,0.473684210526
2002-01-01,SFFI.WI,0.0
2002-01-01,SMFI.WI,0.0
2002-01-01,SNFI.WI,0.0
2002-01-01,SRFI.WI,0.0
2002-01-01,TAFI.WI,0.0
2002-01-01,VFI.WI,0.0
2002-01-01,WHFI.WI,0.0
2002-01-01,WRFI.WI,0.0
2002-01-01,YFI.WI,0.0
2002-01-01,ZCFI.WI,0.0
2002-01-01,ZNFI.WI,0.0
2002-02-01,AFI.WI,0.8
2002-02-01,AGFI.WI,0.0
2002-02-01,ALFI.WI,0.5
2002-02-01,AUFI.WI,0.0
2002-02-01,BBFI.WI,0.0
2002-02-01,BFI.WI,0.0
2002-02-01,BUFI.WI,0.0
2002-02-01,CFFI.WI,0.0
2002-02-01,CFI.WI,0.0
2002-02-01,CSFI.WI,0.0
2002-02-01,CUFI.WI,0.4
2002-02-01,FBFI.WI,0.0
2002-02-01,FGFI.WI,0.0
2002-02-01,FUFI.WI,0.0
2002-02-01,HCFI.WI,0.0
2002-02-01,IFI.WI,0.0
2002-02-01,JDFI.WI,0.0
2002-02-01,JFI.WI,0.0
2002-02-01,JMFI.WI,0.0
2002-02-01,JRFI.WI,0.0
2002-02-01,LFI.WI,0.0
2002-02-01,LRFI.WI,0.0
2002-02-01,MAFI.WI,0.0
2002-02-01,MFI.WI,0.7
2002-02-01,NIFI.WI,0.0
2002-02-01,OIFI.WI,0.0
2002-02-01,PBFI.WI,0.0
2002-02-01,PFI.WI,0.0
2002-02-01,PMFI.WI,0.0
2002-02-01,PPFI.WI,0.0
2002-02-01,RBFI.WI,0.0
2002-02-01,RIFI.WI,0.0
2002-02-01,RMFI.WI,0.0
2002-02-01,RSFI.WI,0.0
2002-02-01,RUFI.WI,0.7
2002-02-01,SFFI.WI,0.0
2002-02-01,SMFI.WI,0.0
2002-02-01,SNFI.WI,0.0
2002-02-01,SRFI.WI,0.0
2002-02-01,TAFI.WI,0.0
2002-02-01,VFI.WI,0.0
2002-02-01,WHFI.WI,0.0
2002-02-01,WRFI.WI,0.0
2002-02-01,YFI.WI,0.0
2002-02-01,ZCFI.WI,0.0
2002-02-01,ZNFI.WI,0.0
2002-03-01,AFI.WI,0.428571428571
2002-03-01,AGFI.WI,0.0
2002-03-01,ALFI.WI,0.619047619048
2002-03-01,AUFI.WI,0.0
2002-03-01,BBFI.WI,0.0
2002-03-01,BFI.WI,0.0
2002-03-01,BUFI.WI,0.0
2002-03-01,CFFI.WI,0.0
2002-03-01,CFI.WI,0.0
2002-03-01,CSFI.WI,0.0
2002-03-01,CUFI.WI,0.619047619048
2002-03-01,FBFI.WI,0.0
2002-03-01,FGFI.WI,0.0
2002-03-01,FUFI.WI,0.0
2002-03-01,HCFI.WI,0.0
2002-03-01,IFI.WI,0.0
2002-03-01,JDFI.WI,0.0
2002-03-01,JFI.WI,0.0
2002-03-01,JMFI.WI,0.0
2002-03-01,JRFI.WI,0.0
2002-03-01,LFI.WI,0.0
2002-03-01,LRFI.WI,0.0
2002-03-01,MAFI.WI,0.0
2002-03-01,MFI.WI,0.52380952381
2002-03-01,NIFI.WI,0.0
2002-03-01,OIFI.WI,0.0
2002-03-01,PBFI.WI,0.0
2002-03-01,PFI.WI,0.0
2002-03-01,PMFI.WI,0.0
2002-03-01,PPFI.WI,0.0
2002-03-01,RBFI.WI,0.0
2002-03-01,RIFI.WI,0.0
2002-03-01,RMFI.WI,0.0
2002-03-01,RSFI.WI,0.0
2002-03-01,RUFI.WI,0.571428571429
2002-03-01,SFFI.WI,0.0
2002-03-01,SMFI.WI,0.0
2002-03-01,SNFI.WI,0.0
2002-03-01,SRFI.WI,0.0
2002-03-01,TAFI.WI,0.0
2002-03-01,VFI.WI,0.0
2002-03-01,WHFI.WI,0.0
2002-03-01,WRFI.WI,0.0
2002-03-01,YFI.WI,0.0
2002-03-01,ZCFI.WI,0.0
2002-03-01,ZNFI.WI,0.0
