update_date,NON_COMM_PER,const,coef,Y_full,non_comm_per,close,close_ma,Y_full_ma,close_ma_diff,Y_full_ma_diff,close_ma_sig,Y_full_ma_sig,dir,r,daily_r,cum_r,
2014/8/11,0.080181199,0,0,0,0.043811981,49899.21,49954.732,0,-71.394,0,-1,-1,,,,,
2014/8/12,0.077773072,0,0,0,-0.009325966,49788.77,49795.718,0,-159.014,0,-1,-1,0,-0.002215714,0,0,
2014/8/13,0.072793071,0,0,0,-0.009325966,49289.29,49700.59,0,-95.128,0,-1,-1,0,-0.010082641,0,0,
2014/8/14,0.067438762,0,0,0,-0.009325966,48919.36,49524.826,0,-175.764,0,-1,-1,0,-0.007533588,0,0,
2014/8/15,0.066597419,0,0,0,-0.009325966,48910.43,49361.412,0,-163.414,0,-1,-1,0,-0.000182562,0,0,
2014/8/18,0.066095153,0,0,0,-0.009325966,48946.87,49170.944,0,-190.468,0,-1,-1,0,0.000744758,0,0,
2014/8/19,0.066888637,0,0,0,-0.04021707,49339.81,49081.152,0,-89.792,0,-1,-1,0,0.007995836,0,0,
2014/8/20,0.071460998,0,0,0,-0.04021707,49461.5,49115.594,0,34.442,0,1,-1,0,0.002463329,0,0,
2014/8/21,0.071218557,0,0,0,-0.04021707,50140.62,49359.846,0,244.252,0,1,-1,-1,0.013636869,-0.013636869,-0.013636869,
2014/8/22,0.074010728,0,0,0,-0.04021707,50675.57,49712.874,0,353.028,0,1,-1,-1,0.010612482,-0.010612482,-0.024249351,
2014/8/26,0.074086364,0,0,0,0.00086674,50511.65,50025.83,0,312.956,0,1,-1,-1,-0.003239938,0.003239938,-0.021009414,
2014/8/27,0.075772348,0,0,0,0.00086674,50185.22,50194.912,0,169.082,0,1,-1,-1,-0.006483442,0.006483442,-0.014525972,
2014/8/28,0.07386873,0,0,0,0.00086674,50129.26,50328.464,0,133.552,0,1,-1,-1,-0.001115691,0.001115691,-0.01341028,
2014/8/29,0.074418098,0,0,0,0.00086674,49646.41,50229.622,0,-98.842,0,-1,-1,-1,-0.009678788,0.009678788,-0.003731493,-0.003731493
2014/9/1,0.075676749,0,0,0,0.00086674,49522,49998.908,0,-230.714,0,-1,-1,0,-0.002509066,0,-0.003731493,
2014/9/2,0.076476458,0,0,0,-0.027792036,49687.91,49834.16,0,-164.748,0,-1,-1,0,0.003344629,0,-0.003731493,
2014/9/3,0.073726225,0,0,0,-0.027792036,49720.27,49741.17,0,-92.99,0,-1,-1,0,0.000651053,0,-0.003731493,
2014/9/4,0.077391814,0,0,0,-0.027792036,49557.65,49626.848,0,-114.322,0,-1,-1,0,-0.003276059,0,-0.003731493,
2014/9/5,0.076582243,0,0,0,-0.027792036,49858.14,49669.194,0,42.346,0,1,-1,0,0.006045135,0,-0.003731493,
2014/9/9,0.07474026,0,0,0,-0.066082598,49385.32,49641.858,0,-27.336,0,0,-1,-1,-0.009528559,0.009528559,0.005797066,
2014/9/10,0.076817375,0,0,0,-0.066082598,48879.22,49480.12,0,-161.738,0,-1,-1,0,-0.010300857,0,0.005797066,
2014/9/11,0.079099045,0,0,0,-0.066082598,48185.55,49173.176,0,-306.944,0,-1,-1,0,-0.014293174,0,0.005797066,
2014/9/12,0.079897882,0,0,0,-0.066082598,48585.66,48978.778,0,-194.398,0,-1,-1,0,0.008269242,0,0.005797066,
2014/9/15,0.088946568,0,0,0,-0.066082598,48349.74,48677.098,0,-301.68,0,-1,-1,0,-0.004867581,0,0.005797066,
2014/9/16,0.105673139,0,0,0,-0.09385506,48648.47,48529.728,0,-147.37,0,-1,-1,0,0.006159515,0,0.005797066,
2014/9/17,0.094212433,0,0,0,-0.09385506,49402.46,48634.376,0,104.648,0,1,-1,0,0.015379862,0,0.005797066,
2014/9/18,0.092215493,0,0,0,-0.09385506,49023.59,48801.984,0,167.608,0,1,-1,-1,-0.00769861,0.00769861,0.013495676,
2014/9/19,0.094891467,0,0,0,-0.09385506,48664.26,48817.704,0,15.72,0,0,-1,-1,-0.007356731,0.007356731,0.020852407,
2014/9/22,0.090449524,0,0,0,-0.09385506,47697.51,48687.258,0,-130.446,0,-1,-1,0,-0.020065684,0,0.020852407,
2014/9/23,0.084443331,0,0,0,-0.129558731,47894.09,48536.382,0,-150.876,0,-1,-1,0,0.004112919,0,0.020852407,
2014/9/24,0.081619157,0,0,0,-0.129558731,47932.99,48242.488,0,-293.894,0,-1,-1,0,0.000811879,0,0.020852407,
2014/9/25,0.077127878,0,0,0,-0.129558731,47863.26,48010.422,0,-232.066,0,-1,-1,0,-0.001455798,0,0.020852407,
2014/9/26,0.076506959,0,0,0,-0.129558731,47995.42,47876.654,0,-133.768,0,-1,-1,0,0.002757394,0,0.020852407,
2014/9/29,0.074790929,0,0,0,-0.129558731,47744.63,47886.078,0,9.424,0,0,-1,0,-0.00523899,0,0.020852407,
2014/9/30,0.07159708,0,0,0,-0.146088572,48109.67,47929.194,0,43.116,0,1,-1,0,0.007616597,0,0.020852407,
2014/10/8,0.074003014,0,0,0,-0.146088572,47739.23,47890.442,0,-38.752,0,0,-1,-1,-0.007729705,0.007729705,0.028582112,
2014/10/9,0.074604778,0,0,0,-0.146088572,47801.64,47878.118,0,-12.324,0,0,-1,0,0.001306457,0,0.028582112,
2014/10/10,0.066868375,0,0,0,-0.146088572,47234.46,47725.926,0,-152.192,0,-1,-1,0,-0.011936238,0,0.028582112,
2014/10/13,0.075878591,0,0,0,-0.146088572,47805.84,47738.168,0,12.242,0,0,-1,0,0.012024097,0,0.028582112,
2014/10/14,0.086505065,0,0,0,-0.142452098,48029.63,47722.16,0,-16.008,0,0,-1,0,0.004670304,0,0.028582112,
2014/10/15,0.071486324,0,0,0,-0.142452098,48264.92,47827.298,0,105.138,0,1,-1,0,0.004886891,0,0.028582112,
2014/10/16,0.066374419,0,0,0,-0.142452098,47262.56,47719.482,0,-107.816,0,-1,-1,-1,-0.020986564,0.020986564,0.049568676,
2014/10/17,0.065781785,0,0,0,-0.142452098,46520.57,47576.704,0,-142.778,0,-1,-1,0,-0.015823858,0,0.049568676,
2014/10/20,0.062113733,0,0,0,-0.142452098,46859.12,47387.36,0,-189.344,0,-1,-1,0,0.007251073,0,0.049568676,
2014/10/21,0.06797326,0,0,0,-0.15802576,46706.36,47122.706,0,-264.654,0,-1,-1,0,-0.00326531,0,0.049568676,
2014/10/22,0.06737392,0,0,0,-0.15802576,47222.8,46914.282,0,-208.424,0,-1,-1,0,0.010996483,0,0.049568676,
2014/10/23,0.066966714,0,0,0,-0.15802576,47256.17,46913.004,0,-1.278,0,0,-1,0,0.000706401,0,0.049568676,
2014/10/24,0.071443149,0,0,0,-0.15802576,47501.14,47109.118,0,196.114,0,1,-1,0,0.005170483,0,0.049568676,
2014/10/27,0.079556324,0,0,0,-0.15802576,47155.77,47168.448,0,59.33,0,1,-1,-1,-0.007297334,0.007297334,0.05686601,
2014/10/28,0.088374468,0,0,0,-0.125685601,47620.2,47351.216,0,182.768,0,1,-1,-1,0.009800664,-0.009800664,0.047065346,
2014/10/29,0.088832021,0,0,0,-0.125685601,47822.25,47471.106,0,119.89,0,1,-1,-1,0.004233971,-0.004233971,0.042831374,
2014/10/30,0.090021657,0,0,0,-0.125685601,47550.26,47529.924,0,58.818,0,1,-1,-1,-0.005703755,0.005703755,0.04853513,
2014/10/31,0.090318726,0,0,0,-0.125685601,47801.29,47589.954,0,60.03,0,1,-1,-1,0.00526537,-0.00526537,0.04326976,
2014/11/3,0.091298735,0,0,0,-0.125685601,47296.66,47618.132,0,28.178,0,0,-1,-1,-0.010612947,0.010612947,0.053882707,
2014/11/4,0.08348596,0,0,0,-0.156800572,47673.95,47628.882,0,10.75,0,0,-1,0,0.007945447,0,0.053882707,
2014/11/5,0.080381531,0,0,0,-0.156800572,46522.06,47368.844,0,-260.038,0,-1,-1,0,-0.024458518,0,0.053882707,
2014/11/6,0.081382054,0,0,0,-0.156800572,46736.74,47206.14,0,-162.704,0,-1,-1,0,0.00460397,0,0.053882707,
2014/11/7,0.083723451,0,0,0,-0.156800572,47103.27,47066.536,0,-139.604,0,-1,-1,0,0.007811846,0,0.053882707,
2014/11/10,0.082478891,0,0,0,-0.156800572,47410.26,47089.256,0,22.72,0,0,-1,0,0.006496236,0,0.053882707,
2014/11/11,0.080835207,0,0,0,-0.150040209,47041.04,46962.674,0,-126.582,0,-1,-1,0,-0.007818249,0,0.053882707,
2014/11/12,0.093560499,0,0,0,-0.150040209,47210,47100.262,0,137.588,0,1,-1,0,0.003585322,0,0.053882707,
2014/11/13,0.085046143,0,0,0,-0.150040209,47267.46,47206.406,0,106.144,0,1,-1,-1,0.001216375,-0.001216375,0.052666332,
2014/11/14,0.086847607,0,0,0,-0.150040209,47001.68,47186.088,0,-20.318,0,0,-1,-1,-0.005638764,0.005638764,0.058305095,
2014/11/17,0.086876883,0,0,0,-0.150040209,47472.91,47198.618,0,12.53,0,0,-1,0,0.009975887,0,0.058305095,
2014/11/18,0.082036731,0,0,0,-0.139470686,47433.73,47277.156,0,78.538,0,1,-1,0,-0.000825654,0,0.058305095,
2014/11/19,0.084025215,0,0,0,-0.139470686,47142.76,47263.708,0,-13.448,0,0,-1,-1,-0.006153134,0.006153134,0.06445823,
2014/11/20,0.08166133,0,0,0,-0.139470686,47265.84,47263.384,0,-0.324,0,0,-1,0,0.002607391,0,0.06445823,
2014/11/21,0.089755448,0,0,0,-0.139470686,47360.65,47335.178,0,71.794,0,1,-1,0,0.002003879,0,0.06445823,
2014/11/24,0.086993117,0,0,0,-0.139470686,47569.46,47354.488,0,19.31,0,0,-1,-1,0.004399244,-0.004399244,0.060058986,
2014/11/25,0.079595868,0,0,0,-0.175722701,47548.68,47377.478,0,22.99,0,0,-1,0,-0.00043693,0,0.060058986,
2014/11/26,0.072108096,0,0,0,-0.175722701,46664.98,47281.922,0,-95.556,0,-1,-1,0,-0.018760038,0,0.060058986,
2014/11/27,0.070311411,0,0,0,-0.175722701,46764.4,47181.634,0,-100.288,0,-1,-1,0,0.002128239,0,0.060058986,
2014/11/28,0.05797275,0,0,0,-0.175722701,46010.74,46911.652,0,-269.982,0,-1,-1,0,-0.016247382,0,0.060058986,
2014/12/1,0.060262422,0,0,0,-0.175722701,44517.97,46301.354,0,-610.298,0,-1,-1,0,-0.03298192,0,0.060058986,
2014/12/2,0.056470812,0,0,0,-0.214628817,45377.38,45867.094,0,-434.26,0,-1,-1,0,0.019120815,0,0.060058986,
2014/12/3,0.056564262,0,0,0,-0.214628817,45170.38,45568.174,0,-298.92,0,-1,-1,0,-0.004572181,0,0.060058986,
2014/12/4,0.064507795,0,0,0,-0.214628817,45709.95,45357.284,0,-210.89,0,-1,-1,0,0.011874436,0,0.060058986,
2014/12/5,0.059697379,0,0,0,-0.214628817,45976.44,45350.424,0,-6.86,0,0,-1,0,0.005813093,0,0.060058986,
2014/12/8,0.059503679,0,0,0,-0.214628817,45760.63,45598.956,0,248.532,0,1,-1,0,-0.004704977,0,0.060058986,
2014/12/9,0.060984273,0,0,0,-0.216448738,45764.65,45676.41,0,77.454,0,1,-1,-1,8.78E-05,-8.78E-05,0.059971142,
2014/12/10,0.058392944,0,0,0,-0.216448738,46084.51,45859.236,0,182.826,0,1,-1,-1,0.006964926,-0.006964926,0.053006216,
2014/12/11,0.059595192,0,0,0,-0.216448738,46067.33,45930.712,0,71.476,0,1,-1,-1,-0.000372863,0.000372863,0.053379079,
2014/12/12,0.061975818,0,0,0,-0.216448738,46250.34,45985.492,0,54.78,0,1,-1,-1,0.003964793,-0.003964793,0.049414285,
2014/12/15,0.062908604,0,0,0,-0.216448738,46564.08,46146.182,0,160.69,0,1,-1,-1,0.006760613,-0.006760613,0.042653672,
2014/12/16,0.05523912,0,0,0,-0.195435562,45682.92,46129.836,0,-16.346,0,0,-1,-1,-0.019104942,0.019104942,0.061758614,
2014/12/17,0.05544714,0,0,0,-0.195435562,45408.89,45994.712,0,-135.124,0,-1,-1,0,-0.006016585,0,0.061758614,
2014/12/18,0.057547702,0,0,0,-0.195435562,45400.64,45861.374,0,-133.338,0,-1,-1,0,-0.000181699,0,0.061758614,
2014/12/19,0.064672431,0,0,0,-0.195435562,45615.41,45734.388,0,-126.986,0,-1,-1,0,0.004719396,0,0.061758614,
2014/12/22,0.065521535,0,0,0,-0.195435562,46059.61,45633.494,0,-100.894,0,-1,-1,0,0.009690829,0,0.061758614,
2014/12/23,0.063338095,0,0,0,-0.210704377,45692.67,45635.444,0,1.95,0,0,-1,0,-0.007998536,0,0.061758614,
2014/12/24,0.061612379,0,0,0,-0.210704377,45670.18,45687.702,0,52.258,0,1,-1,0,-0.000492323,0,0.061758614,
2014/12/29,0.059534145,0,0,0,-0.210704377,45046.22,45616.818,0,-70.884,0,-1,-1,-1,-0.013756495,0.013756495,0.075515109,
2014/12/30,0.059561135,0,0,0,-0.22031086,45275.99,45548.934,0,-67.884,0,-1,-1,0,0.005087796,0,0.075515109,
2014/12/31,0.056303465,0,0,0,-0.22031086,45766.03,45490.218,0,-58.716,0,0,-1,0,0.010765243,0,0.075515109,
2015/1/5,0.051553084,0,0,0,-0.22031086,45044.84,45360.652,0,-129.566,0,-1,-1,0,-0.015883675,0,0.075515109,
2015/1/6,0.049971012,0,0,0,-0.242682475,44725.84,45171.784,0,-188.868,0,-1,-1,0,-0.007107027,0,0.075515109,
2015/1/7,0.050172858,0,0,0,-0.242682475,44508.53,45064.246,0,-107.538,0,-1,-1,0,-0.004870554,0,0.075515109,
2015/1/8,0.045629301,0,0,0,-0.242682475,44548.21,44918.69,0,-145.556,0,-1,-1,0,0.000891117,0,0.075515109,
2015/1/9,0.044656563,0,0,0,-0.242682475,44125.87,44590.658,0,-328.032,0,-1,-1,0,-0.009525742,0,0.075515109,
2015/1/12,0.033253775,0,0,0,-0.242682475,43778.59,44337.408,0,-253.25,0,-1,-1,0,-0.007901347,0,0.075515109,
2015/1/13,0.022966283,0,0,0,-0.199616626,42686.28,43929.496,0,-407.912,0,-1,-1,0,-0.025267328,0,0.075515109,
2015/1/14,0.029603762,0,0,0,-0.199616626,40964.67,43220.724,0,-708.772,0,-1,-1,0,-0.041167569,0,0.075515109,
2015/1/15,0.02867674,0,0,0,-0.199616626,40820.54,42475.19,0,-745.534,0,-1,-1,0,-0.003524602,0,0.075515109,
2015/1/16,0.033424264,0,0,0,-0.199616626,40871.37,41824.29,0,-650.9,0,-1,-1,0,0.001244432,0,0.075515109,
2015/1/19,0.030785936,0,0,0,-0.199616626,41620.16,41392.604,0,-431.686,0,-1,-1,0,0.018154847,0,0.075515109,
2015/1/20,0.026234858,0,0,0,-0.212819504,41132.28,41081.804,0,-310.8,0,-1,-1,0,-0.011791451,0,0.075515109,
2015/1/21,0.029085219,0,0,0,-0.212819504,41143.84,41117.638,0,35.834,0,1,-1,0,0.000281005,0,0.075515109,
2015/1/22,0.022728292,0,0,0,-0.212819504,41429.21,41239.372,0,121.734,0,1,-1,-1,0.006911968,-0.006911968,0.068603141,
2015/1/23,0.015884132,0,0,0,-0.212819504,40801.16,41225.33,0,-14.042,0,0,-1,-1,-0.015275675,0.015275675,0.083878816,
2015/1/26,0.030985543,0,0,0,-0.212819504,39286.96,40758.69,0,-466.64,0,-1,-1,0,-0.037817855,0,0.083878816,
2015/1/27,0.025356227,0,0,0,-0.226969277,40305.61,40593.356,0,-165.334,0,-1,-1,0,0.025598008,0,0.083878816,
2015/1/28,0.025586559,0,0,0,-0.226969277,39696.34,40303.856,0,-289.5,0,-1,-1,0,-0.015231673,0,0.083878816,
2015/1/29,0.023415385,0,0,0,-0.226969277,39306.36,39879.286,0,-424.57,0,-1,-1,0,-0.009872654,0,0.083878816,
2015/1/30,0.024106541,0,0,0,-0.226969277,39060.5,39531.154,0,-348.132,0,-1,-1,0,-0.006274612,0,0.083878816,
2015/2/2,0.023910459,0,0,0,-0.226969277,40261.26,39726.014,0,194.86,0,1,-1,0,0.03027799,0,0.083878816,
2015/2/3,0.032821847,0,0,0,-0.222709789,40723.89,39809.67,0,83.656,0,1,-1,-1,0.011425182,-0.011425182,0.072453635,
2015/2/4,0.039187212,0,0,0,-0.222709789,41106.8,40091.762,0,282.092,0,1,-1,-1,0.00935866,-0.00935866,0.063094975,
2015/2/5,0.042932586,0,0,0,-0.222709789,40941.46,40418.782,0,327.02,0,1,-1,-1,-0.004030316,0.004030316,0.067125291,
2015/2/6,0.027659994,0,0,0,-0.222709789,41605.01,40927.684,0,508.902,0,1,-1,-1,0.016077351,-0.016077351,0.05104794,
2015/2/9,0.031900438,0,0,0,-0.222709789,41182.13,41111.858,0,184.174,0,1,-1,-1,-0.010216168,0.010216168,0.061264108,
2015/2/10,0.026737638,0,0,0,-0.226199584,41229.7,41213.02,0,101.162,0,1,-1,-1,0.001154446,-0.001154446,0.060109662,
2015/2/11,0.026244449,0,0,0,-0.226199584,40995.2,41190.7,0,-22.32,0,0,-1,-1,-0.005703884,0.005703884,0.065813546,
2015/2/12,0.032705891,0,0,0,-0.226199584,40991.84,41200.776,0,10.076,0,0,-1,0,-8.20E-05,0,0.065813546,
2015/2/13,0.02823387,0,0,0,-0.226199584,42012.6,41282.294,0,81.518,0,1,-1,0,0.024596551,0,0.065813546,
2015/2/16,0.028778675,0,0,0,-0.226199584,42097.64,41465.396,0,183.102,0,1,-1,-1,0.002022109,-0.002022109,0.063791437,
2015/2/17,0.020545306,0,0,0,-0.205547327,42058.13,41631.082,0,165.686,0,1,-1,-1,-0.000938973,0.000938973,0.06473041,
2015/2/25,0.032897933,0,0,0,-0.205547327,41944.8,41821.002,0,189.92,0,1,-1,-1,-0.002698241,0.002698241,0.067428651,
2015/2/26,0.041915184,0,0,0,-0.205547327,42518.28,42126.29,0,305.288,0,1,-1,-1,0.013579633,-0.013579633,0.053849018,
2015/2/27,0.04217065,0,0,0,-0.205547327,42734.04,42270.578,0,144.288,0,1,-1,-1,0.005061691,-0.005061691,0.048787327,
2015/3/2,0.036727582,0,0,0,-0.205547327,43170.5,42485.15,0,214.572,0,1,-1,-1,0.010161599,-0.010161599,0.038625728,
2015/3/3,0.036347911,0,0,0,-0.139927616,42524.76,42578.476,0,93.326,0,1,-1,-1,-0.015070897,0.015070897,0.053696625,
2015/3/4,0.038515895,0,0,0,-0.139927616,42448.51,42679.218,0,100.742,0,1,-1,-1,-0.001794683,0.001794683,0.055491307,
2015/3/5,0.039299403,0,0,0,-0.139927616,42473.92,42670.346,0,-8.872,0,0,-1,-1,0.000598428,-0.000598428,0.054892879,
2015/3/6,0.033300264,0,0,0,-0.139927616,42189.6,42561.458,0,-108.888,0,-1,-1,0,-0.006716495,0,0.054892879,
