update_date,CU,ZN,PB,AL,NI,I,JM,J,WH,ZC,Y,TA,SR,RU,RM,P,M,C
2008-08-13,,,,,,,,,,,,,,,,,,
2008-08-14,0.014690561729,0.00550408886819,,0.00841889977847,,,,,,,0.00639074007338,-0.0203244491066,-0.0220531821274,-0.00988933265911,,0.00493041473222,0.0240742391559,-0.0068254308651
2008-08-15,-0.0259159019507,-0.0350670119178,,-0.016499932995,,,,,,,-0.0468097870893,0.00372777286725,-0.0202718349313,-0.0200543648246,,-0.0419097864271,-0.0423269697417,-0.0184436677705
2008-08-18,0.0340858534432,0.0290783039026,,0.00934307054357,,,,,,,0.0387898006733,0.0255874776732,0.0141879601019,0.0149656849933,,0.0201032203586,0.0515846334988,0.00475948447328
2008-08-19,-0.016129354149,-0.0154410604631,,-0.0292505619429,,,,,,,-0.00111103579867,-0.00539621561754,-0.01831581713,-0.0245499965648,,-0.00232027546159,-0.0092548020232,-0.0114035320162
2008-08-20,0.0258045750205,0.0275861394334,,0.00894320265202,,,,,,,0.0460204599285,0.0101563141981,0.00552824168217,0.0119953608801,,0.0341426727246,0.0246982662357,0.0148039207454
2008-08-21,0.00792766116221,0.0102111466909,,0.00254010721269,,,,,,,0.0187491100907,-0.0140627623247,-0.00654385916754,0.0160829498759,,0.0134732994797,-0.00177723675359,-0.00110002902921
2008-08-22,0.0137447349205,0.0307124607826,,0.00259020730442,,,,,,,0.00679189595632,0.0114145051569,0.00928450481358,0.010271939375,,-0.00131370610036,-0.00120898356571,-0.00381409744091
2008-08-25,-0.00832211944354,-0.0249064842147,,-0.00872889897575,,,,,,,-0.000481725789287,-0.0296652459557,-0.000783999219975,-0.00324590556535,,-0.0157685625239,0.0296504999344,0.00825780700819
2008-08-26,-0.0109988636058,-0.00464746010407,,-0.00288000234553,,,,,,,-0.0516982500378,0.0167779325458,-0.00516864224286,-0.0065293457385,,-0.0471108402883,-0.0270636032834,0.0026511449289
2008-08-27,0.00566437656541,0.0141028041457,,0.00239319150346,,,,,,,0.015130492031,-0.010550894345,0.00314247654256,0.0117435069145,,-0.0116862404732,0.0318393804226,0.00741958078264
2008-08-28,-0.00113568889833,0.00526580746576,,-0.00757128632515,,,,,,,-0.0139043618821,-0.00169724330022,-0.00743312878818,-0.00218402325986,,-0.0165574161609,-0.00705644120739,-0.00169569820275
2008-08-29,-0.0117162115417,-0.0100846725137,,-0.00853724357034,,,,,,,0.020644588821,-0.000958252148443,0.0201350399308,-0.00596216780895,,0.0301039574762,-0.00721635842732,0.00586394027038
2008-09-01,-0.0102842763834,0.00568239163795,,-0.013970574532,,,,,,,0.0077142666195,0.00364650242695,0.00157161229935,-0.00675061784351,,0.0106161550378,0.0111783319768,0.0117798206889
2008-09-02,-0.0144867942178,-0.0204891050462,,-0.0152089812123,,,,,,,-0.0369153444336,-0.00759196271505,-0.0215574469005,-0.0231672235819,,-0.0244536181013,-0.0344786533915,-0.0138143413416
2008-09-03,0.00694540713564,0.0135030539264,,-0.00255592231806,,,,,,,0.00370755538211,-0.00388507575477,-0.00200547457966,0.00332972636557,,0.00585783618031,0.00334004362868,-0.00359980042059
2008-09-04,0.00359957734218,0.0151878439608,,0.00210139477537,,,,,,,-0.00276289507373,-0.00157095461154,-0.00326979431891,-0.000295321429231,,-0.00460095458904,-0.0132744189703,-0.00690597673389
