Wind资讯,ZN1601.SHF,ZN1601.SHF
,沪锌1601,沪锌1601
日期,结算价,持仓量
2015-01-16,15880.00 ,4.00 
2015-01-19,15980.00 ,12.00 
2015-01-20,16020.00 ,12.00 
2015-01-21,16120.00 ,16.00 
2015-01-22,16365.00 ,18.00 
2015-01-23,16425.00 ,18.00 
2015-01-26,16155.00 ,20.00 
2015-01-27,16155.00 ,20.00 
2015-01-28,16155.00 ,20.00 
2015-01-29,16190.00 ,22.00 
2015-01-30,16105.00 ,22.00 
2015-02-02,16190.00 ,22.00 
2015-02-03,16270.00 ,20.00 
2015-02-04,16435.00 ,22.00 
2015-02-05,16330.00 ,24.00 
2015-02-06,16315.00 ,26.00 
2015-02-09,16315.00 ,26.00 
2015-02-10,16415.00 ,32.00 
2015-02-11,16255.00 ,34.00 
2015-02-12,16255.00 ,34.00 
2015-02-13,16390.00 ,34.00 
2015-02-16,16420.00 ,34.00 
2015-02-17,16445.00 ,44.00 
2015-02-25,16125.00 ,56.00 
2015-02-26,16075.00 ,80.00 
2015-02-27,16070.00 ,112.00 
2015-03-02,16145.00 ,116.00 
2015-03-03,16130.00 ,122.00 
2015-03-04,15960.00 ,124.00 
2015-03-05,15880.00 ,122.00 
2015-03-06,15795.00 ,124.00 
2015-03-09,15780.00 ,132.00 
2015-03-10,15805.00 ,132.00 
2015-03-11,15745.00 ,134.00 
2015-03-12,15750.00 ,146.00 
2015-03-13,15835.00 ,146.00 
2015-03-16,15860.00 ,148.00 
2015-03-17,15840.00 ,150.00 
2015-03-18,15810.00 ,166.00 
2015-03-19,15775.00 ,184.00 
2015-03-20,15870.00 ,186.00 
2015-03-23,15940.00 ,174.00 
2015-03-24,16095.00 ,162.00 
2015-03-25,16080.00 ,178.00 
2015-03-26,16190.00 ,176.00 
2015-03-27,16120.00 ,168.00 
2015-03-30,16140.00 ,166.00 
2015-03-31,16140.00 ,166.00 
2015-04-01,16120.00 ,168.00 
2015-04-02,16130.00 ,168.00 
2015-04-03,16235.00 ,168.00 
2015-04-07,16395.00 ,166.00 
2015-04-08,16395.00 ,166.00 
2015-04-09,16265.00 ,166.00 
2015-04-10,16455.00 ,164.00 
2015-04-13,16595.00 ,164.00 
2015-04-14,16475.00 ,166.00 
2015-04-15,16555.00 ,190.00 
2015-04-16,16740.00 ,192.00 
2015-04-17,16840.00 ,186.00 
2015-04-20,16800.00 ,186.00 
2015-04-21,16610.00 ,182.00 
2015-04-22,16720.00 ,190.00 
2015-04-23,16780.00 ,198.00 
2015-04-24,16730.00 ,210.00 
2015-04-27,16970.00 ,236.00 
2015-04-28,17120.00 ,254.00 
2015-04-29,17055.00 ,256.00 
2015-04-30,17110.00 ,262.00 
2015-05-04,17345.00 ,256.00 
2015-05-05,17295.00 ,290.00 
2015-05-06,17575.00 ,310.00 
2015-05-07,17420.00 ,328.00 
2015-05-08,17295.00 ,390.00 
2015-05-11,17215.00 ,392.00 
2015-05-12,17080.00 ,358.00 
