update_date,open,high,low,close,volume,close_yes,max10,max20,max30,max60,max100,min10,min20,min30,min60,min100,close_return_yes,volatility_20,volatility_60,volatility_100,volatility_200,stop_ma10,p_ma10,p_ma30,p_ma60,p_ma100,position,close_return,daily_return,cum_return
2014-08-11,671.46,671.46,671.46,671.46,581388.0,675.61,686.44,714.31,721.46,824.74,967.01,674.78,666.37,662.25,662.25,662.25,-0.0044453378772,0.0116985609474,0.0136127288442,0.0137138871532,0.0121694387017,-1,0,0,0,0,,,,
2014-08-12,0.0,0.0,0.0,668.0,512430.0,671.46,686.44,714.31,721.46,824.74,949.89,671.46,666.37,662.25,662.25,662.25,-0.0061615404239,0.0116437011751,0.013169083732,0.0137177118488,0.0121614576791,-1,0,0,0,0,,-0.00516627252135,,
2014-08-13,0.0,0.0,0.0,661.79,876626.0,668.0,686.24,714.31,721.46,824.74,949.89,668.0,666.37,662.25,662.25,662.25,-0.00516627252135,0.0115608571155,0.0130640490979,0.0137239031705,0.0120824589348,-1,-1,-1,-1,-1,,-0.00933988846852,,
2014-08-14,0.0,0.0,0.0,653.02,777126.0,661.79,686.24,706.25,721.46,824.74,949.89,661.79,661.79,661.79,661.79,661.79,-0.00933988846852,0.0116017816792,0.0130541136566,0.0137472305878,0.0120824172876,-1,-1,-1,-1,-1,,-0.0133405283894,,
2014-08-15,0.0,0.0,0.0,665.37,664058.0,653.02,686.24,686.44,721.46,824.74,949.89,653.02,653.02,653.02,653.02,653.02,-0.0133405283894,0.0116781541317,0.0130357761711,0.0138016618826,0.0120800434142,0,0,0,0,0,-1.01189006408,0.0187355202265,-0.0189582867626,-0.0189582867626
2014-08-18,0.0,0.0,0.0,649.8,915020.0,665.37,686.24,686.44,721.46,824.74,949.89,653.02,653.02,653.02,653.02,653.02,0.0187355202265,0.0099173144948,0.0132347003424,0.0138678995817,0.0121560389807,-1,-1,-1,-1,-1,-1.00640000287,-0.0236786536702,0.0238301971216,0.00487191035902
2014-08-19,653.76,653.76,653.76,653.76,514048.0,649.8,684.59,686.44,721.46,824.74,949.89,649.8,649.8,649.8,649.8,649.8,-0.0236786536702,0.0111149817549,0.0135085908589,0.0138942155888,0.0122462634065,0,0,0,0,0,-1.00640000287,0.00607568839426,-0.00611457281741,-0.00124266245838
2014-08-20,651.96,656.52,644.82,645.72,647854.0,653.76,680.25,686.44,721.46,824.74,949.89,649.8,649.8,649.8,649.8,649.8,0.00607568839426,0.0112593412345,0.0132461100432,0.0139151516743,0.0122587031784,-1,-1,-1,-1,-1,-1.06609927116,-0.0123743383399,0.0131922730853,0.0119496106269
2014-08-21,646.76,648.51,643.75,646.38,440278.0,645.72,678.62,686.44,717.0,824.74,949.89,645.72,645.72,645.72,645.72,645.72,-0.0123743383399,0.0114966532516,0.0133048380903,0.0139573848097,0.0122773959934,0,0,0,0,0,-1.06609927116,0.00102159284483,-0.0010891193873,0.0108604912397
2014-08-22,645.57,650.49,641.6,642.81,551470.0,646.38,675.61,686.44,717.0,824.74,949.89,645.72,645.72,645.72,645.72,645.72,0.00102159284483,0.0112374716309,0.0130023302861,0.0135630414425,0.0122789774051,-1,-1,-1,-1,-1,-0.998988737434,-0.00553837545341,0.00553277470164,0.0163932659413
2014-08-25,641.85,646.17,638.33,644.24,618120.0,642.81,671.46,686.44,717.0,824.74,949.89,642.81,642.81,642.81,642.81,642.81,-0.00553837545341,0.011017606937,0.0130018852876,0.0134574717688,0.0121601043034,0,0,0,0,0,-0.998988737434,0.00222213680655,-0.00221988964278,0.0141733762985
2014-08-26,647.17,649.38,641.2,647.36,425386.0,644.24,668.0,686.44,717.0,824.74,949.89,642.81,642.81,642.81,642.81,642.81,0.00222213680655,0.00998742386868,0.0124398138034,0.0134250093333,0.0121426430942,0,0,0,0,0,-1.01178222804,0.00483122649209,-0.00488814910434,0.00928522719417
2014-08-27,648.37,648.37,635.3,636.61,678092.0,647.36,665.37,686.24,717.0,824.74,949.89,642.81,642.81,642.81,642.81,642.81,0.00483122649209,0.0100535412819,0.0124452744881,0.0133214801944,0.0121510058513,-1,-1,-1,-1,-1,-1.01178222804,-0.0167453308036,0.0169426281098,0.0262278553039
2014-08-28,0.0,0.0,0.0,625.99,1309014.0,636.61,665.37,686.24,717.0,824.74,949.89,636.61,636.61,636.61,636.61,636.61,-0.0167453308036,0.01038792905,0.012493615646,0.0132385358116,0.0121963175217,-1,-1,-1,-1,-1,-1.01178222804,-0.0168228266442,0.017021037024,0.0432488923279
2014-08-29,625.92,631.1,624.21,627.2,734170.0,625.99,665.37,686.24,717.0,824.74,949.89,625.99,625.99,625.99,625.99,625.99,-0.0168228266442,0.0106558543325,0.012649221595,0.0132600197305,0.0122395414938,0,0,0,0,0,-1.06809031291,0.00193107250459,-0.00206255983567,0.0411863324922
2014-09-01,626.43,627.26,617.42,619.29,786268.0,627.2,653.76,686.24,717.0,818.66,949.89,625.99,625.99,625.99,625.99,625.99,0.00193107250459,0.0106295637067,0.0126513791327,0.0130606078959,0.0122382536451,-1,-1,-1,-1,-1,-1.04833553673,-0.0126918084856,0.0133052738608,0.054491606353
2014-09-02,619.33,631.79,617.45,627.39,1051956.0,619.29,653.76,684.59,717.0,816.14,949.89,619.29,619.29,619.29,619.29,619.29,-0.0126918084856,0.00963732730763,0.0127259310111,0.0130903767248,0.0122565825347,0,0,0,0,0,-1.04833553673,0.0129946962839,-0.0136228019034,0.0408688044496
2014-09-03,625.54,625.57,602.79,604.78,1280058.0,627.39,647.36,680.25,717.0,813.85,949.89,619.29,619.29,619.29,619.29,619.29,0.0129946962839,0.0104478573209,0.0128565649959,0.0131851442418,0.0123010576769,-1,-1,-1,-1,-1,-1.03179337619,-0.0367036012991,0.0378705327028,0.0787393371524
2014-09-04,604.74,608.76,593.98,593.98,1097938.0,604.78,647.36,678.62,717.0,811.34,949.89,604.78,604.78,604.78,604.78,604.78,-0.0367036012991,0.012711188091,0.0136241602263,0.0136183302763,0.0125422590025,-1,-1,-1,-1,-1,-1.03179337619,-0.0180191067733,0.0185919950137,0.0973313321661
2014-09-05,594.58,596.57,583.72,584.71,1127502.0,593.98,647.36,675.61,717.0,811.34,949.89,593.98,593.98,593.98,593.98,593.98,-0.0180191067733,0.0129634307697,0.0135780657864,0.0136585409916,0.0125888023778,-1,-1,-1,-1,-1,-1.0257571038,-0.015729650939,0.016134801191,0.113466133357
2014-09-09,589.27,592.29,583.06,583.82,689812.0,584.71,647.36,671.46,717.0,796.55,949.89,584.71,584.71,584.71,584.71,584.71,-0.015729650939,0.0131067069493,0.0136920508266,0.0136459305845,0.0126215961218,-1,-1,-1,-1,-1,-0.924587370553,-0.00152328168228,0.00140840700523,0.114874540362
2014-09-10,582.05,593.81,568.28,588.74,1450628.0,583.82,647.36,668.0,717.0,794.32,949.89,583.82,583.82,583.82,583.82,583.82,-0.00152328168228,0.0131674090128,0.0136680078087,0.0135611194088,0.0126191855519,0,0,0,0,0,-0.921855680928,0.00839194390752,-0.00773616116518,0.107138379197
2014-09-11,586.23,587.82,577.19,583.85,928564.0,588.74,636.61,665.37,717.0,792.45,949.89,583.82,583.82,583.82,583.82,583.82,0.00839194390752,0.013608053327,0.0136337198857,0.0136097750043,0.0126099933942,0,0,0,0,0,-0.919557389034,-0.00834055952665,0.00766962314141,0.114808002339
2014-09-12,586.13,590.24,583.29,588.82,695620.0,583.85,627.39,665.37,717.0,792.45,949.89,583.82,583.82,583.82,583.82,583.82,-0.00834055952665,0.0135981936707,0.0136549872002,0.0135282944829,0.0126160580105,0,0,0,0,0,-0.919557389034,0.00847643370737,-0.00779456724827,0.10701343509
2014-09-15,595.94,601.47,586.96,596.78,1261612.0,588.82,627.39,665.37,717.0,792.45,949.89,583.82,583.82,583.82,583.82,583.82,0.00847643370737,0.0138730398415,0.0137245306459,0.0135732605922,0.012626557101,0,0,0,0,0,-0.919557389034,0.0134280020346,-0.0123478184909,0.0946656165994
2014-09-16,598.18,601.9,589.16,596.68,1127464.0,596.78,627.39,653.76,717.0,792.45,949.89,583.82,583.82,583.82,583.82,583.82,0.0134280020346,0.0134354606523,0.0136107692207,0.0136699826956,0.0126750633849,0,0,0,0,0,-0.919557389034,-0.000167579977936,0.000154099406965,0.0948197160063
