update_date,open,high,low,close,volume,close_yes,max10,max20,max30,max60,max100,min10,min20,min30,min60,min100,close_return_yes,volatility_20,volatility_60,volatility_100,volatility_200,stop_ma10,p_ma10,p_ma30,p_ma60,p_ma100,position,close_return,daily_return,cum_return
2014-09-17,0.0,0.0,0.0,596.11,962312.0,596.68,627.39,653.76,717.0,792.45,949.89,583.82,583.82,583.82,583.82,583.82,-0.000167579977936,0.0127675977348,0.0133495846882,0.0136247983234,0.0126725640467,0,0,0,0,0,-0.919557389034,-0.000955742491786,0.000878860070336,0.0956985760767
2014-09-18,594.8,594.81,589.09,589.77,598164.0,596.11,604.78,647.36,717.0,792.45,949.89,583.82,583.82,583.82,583.82,583.82,-0.000955742491786,0.0125630625429,0.0133089925259,0.0135622545007,0.0126498231869,0,0,0,0,0,-0.919557389034,-0.0106925834063,0.00983244407915,0.105531020156
2014-09-19,586.09,586.09,572.21,574.45,947366.0,589.77,596.78,647.36,717.0,769.04,949.89,583.82,583.82,583.82,583.82,583.82,-0.0106925834063,0.0125139313553,0.0132178492896,0.0135809237918,0.0126622888493,-1,-1,-1,-1,-1,-0.919557389034,-0.0263195690883,0.0242023542313,0.129733374387
2014-09-22,571.01,571.01,554.13,554.13,1281092.0,574.45,596.78,647.36,717.0,769.04,949.89,574.45,574.45,574.45,574.45,574.45,-0.0263195690883,0.0133414038935,0.0127270541676,0.0131561342633,0.0127699672224,-1,-1,-1,-1,-1,-0.919557389034,-0.03601374504,0.0331167053584,0.162850079745
2014-09-23,550.93,557.02,550.13,557.02,1290248.0,554.13,596.78,647.36,717.0,768.9,949.89,554.13,554.13,554.13,554.13,554.13,-0.03601374504,0.0149423722083,0.0133452079217,0.0134615569391,0.0129871306667,0,0,0,0,0,-0.970981423803,0.00520182966605,-0.00505087997552,0.15779919977
2014-09-24,555.34,563.75,554.38,558.65,720062.0,557.02,596.78,647.36,717.0,768.9,949.89,554.13,554.13,554.13,554.13,554.13,0.00520182966605,0.0150580035923,0.0133042330194,0.0134781517092,0.012998917034,0,0,0,0,0,-0.965892174917,0.00292201306796,-0.00282234955735,0.154976850213
2014-09-25,558.63,560.64,546.36,548.27,1400686.0,558.65,596.78,636.61,717.0,765.3,949.89,554.13,554.13,554.13,554.13,554.13,0.00292201306796,0.0149830918131,0.0132284904129,0.0134437940281,0.0129992198353,-1,-1,-1,-1,-1,-0.965892174917,-0.0187552926526,0.0181155904114,0.173092440624
2014-09-26,546.08,559.51,545.28,554.52,1440782.0,548.27,596.78,627.39,717.0,746.52,942.83,548.27,548.27,548.27,548.27,548.27,-0.0187552926526,0.0150558573506,0.0129692269966,0.0135328791137,0.0129993038664,0,0,0,0,0,-0.965892174917,0.0113350083294,-0.010948395848,0.162144044776
2014-09-29,553.38,556.7,531.29,534.28,1346724.0,554.52,596.78,627.39,717.0,738.76,942.83,548.27,548.27,548.27,548.27,548.27,0.0113350083294,0.0154466446541,0.0131271201913,0.0134352769214,0.0130329211836,-1,-1,-1,-1,-1,-0.916194568232,-0.0371828285613,0.0340667055593,0.196210750335
2014-09-30,535.3,543.87,535.3,539.91,628158.0,534.28,596.68,627.39,717.0,738.76,942.83,534.28,534.28,534.28,534.28,534.28,-0.0371828285613,0.0167983909804,0.0137993310518,0.0137867182134,0.0132593444188,0,0,0,0,0,-0.916194568232,0.0104824128923,-0.00960392975391,0.186606820581
2014-10-08,548.22,548.22,531.22,534.63,663480.0,539.91,596.11,627.39,717.0,738.76,940.18,534.28,534.28,534.28,534.28,534.28,0.0104824128923,0.0172521053398,0.0139350213494,0.0138507742943,0.0132836769981,0,0,0,0,0,-0.913487278528,-0.0098275401481,0.00897733290452,0.195584153486
2014-10-09,535.27,548.42,534.5,548.05,1305606.0,534.63,589.77,604.78,714.31,737.79,935.03,534.28,534.28,534.28,534.28,534.28,-0.0098275401481,0.0166127534477,0.0136537380074,0.0138268350401,0.0132930018093,0,0,0,0,0,-0.913487278528,0.0247916048086,-0.022646815607,0.172937337879
2014-10-10,544.98,557.45,539.54,555.64,1361030.0,548.05,574.45,596.78,714.31,736.12,928.49,534.28,534.28,534.28,534.28,534.28,0.0247916048086,0.0167111012765,0.0138918492655,0.0141070535722,0.0134341680526,0,0,0,0,0,-0.913487278528,0.0137540788675,-0.0125641760733,0.160373161806
2014-10-13,561.47,570.6,561.47,569.91,1036612.0,555.64,558.65,596.78,714.31,735.12,915.79,534.28,534.28,534.28,534.28,534.28,0.0137540788675,0.0169098650474,0.0140126301281,0.014205779778,0.0134806059033,1,0,0,0,0,-0.913487278528,0.0253578510959,-0.0231640743869,0.137209087419
2014-10-14,571.76,575.87,567.56,573.36,1100686.0,569.91,569.91,596.78,714.31,721.46,915.79,534.28,534.28,534.28,534.28,534.28,0.0253578510959,0.0177975061561,0.0144266827083,0.0144819444671,0.0135791467702,1,0,0,0,0,-0.913487278528,0.0060353380606,-0.00551320453997,0.131695882879
2014-10-15,574.32,575.2,563.01,564.23,1439726.0,573.36,573.36,596.78,714.31,721.46,908.2,534.28,534.28,534.28,534.28,534.28,0.0060353380606,0.0178722071926,0.0144527925472,0.014273286878,0.0135840232401,0,0,0,0,0,-0.913487278528,-0.0160518218976,0.0146631351006,0.146359017979
2014-10-16,555.24,556.98,545.89,545.89,1538876.0,564.23,573.36,596.78,714.31,721.46,906.6,534.28,534.28,534.28,534.28,534.28,-0.0160518218976,0.0180380733137,0.0145123085524,0.0142885904759,0.0136120911664,0,0,0,0,0,-0.913487278528,-0.0330444795415,0.0301857116868,0.176544729666
2014-10-17,548.38,553.91,546.2,551.89,1049480.0,545.89,573.36,596.78,706.25,721.46,906.6,534.28,534.28,534.28,534.28,534.28,-0.0330444795415,0.0192885028291,0.0149785911937,0.0145967484565,0.013783122112,0,0,0,0,0,-0.913487278528,0.0109312608102,-0.0099855676884,0.166559161978
2014-10-20,552.38,564.23,552.38,561.84,1284778.0,551.89,573.36,596.78,686.44,721.46,906.6,534.28,534.28,534.28,534.28,534.28,0.0109312608102,0.0193754112793,0.0150812913891,0.0145837093078,0.0138132274534,0,0,0,0,0,-0.913487278528,0.017868360794,-0.0163225202734,0.150236641704
2014-10-21,560.6,568.23,558.12,559.61,1171508.0,561.84,573.36,596.68,686.44,721.46,906.6,534.63,534.28,534.28,534.28,534.28,0.017868360794,0.0196005731893,0.0147197996078,0.0146864104878,0.0138877285683,0,0,0,0,0,-0.913487278528,-0.00397699931203,0.00363293827825,0.153869579983
2014-10-22,562.16,562.18,550.57,551.62,1322564.0,559.61,573.36,596.11,686.44,721.46,906.6,534.63,534.28,534.28,534.28,534.28,-0.00397699931203,0.0195899370043,0.0147141028032,0.0146687630499,0.0138602971127,0,0,0,0,0,-0.913487278528,-0.0143807091188,0.0131365948363,0.167006174819
2014-10-23,549.48,549.48,535.73,543.51,2186902.0,551.62,573.36,589.77,686.44,721.46,906.6,545.89,534.28,534.28,534.28,534.28,-0.0143807091188,0.0197381783418,0.0147835211863,0.0145392561532,0.0138707886466,-1,0,0,0,0,-0.913487278528,-0.0148112977639,0.0135299320858,0.180536106905
2014-10-24,541.17,547.74,536.86,543.9,1395128.0,543.51,573.36,574.45,686.44,717.0,906.6,543.51,534.28,534.28,534.28,534.28,-0.0148112977639,0.0198342684185,0.014856137619,0.0145786665927,0.0138932263855,0,0,0,0,0,-0.913487278528,0.000717300772886,-0.00065524513091,0.179880861774
2014-10-27,542.65,544.65,535.05,537.42,1034368.0,543.9,573.36,573.36,686.44,717.0,906.6,543.51,534.28,534.28,534.28,534.28,0.000717300772886,0.0191485336027,0.0148164520255,0.0144326307954,0.013892940274,-1,0,0,0,0,-0.913487278528,-0.0119854947138,0.0109485969479,0.190829458722
2014-10-28,536.71,536.71,531.51,533.44,716348.0,537.42,573.36,573.36,686.44,717.0,906.6,537.42,534.28,534.28,534.28,534.28,-0.0119854947138,0.0176452820706,0.0147747106629,0.0144601375296,0.0138758082184,-1,-1,-1,-1,-1,-0.913487278528,-0.00743331215273,0.00679023608885,0.197619694811
2014-10-29,534.66,537.29,531.4,536.01,827716.0,533.44,564.23,573.36,686.44,717.0,906.6,533.44,533.44,533.44,533.44,533.44,-0.00743331215273,0.0176177068719,0.0144973360016,0.0141947494596,0.0138709300592,0,0,0,0,0,-0.913487278528,0.00480621805076,-0.0043904190472,0.193229275763
2014-10-30,536.61,547.31,534.6,542.6,1507938.0,536.01,561.84,573.36,686.24,717.0,903.08,533.44,533.44,533.44,533.44,533.44,0.00480621805076,0.0176513342516,0.0145142600281,0.0141982903943,0.0138796651336,0,0,0,0,0,-0.877282682315,0.0122195826116,-0.0107200282103,0.182509247553
2014-10-31,540.54,542.57,536.05,538.53,946192.0,542.6,561.84,573.36,686.24,717.0,897.68,533.44,533.44,533.44,533.44,533.44,0.0122195826116,0.0174680935974,0.0146399464468,0.0142002631204,0.0139189916522,0,0,0,0,0,-0.877282682315,-0.00752919487374,0.00660523227451,0.189114479828
2014-11-03,536.01,538.28,526.16,526.46,1248694.0,538.53,561.84,573.36,686.24,717.0,892.72,533.44,533.44,533.44,533.44,533.44,-0.00752919487374,0.0173028060085,0.0146103583248,0.0142089503147,0.0139213208169,-1,-1,-1,-1,-1,-0.877282682315,-0.0226678500725,0.0198861123139,0.209000592141
2014-11-04,522.61,530.13,518.49,524.99,1415332.0,526.46,559.61,573.36,686.24,717.0,892.72,526.46,526.46,526.46,526.46,526.46,-0.0226678500725,0.015979525755,0.0147847731749,0.0143460814841,0.0139847220226,-1,-1,-1,-1,-1,-0.877282682315,-0.00279614048743,0.00245300562694,0.211453597768
2014-11-05,522.59,529.57,515.0,516.0,1470754.0,524.99,551.62,573.36,684.59,717.0,888.11,524.99,524.99,524.99,524.99,524.99,-0.00279614048743,0.01576321873,0.0145276440618,0.0143401851413,0.0139763300564,-1,-1,-1,-1,-1,-0.89846144885,-0.0172724493096,0.0155186298319,0.2269722276
2014-11-06,516.8,518.1,507.41,510.45,1170756.0,516.0,543.9,573.36,680.25,717.0,883.93,516.0,516.0,516.0,516.0,516.0,-0.0172724493096,0.0160578310217,0.0146184429025,0.0144106346173,0.0140134198822,-1,-1,-1,-1,-1,-0.922266961667,-0.0108140758665,0.00997346489267,0.236945692493
2014-11-07,511.41,517.8,509.71,516.1,1372686.0,510.45,543.9,573.36,678.62,717.0,875.81,510.45,510.45,510.45,510.45,510.45,-0.0108140758665,0.0148888343434,0.0146382503824,0.0144280636891,0.0140244242005,0,0,0,0,0,-0.933652984215,0.0110078555397,-0.0102775171744,0.226668175319
2014-11-10,515.6,521.05,514.12,518.26,1125534.0,516.1,542.6,573.36,675.61,717.0,875.81,510.45,510.45,510.45,510.45,510.45,0.0110078555397,0.0147326579995,0.0147769748296,0.0143876609402,0.0140501195183,0,0,0,0,0,-0.925148928876,0.00417650168175,-0.00386388605732,0.222804289261
2014-11-11,515.83,516.95,511.02,514.17,876484.0,518.26,542.6,573.36,671.46,717.0,875.81,510.45,510.45,510.45,510.45,510.45,0.00417650168175,0.0132180145335,0.0148199937715,0.0144020162724,0.014046430792,0,0,0,0,0,-0.925148928876,-0.00792309676384,0.00733004448445,0.230134333746
2014-11-12,516.75,518.3,510.61,511.5,822558.0,514.17,542.6,564.23,668.0,717.0,874.02,510.45,510.45,510.45,510.45,510.45,-0.00792309676384,0.0129850185398,0.0148252483325,0.0144000492507,0.0140188454914,0,0,0,0,0,-0.925148928876,-0.00520636468091,0.00481666270788,0.234950996454
2014-11-13,510.23,511.53,507.54,509.79,852934.0,511.5,542.6,561.84,665.37,717.0,873.74,510.45,510.45,510.45,510.45,510.45,-0.00520636468091,0.0127430877094,0.014825282143,0.0143396440203,0.0140199276463,-1,-1,-1,-1,-1,-0.925148928876,-0.00334870917756,0.00309805470873,0.238049051162
2014-11-14,507.79,511.81,506.46,510.22,634534.0,509.79,538.53,561.84,665.37,717.0,871.82,509.79,509.79,509.79,509.79,509.79,-0.00334870917756,0.0108866937419,0.0148119524438,0.0143390782585,0.0140190030621,0,0,0,0,0,-0.925148928876,0.000843129038877,-0.000780019927221,0.237269031235
2014-11-17,511.55,512.84,507.85,509.44,693550.0,510.22,526.46,561.84,665.37,717.0,871.82,509.79,509.79,509.79,509.79,509.79,0.000843129038877,0.0104099906368,0.0147791678343,0.0143432890174,0.0140207652175,-1,-1,-1,-1,-1,-1.01851401087,-0.00152992203704,0.00155824703026,0.238827278265
2014-11-18,506.85,506.85,488.99,489.23,1524240.0,509.44,524.99,559.61,653.76,717.0,871.82,509.44,509.44,509.44,509.44,509.44,-0.00152992203704,0.00909293614018,0.0144766243774,0.0141836987017,0.0139872665253,-1,-1,-1,-1,-1,-1.01851401087,-0.0404793566716,0.0412287919209,0.280056070186
2014-11-19,487.06,487.61,471.65,475.72,1578416.0,489.23,518.26,551.62,653.76,717.0,871.82,489.23,489.23,489.23,489.23,489.23,-0.0404793566716,0.012073704615,0.0150075902298,0.0145135613975,0.0142084783556,-1,-1,-1,-1,-1,-1.11882002802,-0.0280032806853,0.031330631281,0.311386701467
2014-11-20,476.54,481.03,475.19,477.25,660964.0,475.72,518.26,543.9,647.36,717.0,871.82,475.72,475.72,475.72,475.72,475.72,-0.0280032806853,0.0128855596606,0.0152348442587,0.0147040470185,0.0143085474272,0,0,0,0,0,-1.20481194839,0.00321101674681,-0.00386867134304,0.307518030124
2014-11-21,474.46,477.58,467.62,476.67,1380992.0,477.25,518.26,543.9,647.36,717.0,870.5,475.72,475.72,475.72,475.72,475.72,0.00321101674681,0.0129699966499,0.0152450184941,0.0146353245478,0.0141299317688,0,0,0,0,0,-1.0312756551,-0.00121603503747,0.00125406732989,0.308772097454
2014-11-24,482.36,482.97,470.66,471.14,1109208.0,476.67,518.26,542.6,647.36,717.0,868.32,475.72,475.72,475.72,475.72,475.72,-0.00121603503747,0.0129204813686,0.0152326737644,0.0141671736963,0.0141301069407,-1,-1,-1,-1,-1,-1.0312756551,-0.0116691378039,0.0120340977331,0.320806195187
2014-11-25,481.22,481.22,459.98,467.33,1444874.0,471.14,514.17,542.6,647.36,717.0,868.32,471.14,471.14,471.14,471.14,471.14,-0.0116691378039,0.0129137292722,0.0152563714097,0.0141588966303,0.0141215540948,-1,-1,-1,-1,-1,-1.0312756551,-0.00811964353109,0.00837359070167,0.329179785889
2014-11-26,464.23,469.48,459.61,467.67,1712066.0,467.33,511.5,542.6,647.36,717.0,868.32,467.33,467.33,467.33,467.33,467.33,-0.00811964353109,0.0129170242393,0.0152297429541,0.0141140926507,0.0141222549952,0,0,0,0,0,-1.00132815224,0.000727272759328,-0.000728238688271,0.328451547201
2014-11-27,469.4,481.97,468.9,481.83,1611558.0,467.67,510.22,542.6,636.61,717.0,868.32,467.33,467.33,467.33,467.33,467.33,0.000727272759328,0.0127584217361,0.0151924097013,0.0140611931312,0.0140963092882,0,0,0,0,0,-1.00128391842,0.0298284357502,-0.0298667330283,0.298584814172
2014-11-28,480.84,486.21,480.12,486.21,1710600.0,481.83,510.22,538.53,627.39,717.0,868.32,467.33,467.33,467.33,467.33,467.33,0.0298284357502,0.014614070262,0.0157822539804,0.0142513714953,0.0142805839409,0,0,0,0,0,-1.00128391842,0.00904927459522,-0.00906089312556,0.289523921047
2014-12-01,479.13,483.24,471.12,480.45,1539300.0,486.21,509.44,526.46,627.39,717.0,868.32,467.33,467.33,467.33,467.33,467.33,0.00904927459522,0.0149846044663,0.0157972615236,0.0143098074109,0.0142796406031,0,0,0,0,0,-1.00128391842,-0.0119174646149,0.0119327656672,0.301456686714
2014-12-02,488.7,489.64,473.07,476.25,1366982.0,480.45,489.23,524.99,627.39,717.0,868.32,467.33,467.33,467.33,467.33,467.33,-0.0119174646149,0.0145068346042,0.0158071574731,0.0143319518166,0.0142938393135,0,0,0,0,0,-1.00128391842,-0.00878023828237,0.00879151139203,0.310248198106
2014-12-03,475.25,483.86,472.76,482.94,1256262.0,476.25,486.21,518.26,627.39,717.0,868.32,467.33,467.33,467.33,467.33,467.33,-0.00878023828237,0.0145299592143,0.0157806018491,0.0143373634043,0.0142978395982,0,0,0,0,0,-1.00128391842,0.0139494958928,-0.0139674059075,0.296280792199
2014-12-04,482.03,496.18,481.86,493.6,2144628.0,482.94,486.21,518.26,604.78,714.31,868.32,467.33,467.33,467.33,467.33,467.33,0.0139494958928,0.0148022047852,0.0157988875687,0.0142904235443,0.0143357332955,1,0,0,0,0,-1.00128391842,0.0218330502575,-0.0218610821129,0.274419710086
2014-12-05,493.75,493.75,487.07,490.69,1334284.0,493.6,493.6,518.26,596.78,714.31,868.32,467.33,467.33,467.33,467.33,467.33,0.0218330502575,0.0157038663849,0.0155736046604,0.0143433913176,0.0144393098776,0,0,0,0,0,-1.00128391842,-0.00591290875331,0.00592050044578,0.280340210531
2014-12-08,489.35,495.91,479.35,481.02,1549540.0,490.69,493.6,518.26,596.78,714.31,868.32,467.33,467.33,467.33,467.33,467.33,-0.00591290875331,0.0154379789134,0.0154588019969,0.0143078881279,0.0144168862709,0,0,0,0,0,-1.00128391842,-0.019903714555,0.0199292693007,0.300269479832
2014-12-09,479.75,488.25,470.46,487.31,1866850.0,481.02,493.6,514.17,596.78,714.31,860.3,467.33,467.33,467.33,467.33,467.33,-0.019903714555,0.0158221004012,0.015525465724,0.014345829806,0.014415182579,0,0,0,0,0,-1.00128391842,0.0129916215955,-0.0130083017777,0.287261178054
2014-12-10,485.48,487.3,474.94,482.54,1311924.0,487.31,493.6,511.5,596.78,714.31,860.3,467.67,467.33,467.33,467.33,467.33,0.0129916215955,0.0162165139079,0.0156653361463,0.0144270462275,0.0144379893234,0,0,0,0,0,-1.00128391842,-0.00983665198108,0.00984928143975,0.297110459494
2014-12-11,479.92,489.52,478.64,479.43,1274444.0,482.54,493.6,510.22,596.78,714.31,848.67,476.25,467.33,467.33,467.33,467.33,-0.00983665198108,0.0162873369473,0.015617117625,0.0144218883932,0.014436764754,0,0,0,0,0,-1.00128391842,-0.00646592063217,0.00647422234677,0.303584681841
2014-12-12,478.95,488.95,478.75,488.95,1004262.0,479.43,493.6,510.22,596.78,706.25,847.49,476.25,467.33,467.33,467.33,467.33,-0.00646592063217,0.0163066174741,0.0156087666563,0.0144176978076,0.0144189344048,0,0,0,0,0,-1.00128391842,0.0196623364932,-0.0196875813292,0.283897100512
2014-12-15,487.62,490.14,482.04,483.45,885716.0,488.95,493.6,509.44,596.78,686.44,824.74,476.25,467.33,467.33,467.33,467.33,0.0196623364932,0.0170694401459,0.0158170288293,0.0145902405974,0.0145062653996,0,0,0,0,0,-1.00128391842,-0.0113123378287,0.0113268619476,0.295223962459
2014-12-16,478.62,479.28,472.82,478.18,912316.0,483.45,493.6,493.6,596.68,686.44,824.74,476.25,467.33,467.33,467.33,467.33,-0.0113123378287,0.0171910904638,0.0157009700125,0.014223708654,0.0143653573697,0,0,0,0,0,-1.00128391842,-0.0109606662848,0.0109747388861,0.306198701346
2014-12-17,476.61,486.26,474.83,483.38,1114586.0,478.18,493.6,493.6,596.11,686.44,824.74,478.18,467.33,467.33,467.33,467.33,-0.0109606662848,0.0148814626658,0.015723838113,0.0142392937022,0.0143750036965,0,0,0,0,0,-1.00128391842,0.010815863165,-0.010829749851,0.295368951495
2014-12-18,485.67,488.53,483.6,485.58,885382.0,483.38,493.6,493.6,589.77,686.44,824.74,478.18,467.33,467.33,467.33,467.33,0.010815863165,0.0136764065378,0.0158316021351,0.0143111174495,0.0144022016931,0,0,0,0,0,-1.00128391842,0.00454095892584,-0.00454678914664,0.290822162348
