,DCE豆一,,,,,
,A.DCE,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-06-15,3892.0000,3905.0000,3834.0000,3868.0000,263608.0000,-1.0742
2016-06-16,3884.0000,3907.0000,3798.0000,3813.0000,276188.0000,-1.3964
2016-06-17,3817.0000,3849.0000,3767.0000,3848.0000,213086.0000,-0.1298
2016-06-20,3860.0000,3875.0000,3803.0000,3847.0000,194354.0000,0.8917
2016-06-21,3837.0000,3892.0000,3818.0000,3849.0000,201912.0000,0.2083
2016-06-22,3830.0000,3867.0000,3799.0000,3867.0000,147472.0000,0.2593
2016-06-23,3845.0000,3900.0000,3834.0000,3845.0000,200578.0000,0.3392
2016-06-24,3844.0000,3896.0000,3812.0000,3814.0000,233250.0000,-1.4725
2016-06-27,3801.0000,3919.0000,3780.0000,3903.0000,200862.0000,1.0093
2016-06-28,3893.0000,4009.0000,3889.0000,3986.0000,278490.0000,2.9442
2016-06-29,4015.0000,4015.0000,3917.0000,3932.0000,223488.0000,-0.6820
2016-06-30,3921.0000,3968.0000,3921.0000,3940.0000,159498.0000,-0.5051
2016-07-01,3930.0000,4026.0000,3896.0000,3924.0000,257486.0000,-0.5827
2016-07-04,3915.0000,3968.0000,3892.0000,3908.0000,294098.0000,-0.9630
2016-07-05,3906.0000,3927.0000,3811.0000,3859.0000,258164.0000,-1.8815
2016-07-06,3865.0000,3888.0000,3747.0000,3768.0000,246476.0000,-2.7362
2016-07-07,3741.0000,3826.0000,3706.0000,3733.0000,196930.0000,-1.8922
2016-07-08,3764.0000,3792.0000,3704.0000,3741.0000,208378.0000,-0.2666
2016-07-11,3763.0000,3840.0000,3738.0000,3780.0000,161750.0000,1.0155
2016-07-12,3794.0000,3803.0000,3724.0000,3754.0000,184980.0000,-0.8976
2016-07-13,3750.0000,3861.0000,3745.0000,3841.0000,198350.0000,2.1814
2016-07-14,3930.0000,3930.0000,3861.0000,3912.0000,75262.0000,1.7955
2016-07-15,3924.0000,3932.0000,3819.0000,3850.0000,83684.0000,-1.2314
2016-07-18,3831.0000,3865.0000,3793.0000,3807.0000,75192.0000,-1.2451
2016-07-19,3799.0000,3849.0000,3790.0000,3830.0000,71326.0000,0.0000
2016-07-20,3822.0000,3834.0000,3738.0000,3780.0000,117224.0000,-1.2281
2016-07-21,3770.0000,3784.0000,3715.0000,3732.0000,153778.0000,-1.2960
2016-07-22,3733.0000,3739.0000,3636.0000,3652.0000,199400.0000,-2.3007
2016-07-25,3640.0000,3658.0000,3588.0000,3634.0000,166226.0000,-1.3572
2016-07-26,3630.0000,3651.0000,3610.0000,3641.0000,117510.0000,0.3860
2016-07-27,3630.0000,3665.0000,3612.0000,3635.0000,119302.0000,0.2206
2016-07-28,3655.0000,3670.0000,3612.0000,3635.0000,134232.0000,-0.1648
2016-07-29,3627.0000,3642.0000,3563.0000,3595.0000,151404.0000,-1.3176
2016-08-01,3595.0000,3665.0000,3584.0000,3634.0000,142132.0000,0.8884
2016-08-02,3622.0000,3645.0000,3573.0000,3612.0000,134598.0000,-0.4959
2016-08-03,3618.0000,3627.0000,3587.0000,3611.0000,96754.0000,0.0831
2016-08-04,3622.0000,3630.0000,3576.0000,3626.0000,122192.0000,0.5268
2016-08-05,3631.0000,3669.0000,3612.0000,3651.0000,138114.0000,1.3322
2016-08-08,3644.0000,3694.0000,3637.0000,3659.0000,150202.0000,0.4392
2016-08-09,3670.0000,3685.0000,3640.0000,3676.0000,114350.0000,0.0544
2016-08-10,3665.0000,3740.0000,3661.0000,3731.0000,151110.0000,1.6898
2016-08-11,3738.0000,3745.0000,3702.0000,3724.0000,103716.0000,0.3503
