,SHFE铝,,,,
,AL.SHF,,,,
日期,开盘价,最高价,最低价,收盘价,成交量
Date,open,high,low,close,volume
2016-05-30,12200.0000,12345.0000,12170.0000,12295.0000,180440.0000
2016-05-31,12325.0000,12370.0000,12225.0000,12260.0000,148640.0000
2016-06-01,12290.0000,12300.0000,12065.0000,12090.0000,138866.0000
2016-06-02,11930.0000,12165.0000,11875.0000,12145.0000,178172.0000
2016-06-03,12100.0000,12130.0000,11850.0000,11905.0000,234004.0000
2016-06-06,11990.0000,12000.0000,11720.0000,11780.0000,309120.0000
2016-06-07,11805.0000,11840.0000,11610.0000,11655.0000,298698.0000
2016-06-08,11640.0000,11895.0000,11590.0000,11870.0000,241406.0000
2016-06-13,11805.0000,11960.0000,11740.0000,11850.0000,136040.0000
2016-06-14,11890.0000,12030.0000,11780.0000,11855.0000,255184.0000
2016-06-15,11850.0000,11880.0000,11765.0000,11870.0000,118516.0000
2016-06-16,11920.0000,11970.0000,11875.0000,11915.0000,148418.0000
2016-06-17,11870.0000,11990.0000,11830.0000,11985.0000,128992.0000
2016-06-20,11965.0000,12125.0000,11910.0000,12100.0000,192464.0000
2016-06-21,12165.0000,12215.0000,12095.0000,12205.0000,217738.0000
2016-06-22,12180.0000,12360.0000,12165.0000,12345.0000,238118.0000
2016-06-23,12370.0000,12385.0000,12250.0000,12335.0000,154820.0000
2016-06-24,12350.0000,12405.0000,12140.0000,12170.0000,192334.0000
2016-06-27,12155.0000,12460.0000,12130.0000,12375.0000,170286.0000
2016-06-28,12340.0000,12480.0000,12305.0000,12385.0000,116112.0000
2016-06-29,12425.0000,12475.0000,12340.0000,12365.0000,131212.0000
2016-06-30,12360.0000,12575.0000,12320.0000,12530.0000,170332.0000
2016-07-01,12550.0000,12770.0000,12500.0000,12760.0000,147724.0000
2016-07-04,12600.0000,12785.0000,12505.0000,12535.0000,265260.0000
2016-07-05,12530.0000,12590.0000,12270.0000,12480.0000,243116.0000
2016-07-06,12480.0000,12550.0000,12310.0000,12480.0000,268018.0000
2016-07-07,12410.0000,12630.0000,12390.0000,12460.0000,279126.0000
2016-07-08,12450.0000,12615.0000,12420.0000,12565.0000,190794.0000
2016-07-11,12605.0000,12665.0000,12555.0000,12650.0000,182850.0000
2016-07-12,12640.0000,12660.0000,12465.0000,12500.0000,186242.0000
2016-07-13,12555.0000,12725.0000,12515.0000,12655.0000,257226.0000
2016-07-14,12645.0000,12705.0000,12570.0000,12700.0000,148452.0000
2016-07-15,12720.0000,12735.0000,12625.0000,12685.0000,121236.0000
2016-07-18,12725.0000,12745.0000,12500.0000,12515.0000,142020.0000
2016-07-19,12505.0000,12520.0000,12205.0000,12280.0000,211724.0000
2016-07-20,12275.0000,12370.0000,12215.0000,12330.0000,149712.0000
2016-07-21,12300.0000,12405.0000,12215.0000,12390.0000,152210.0000
2016-07-22,12365.0000,12430.0000,12150.0000,12160.0000,151792.0000
2016-07-25,12190.0000,12240.0000,12070.0000,12190.0000,144064.0000
2016-07-26,12175.0000,12210.0000,12115.0000,12120.0000,86604.0000
2016-07-27,12115.0000,12160.0000,12020.0000,12070.0000,141782.0000
2016-07-28,12095.0000,12345.0000,12040.0000,12345.0000,153174.0000
2016-07-29,12360.0000,12390.0000,12180.0000,12260.0000,110912.0000
2016-08-01,12290.0000,12360.0000,12240.0000,12325.0000,81400.0000
2016-08-02,12235.0000,12245.0000,12100.0000,12205.0000,79720.0000
2016-08-03,12240.0000,12260.0000,12010.0000,12050.0000,108294.0000
2016-08-04,12100.0000,12135.0000,12030.0000,12065.0000,100416.0000
2016-08-05,12065.0000,12235.0000,12000.0000,12220.0000,136198.0000
2016-08-08,12235.0000,12395.0000,12190.0000,12385.0000,171128.0000
2016-08-09,12380.0000,12400.0000,12270.0000,12310.0000,128862.0000
2016-08-10,12310.0000,12480.0000,12295.0000,12465.0000,123252.0000
2016-08-11,12485.0000,12495.0000,12355.0000,12390.0000,103748.0000
2016-08-12,12395.0000,12395.0000,12300.0000,12350.0000,75136.0000
2016-08-15,12270.0000,12380.0000,12225.0000,12295.0000,119434.0000
2016-08-16,12335.0000,12470.0000,12310.0000,12430.0000,115670.0000
2016-08-17,12465.0000,12465.0000,12385.0000,12450.0000,106126.0000
2016-08-18,12455.0000,12795.0000,12435.0000,12780.0000,235560.0000
2016-08-19,12780.0000,12780.0000,12605.0000,12685.0000,168504.0000
2016-08-22,12600.0000,12625.0000,12360.0000,12375.0000,195852.0000
2016-08-23,12380.0000,12450.0000,12230.0000,12440.0000,95362.0000
2016-08-24,12425.0000,12495.0000,12385.0000,12420.0000,71036.0000
2016-08-25,12440.0000,12440.0000,12280.0000,12340.0000,114524.0000
2016-08-26,12300.0000,12450.0000,12295.0000,12370.0000,111038.0000
2016-08-29,12330.0000,12450.0000,12310.0000,12345.0000,102356.0000
2016-08-30,12360.0000,12410.0000,12300.0000,12320.0000,72000.0000
2016-08-31,12310.0000,12375.0000,12205.0000,12215.0000,111132.0000
2016-09-01,12195.0000,12255.0000,12150.0000,12230.0000,84856.0000
2016-09-02,12075.0000,12245.0000,12070.0000,12205.0000,107270.0000
2016-09-05,12210.0000,12220.0000,11885.0000,11965.0000,221590.0000
2016-09-06,11935.0000,12030.0000,11850.0000,11995.0000,172430.0000
2016-09-07,11965.0000,12050.0000,11940.0000,12010.0000,124304.0000
2016-09-08,12025.0000,12055.0000,11915.0000,11990.0000,114328.0000
2016-09-09,11960.0000,12100.0000,11960.0000,12050.0000,97082.0000
2016-09-12,12030.0000,12045.0000,11910.0000,11960.0000,113940.0000
2016-09-13,11955.0000,12070.0000,11955.0000,12025.0000,101988.0000
2016-09-14,12025.0000,12035.0000,11835.0000,11875.0000,149656.0000
2016-09-19,11925.0000,11975.0000,11875.0000,11915.0000,76484.0000
2016-09-20,11915.0000,12115.0000,11910.0000,12065.0000,132564.0000
2016-09-21,12050.0000,12190.0000,12035.0000,12145.0000,134810.0000
2016-09-22,12175.0000,12355.0000,12120.0000,12310.0000,151512.0000
2016-09-23,12375.0000,12530.0000,12335.0000,12495.0000,186206.0000
2016-09-26,12495.0000,12510.0000,12320.0000,12420.0000,161124.0000
