Wind资讯,ZN1603.SHF,ZN1603.SHF
,沪锌1603,沪锌1603
日期,结算价,持仓量
2015-03-17,15910.00 ,4.00 
2015-03-18,15815.00 ,8.00 
2015-03-19,15870.00 ,8.00 
2015-03-20,15870.00 ,8.00 
2015-03-23,15870.00 ,8.00 
2015-03-24,16150.00 ,10.00 
2015-03-25,16150.00 ,10.00 
2015-03-26,16150.00 ,10.00 
2015-03-27,16150.00 ,10.00 
2015-03-30,16140.00 ,10.00 
2015-03-31,16275.00 ,16.00 
2015-04-01,16190.00 ,40.00 
2015-04-02,16235.00 ,38.00 
2015-04-03,16410.00 ,38.00 
2015-04-07,16480.00 ,38.00 
2015-04-08,16525.00 ,44.00 
2015-04-09,16415.00 ,48.00 
2015-04-10,16415.00 ,48.00 
2015-04-13,16760.00 ,66.00 
2015-04-14,16650.00 ,76.00 
2015-04-15,16610.00 ,74.00 
2015-04-16,16830.00 ,86.00 
2015-04-17,16890.00 ,84.00 
2015-04-20,16795.00 ,82.00 
2015-04-21,16680.00 ,74.00 
2015-04-22,16680.00 ,74.00 
2015-04-23,16825.00 ,96.00 
2015-04-24,16760.00 ,96.00 
2015-04-27,16955.00 ,96.00 
2015-04-28,17100.00 ,106.00 
2015-04-29,17195.00 ,106.00 
2015-04-30,17150.00 ,106.00 
2015-05-04,17425.00 ,114.00 
2015-05-05,17355.00 ,122.00 
2015-05-06,17605.00 ,122.00 
2015-05-07,17605.00 ,122.00 
2015-05-08,17315.00 ,122.00 
2015-05-11,17275.00 ,122.00 
2015-05-12,17135.00 ,120.00 
2015-05-13,17230.00 ,122.00 
2015-05-14,17160.00 ,122.00 
2015-05-15,17150.00 ,122.00 
2015-05-18,16980.00 ,122.00 
2015-05-19,17045.00 ,124.00 
2015-05-20,16870.00 ,124.00 
2015-05-21,16805.00 ,144.00 
2015-05-22,16805.00 ,130.00 
2015-05-25,16670.00 ,128.00 
2015-05-26,16760.00 ,130.00 
2015-05-27,16685.00 ,128.00 
2015-05-28,16895.00 ,120.00 
2015-05-29,16980.00 ,122.00 
2015-06-01,16860.00 ,140.00 
2015-06-02,16680.00 ,138.00 
2015-06-03,16675.00 ,138.00 
2015-06-04,16570.00 ,136.00 
2015-06-05,16460.00 ,142.00 
2015-06-08,16440.00 ,148.00 
2015-06-09,16495.00 ,146.00 
2015-06-10,16550.00 ,140.00 
2015-06-11,16530.00 ,140.00 
2015-06-12,16330.00 ,136.00 
2015-06-15,16350.00 ,134.00 
2015-06-16,16260.00 ,130.00 
2015-06-17,16060.00 ,132.00 
2015-06-18,16005.00 ,134.00 
2015-06-19,15975.00 ,142.00 
2015-06-23,15795.00 ,148.00 
2015-06-24,15835.00 ,142.00 
2015-06-25,15825.00 ,150.00 
2015-06-26,15725.00 ,140.00 
2015-06-29,15535.00 ,138.00 
2015-06-30,15455.00 ,132.00 
2015-07-01,15350.00 ,130.00 
2015-07-02,15590.00 ,134.00 
2015-07-03,15675.00 ,136.00 
2015-07-06,15245.00 ,130.00 
2015-07-07,15360.00 ,120.00 
2015-07-08,14985.00 ,100.00 
2015-07-09,15125.00 ,88.00 
2015-07-10,15305.00 ,88.00 
2015-07-13,15215.00 ,88.00 
2015-07-14,15550.00 ,88.00 
2015-07-15,15615.00 ,88.00 
2015-07-16,15695.00 ,88.00 
2015-07-17,15665.00 ,88.00 
2015-07-20,15545.00 ,88.00 
2015-07-21,15555.00 ,88.00 
2015-07-22,15260.00 ,86.00 
2015-07-23,15060.00 ,86.00 
2015-07-24,15020.00 ,86.00 
2015-07-27,14750.00 ,84.00 
2015-07-28,14735.00 ,82.00 
2015-07-29,14990.00 ,82.00 
2015-07-30,14880.00 ,82.00 
2015-07-31,14770.00 ,80.00 
2015-08-03,14665.00 ,78.00 
2015-08-04,14635.00 ,74.00 
2015-08-05,14645.00 ,76.00 
2015-08-06,14515.00 ,76.00 
2015-08-07,14340.00 ,78.00 
2015-08-10,14345.00 ,92.00 
2015-08-11,14550.00 ,88.00 
2015-08-12,14555.00 ,86.00 
2015-08-13,14795.00 ,88.00 
2015-08-14,14780.00 ,88.00 
2015-08-17,14750.00 ,90.00 
2015-08-18,14750.00 ,90.00 
2015-08-19,14470.00 ,90.00 
2015-08-20,14575.00 ,96.00 
2015-08-21,14660.00 ,96.00 
2015-08-24,14395.00 ,102.00 
2015-08-25,14365.00 ,102.00 
2015-08-26,14495.00 ,106.00 
2015-08-27,14325.00 ,108.00 
2015-08-28,14465.00 ,106.00 
2015-08-31,14645.00 ,108.00 
2015-09-01,14640.00 ,110.00 
2015-09-02,14645.00 ,110.00 
2015-09-07,14695.00 ,110.00 
2015-09-08,14595.00 ,110.00 
2015-09-09,14825.00 ,112.00 
2015-09-10,14830.00 ,114.00 
2015-09-11,14870.00 ,126.00 
2015-09-14,14840.00 ,136.00 
2015-09-15,14435.00 ,172.00 
2015-09-16,14300.00 ,404.00 
2015-09-17,14335.00 ,400.00 
2015-09-18,14220.00 ,618.00 
