update_date,open,high,low,close,amt,volume,position_all
2013/10/18,976.15,976.15,976.15,976.15,33033.64,338700,78656
2013/10/21,967.01,967.01,967.01,967.01,10059.46,104000,82136
2013/10/22,946.35,946.35,946.35,946.35,9442.76,98800,89528
2013/10/23,937.54,937.54,937.54,937.54,11559.79,122500,94634
2013/10/24,924.67,924.67,924.67,924.67,16460.96,177400,103770
2013/10/25,916.63,916.63,916.63,916.63,10086.48,108800,102272
2013/10/28,921.33,921.33,921.33,921.33,8006.87,86900,108946
2013/10/29,919.34,919.34,919.34,919.34,9985.76,108900,115114
2013/10/30,922.03,922.03,922.03,922.03,11452.57,124200,105310
2013/10/31,920.13,920.13,920.13,920.13,7119.26,77200,98254
2013/11/1,941.06,941.06,941.06,941.06,31011.06,329200,119374
2013/11/4,948.77,948.77,948.77,948.77,16886.35,177900,134228
2013/11/5,944.83,944.83,944.83,944.83,10439.16,110200,134486
2013/11/6,942.82,942.82,942.82,942.82,6783.1,71800,136662
2013/11/7,943.8,943.8,943.8,943.8,8938.82,94700,139062
2013/11/8,937.48,937.48,937.48,937.48,6751.13,71900,138058
2013/11/11,940.15,940.15,940.15,940.15,5696.73,60700,130770
2013/11/12,941.07,941.07,941.07,941.07,4498.19,47900,126292
2013/11/13,940.88,940.88,940.88,940.88,9453.64,99900,129018
2013/11/14,935,935,935,935,5412.43,57600,121614
2013/11/15,929.13,929.13,929.13,929.13,7469.27,79900,121824
2013/11/18,930.29,930.29,930.29,930.29,5262.67,56600,119456
2013/11/19,939.98,939.98,939.98,939.98,5947.23,63500,125832
2013/11/20,939.93,939.93,939.93,939.93,4229.18,44900,122958
2013/11/21,930.26,930.26,930.26,930.26,4041.87,43200,124656
2013/11/22,929.34,929.34,929.34,929.34,5076.3,54500,126526
2013/11/25,931.09,931.09,931.09,931.09,3777.24,40500,124778
2013/11/26,939.07,939.07,939.07,939.07,7064.92,75300,128212
2013/11/27,934.3,934.3,934.3,934.3,2957.57,31600,126766
2013/11/28,937.07,937.07,937.07,937.07,2673.26,28500,125640
2013/11/29,937.27,937.27,937.27,937.27,3211.94,34100,126222
2013/12/2,934.64,934.64,934.64,934.64,4028.77,43000,129054
2013/12/3,937.24,937.24,937.24,937.24,3442.04,36700,125664
2013/12/4,949.89,949.89,949.89,949.89,9252.3,97500,134450
2013/12/5,942.81,942.81,942.81,942.81,5241.09,55300,134980
2013/12/6,938.95,938.95,938.95,938.95,4182.45,44500,128010
2013/12/9,942.83,942.83,942.83,942.83,1902.21,20200,131930
2013/12/10,940.18,940.18,940.18,940.18,1621.46,17200,129270
2013/12/11,935.03,935.03,935.03,935.03,3876.37,41400,128398
2013/12/12,928.49,928.49,928.49,928.49,3488.17,37400,129456
2013/12/13,911.88,911.88,911.88,911.88,9164.51,100500,140168
2013/12/16,915.79,915.79,915.79,915.79,3875.12,42200,144598
2013/12/17,908.2,908.2,908.2,908.2,2451.08,26800,149364
2013/12/18,904.28,904.28,904.28,904.28,6901.19,76100,154326
2013/12/19,905.53,905.53,905.53,905.53,3058.69,33700,155410
2013/12/20,902.42,902.42,902.42,902.42,3408.83,37500,153840
2013/12/23,889.2,889.2,889.2,889.2,12795.46,143700,168986
2013/12/24,895.38,895.38,895.38,895.38,9035.66,100300,154858
2013/12/25,897.95,897.95,897.95,897.95,4633.71,51500,148084
2013/12/26,892.63,892.63,892.63,892.63,7983.79,89600,158836
2013/12/27,902.53,902.53,902.53,902.53,8313.5,92100,140636
2013/12/30,906.56,906.56,906.56,906.56,8348.19,91500,135270
2013/12/31,906.6,906.6,906.6,906.6,7070.36,77800,129782
2014/1/2,903.08,903.08,903.08,903.08,5389.82,59500,139142
2014/1/3,897.68,897.68,897.68,897.68,12500.57,139400,155586
2014/1/6,888.98,888.98,888.98,888.98,10542.98,118300,180374
2014/1/7,892.72,892.72,892.72,892.72,8441.32,94600,189230
2014/1/8,888.11,888.11,888.11,888.11,9941.32,111800,202638
2014/1/9,883.93,883.93,883.93,883.93,9946.73,111900,210950
2014/1/10,875.71,875.71,875.71,875.71,17717.87,202400,224968
2014/1/13,866.33,866.33,866.33,866.33,10409.15,119600,243478
2014/1/14,875.81,875.81,875.81,875.81,9509.62,109100,250310
2014/1/15,874.02,874.02,874.02,874.02,6795.04,77600,258572
2014/1/16,873.74,873.74,873.74,873.74,7043.37,80300,266730
2014/1/17,870,870,870,870,7959.46,91200,266538
2014/1/20,855.9,855.9,855.9,855.9,9786.34,113100,281826
2014/1/21,841.96,841.96,841.96,841.96,13405.23,158500,311794
2014/1/22,846.53,846.53,846.53,846.53,8037.95,94800,314656
2014/1/23,871.82,871.82,871.82,871.82,22017.9,253900,298608
2014/1/24,870.5,870.5,870.5,870.5,10423.75,119300,280936
2014/1/27,858.31,858.31,858.31,858.31,7754.34,89700,292182
2014/1/28,851.71,851.71,851.71,851.71,6004.85,69800,291530
2014/1/29,859.94,859.94,859.94,859.94,5180.13,60100,289936
2014/1/30,862.52,862.52,862.52,862.52,3600.66,41600,288404
2014/2/7,849.7,849.7,849.7,849.7,8377.36,97700,272220
2014/2/10,848.53,848.53,848.53,848.53,9697.98,114000,282370
2014/2/11,843.14,843.14,843.14,843.14,7108.14,83700,292876
2014/2/12,847.6,847.6,847.6,847.6,6993.47,82500,293122
2014/2/13,848.16,848.16,848.16,848.16,6551.9,76900,292778
2014/2/14,855.86,855.86,855.86,855.86,8224.95,95800,294694
2014/2/17,868.32,868.32,868.32,868.32,14962.68,172800,276260
2014/2/18,856.34,856.34,856.34,856.34,10635.46,122800,270904
2014/2/19,860.3,860.3,860.3,860.3,6377.63,74100,278348
2014/2/20,848.67,848.67,848.67,848.67,6859.01,80200,284556
2014/2/21,847.49,847.49,847.49,847.49,7834.83,92400,294892
2014/2/24,820.45,820.45,820.45,820.45,20744.21,250600,337090
2014/2/25,815.24,815.24,815.24,815.24,13762.03,168200,360134
2014/2/26,817.2,817.2,817.2,817.2,14554.65,178500,379242
2014/2/27,820.62,820.62,820.62,820.62,11600.71,141600,379282
2014/2/28,811.87,811.87,811.87,811.87,14328.63,175300,378868
2014/3/3,804.1,804.1,804.1,804.1,14402.07,178900,394518
2014/3/4,805.25,805.25,805.25,805.25,15432.68,192300,399778
2014/3/5,807.07,807.07,807.07,807.07,26658.36,332000,419686
2014/3/6,792.99,792.99,792.99,792.99,22430.82,280000,438066
2014/3/7,768.96,768.96,768.96,768.96,25227.35,323500,502108
2014/3/10,738.4,738.4,738.4,738.4,20076.31,270900,500362
2014/3/11,744.53,744.53,744.53,744.53,56377.14,766400,498956
2014/3/12,741.39,741.39,741.39,741.39,74560.5,1022500,599522
2014/3/13,752.04,752.04,752.04,752.04,58700.87,793900,681486
2014/3/14,743.5,743.5,743.5,743.5,70204.34,951500,696334
2014/3/17,733.24,733.24,733.24,733.24,56467.2,767100,704322
2014/3/18,735.69,735.69,735.69,735.69,64660.32,883400,738742
2014/3/19,735.75,735.75,735.75,735.75,35842.97,487800,740168
2014/3/20,736.77,736.77,736.77,736.77,84757.66,1136700,708652
2014/3/21,736.43,736.43,736.43,736.43,69050.9,938300,703000
2014/3/24,746.43,746.43,746.43,746.43,101317.23,1386100,748252
2014/3/25,760.95,760.95,760.95,760.95,81931.21,1088600,678652
2014/3/26,760.27,760.27,760.27,760.27,51832.58,685000,622962
2014/3/27,758.6,758.6,758.6,758.6,60708.33,796600,614740
2014/3/28,782.59,782.59,782.59,782.59,64328.08,835000,612984
2014/3/31,794.54,794.54,794.54,794.54,84463.95,1069300,597632
