update_date,update_date,open,high,low,close,volume,position_all,close_yes,max10,max20,max30,max60,max100,min10,min20,min30,min60,min100,close_return_yes,volatility_20,volatility_60,volatility_100,volatility_200,stop_ma10,p_ma10,p_ma30,p_ma60,p_ma100,position,close_return,daily_return,cum_return
2008-01-17,2008-01-17,18600.0,19330.0,18450.0,19305.0,273184.0,47354.0,18980.0,21080.0,21080.0,25910.0,27725.0,34710.0,18980.0,17480.0,17480.0,17480.0,17480.0,-0.019306626294,0.0213356673896,0.0223084882361,0.0197163407048,0.0208242544484,0,0,0,0,0,,,,
2008-01-18,2008-01-18,19095.0,19260.0,18820.0,19190.0,191056.0,37200.0,19305.0,21080.0,21080.0,25910.0,27725.0,34710.0,18980.0,17720.0,17480.0,17480.0,17480.0,0.0169783365344,0.0214414709802,0.0224501973166,0.0198135816268,0.0208235278734,0,0,0,0,0,,-0.00597481969659,,
2008-01-21,2008-01-21,19510.0,19775.0,19210.0,19215.0,223108.0,52886.0,19190.0,21080.0,21080.0,25910.0,27725.0,34710.0,18980.0,18220.0,17480.0,17480.0,17480.0,-0.00597481969659,0.0214724587826,0.0224425926299,0.0198104083608,0.0208240194116,0,0,0,0,0,,0.0013019139972,,
2008-01-22,2008-01-22,18730.0,18820.0,18730.0,18730.0,21576.0,48382.0,19215.0,21080.0,21080.0,25910.0,27725.0,34710.0,18980.0,18690.0,17480.0,17480.0,17480.0,0.0013019139972,0.020728676984,0.0224558078251,0.0195385131542,0.0207939364832,-1,0,0,0,0,,-0.0255647075608,,
2008-01-23,2008-01-23,19010.0,19230.0,17735.0,18500.0,482724.0,60262.0,18730.0,21080.0,21080.0,25910.0,27725.0,34710.0,18730.0,18730.0,17480.0,17480.0,17480.0,-0.0255647075608,0.020913244384,0.0225088179294,0.0196389538504,0.02083475338,-1,-1,0,0,0,,-0.0123557843717,,
2008-01-24,2008-01-24,18300.0,18940.0,18300.0,18800.0,495514.0,63964.0,18500.0,20400.0,21080.0,25355.0,27510.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.0123557843717,0.0205198410494,0.0224361715243,0.0195377404729,0.0208468500665,0,0,0,0,0,,0.0160861377516,,
2008-01-25,2008-01-25,18735.0,18935.0,18615.0,18790.0,358964.0,64524.0,18800.0,20400.0,21080.0,25250.0,27510.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,0.0160861377516,0.0208738793529,0.0225077976365,0.0196314600901,0.0208587999476,0,0,0,0,0,-0.406337116213,-0.000532056410529,0.000216194267517,0.000216194267517
2008-01-28,2008-01-28,18695.0,18790.0,18230.0,18500.0,344302.0,67280.0,18790.0,20040.0,21080.0,24590.0,27510.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.000532056410529,0.0205993554112,0.0225149184502,0.0195681193794,0.020848814709,0,0,0,0,0,-0.406337116213,-0.0155540813411,0.00632020055748,0.006536394825
2008-01-29,2008-01-29,19000.0,19195.0,18800.0,19195.0,226088.0,62366.0,18500.0,19350.0,21080.0,23745.0,27510.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.0155540813411,0.0207609231775,0.0223813133124,0.0195209548239,0.0206261793566,0,0,0,0,0,-0.406337116213,0.0368790963685,-0.0149853456669,-0.00844895084191
2008-01-30,2008-01-30,19600.0,19980.0,19325.0,19580.0,406142.0,60304.0,19195.0,19305.0,21080.0,23390.0,27510.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,0.0368790963685,0.0219642740361,0.0226570842992,0.0199124187788,0.0206250266286,1,0,0,0,0,-0.406337116213,0.0198588086496,-0.00806937103811,-0.01651832188
2008-01-31,2008-01-31,19515.0,19950.0,19515.0,19930.0,405054.0,70948.0,19580.0,19580.0,21080.0,23390.0,27510.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,0.0198588086496,0.0223796081033,0.0226887028659,0.0200494801375,0.0205905571423,1,0,0,0,0,-0.406337116213,0.0177174971223,-0.0071992766872,-0.0237175985672
2008-02-01,2008-02-01,20580.0,20580.0,20400.0,20485.0,150770.0,63202.0,19930.0,19930.0,21080.0,23390.0,27130.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,0.0177174971223,0.0210849771122,0.0228209685373,0.0201529202511,0.0205943205214,1,0,0,0,0,-0.406337116213,0.0274667767741,-0.0111607708661,-0.0348783694333
2008-02-04,2008-02-04,20380.0,21280.0,20380.0,21265.0,263726.0,75888.0,20485.0,20485.0,21080.0,22720.0,27125.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,0.0274667767741,0.0213094015453,0.0231346135407,0.0203550408145,0.0206942883157,1,1,0,0,0,-0.406337116213,0.0373696177068,-0.015184662693,-0.0500630321262
2008-02-05,2008-02-05,21195.0,21260.0,20680.0,20905.0,301824.0,69570.0,21265.0,21265.0,21265.0,22720.0,27125.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,0.0373696177068,0.0227000853685,0.0231578421817,0.0205858017565,0.0208386816221,0,0,0,0,0,-0.406337116213,-0.0170741638971,0.00693786651968,-0.0431251656066
2008-02-13,2008-02-13,21150.0,21380.0,20070.0,20070.0,344242.0,73050.0,20905.0,21265.0,21265.0,21805.0,27125.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.0170741638971,0.0227067297622,0.0231997702523,0.0206371838323,0.0207084088697,0,0,0,0,0,0.397437059605,-0.0407622020003,-0.016200409706,-0.0593255753126
2008-02-14,2008-02-14,20120.0,20470.0,19780.0,20030.0,386962.0,77640.0,20070.0,21265.0,21265.0,21265.0,27125.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.0407622020003,0.0242554676861,0.0231898260242,0.0207861794937,0.0208459451271,0,0,0,0,0,0.397437059605,-0.00199501313052,-0.000792892152466,-0.060118467465
2008-02-15,2008-02-15,19650.0,19710.0,19420.0,19655.0,201894.0,73250.0,20030.0,21265.0,21265.0,21265.0,27125.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.00199501313052,0.0226650179661,0.0229178777804,0.0207401484043,0.0208459531741,0,0,0,0,0,0.397437059605,-0.0188993908039,-0.00751131830942,-0.0676297857744
2008-02-18,2008-02-18,19510.0,19950.0,19480.0,19920.0,198840.0,70046.0,19655.0,21265.0,21265.0,21265.0,27125.0,34710.0,18500.0,18500.0,17480.0,17480.0,17480.0,-0.0188993908039,0.0229582741841,0.0230317467463,0.0208031119984,0.0206217128543,0,0,0,0,0,0.397437059605,0.0133924932826,0.00532267315102,-0.0623071126234
2008-02-19,2008-02-19,20100.0,20120.0,19405.0,19420.0,138092.0,59640.0,19920.0,21265.0,21265.0,21265.0,27125.0,34710.0,19195.0,18500.0,17480.0,17480.0,17480.0,0.0133924932826,0.0228776137501,0.0229109800071,0.0208652376356,0.0205963828862,0,0,0,0,0,0.397437059605,-0.0254207892933,-0.0101031637495,-0.072410276373
