,CZCE棉花,,,,,
2016-04-14,11565.0000,11770.0000,11345.0000,11575.0000,1392538.0000,3.0721
2016-04-15,11470.0000,11525.0000,11190.0000,11255.0000,998946.0000,-2.5119
2016-04-18,11190.0000,11775.0000,11150.0000,11775.0000,877074.0000,4.0194
2016-04-19,12260.0000,12265.0000,12020.0000,12175.0000,1379634.0000,6.2391
2016-04-20,12245.0000,12650.0000,12220.0000,12650.0000,1530498.0000,4.0296
2016-04-21,12400.0000,13425.0000,12215.0000,13355.0000,2333564.0000,6.4568
2016-04-22,13265.0000,13450.0000,12615.0000,12840.0000,2864938.0000,-1.0023
2016-04-25,12880.0000,13255.0000,12665.0000,12810.0000,1619204.0000,-1.3477
2016-04-26,12855.0000,13375.0000,12650.0000,12940.0000,2479884.0000,0.2712
2016-04-27,12995.0000,13135.0000,12570.0000,12805.0000,1285904.0000,-1.8774
2016-04-28,12870.0000,12885.0000,12210.0000,12350.0000,1142262.0000,-3.7787
2016-04-29,12345.0000,12640.0000,12290.0000,12555.0000,892932.0000,0.0000
2016-05-03,12615.0000,12905.0000,12545.0000,12755.0000,558500.0000,2.2445
2016-05-04,12660.0000,12680.0000,12440.0000,12530.0000,571242.0000,-1.5324
2016-05-05,12570.0000,12600.0000,12460.0000,12565.0000,392690.0000,0.1594
2016-05-06,12620.0000,12740.0000,12230.0000,12350.0000,674056.0000,-1.3972
2016-05-09,12370.0000,12485.0000,11865.0000,12165.0000,733250.0000,-2.2106
2016-05-10,12115.0000,12270.0000,12015.0000,12240.0000,549446.0000,0.6165
2016-05-11,12280.0000,12420.0000,12175.0000,12335.0000,401174.0000,1.3558
2016-05-12,12280.0000,12695.0000,12130.0000,12530.0000,732300.0000,1.9113
2016-05-13,12470.0000,12640.0000,12180.0000,12300.0000,656946.0000,-1.2445
2016-05-16,12305.0000,12520.0000,12205.0000,12335.0000,375612.0000,-0.3232
2016-05-17,12350.0000,12475.0000,12310.0000,12440.0000,322788.0000,0.6066
2016-05-18,12475.0000,12835.0000,12450.0000,12550.0000,862128.0000,1.2914
2016-05-19,12580.0000,12755.0000,12525.0000,12740.0000,597006.0000,0.8310
2016-05-20,12740.0000,12885.0000,12645.0000,12745.0000,455710.0000,0.6317
2016-05-23,12715.0000,12815.0000,12350.0000,12390.0000,533178.0000,-2.9377
2016-05-24,12385.0000,12470.0000,12260.0000,12415.0000,405204.0000,-0.9968
2016-05-25,12455.0000,12650.0000,12250.0000,12480.0000,481910.0000,0.9300
2016-05-26,12500.0000,13035.0000,12455.0000,13035.0000,696486.0000,5.0363
2016-05-27,13055.0000,13260.0000,12855.0000,13100.0000,1077118.0000,2.9874
2016-05-30,13055.0000,13390.0000,12965.0000,13330.0000,752022.0000,2.2239
2016-05-31,13300.0000,13375.0000,12820.0000,12840.0000,661088.0000,-2.5427
2016-06-01,12805.0000,12930.0000,12465.0000,12575.0000,792096.0000,-4.1540
2016-06-02,12620.0000,12800.0000,12530.0000,12590.0000,463298.0000,-0.9441
2016-06-03,12640.0000,12740.0000,12390.0000,12470.0000,544164.0000,-1.4229
2016-06-06,12590.0000,12735.0000,12465.0000,12675.0000,462032.0000,0.7552
2016-06-07,12765.0000,13120.0000,12735.0000,13005.0000,762326.0000,3.1324
2016-06-08,13000.0000,13025.0000,12700.0000,12900.0000,469266.0000,-0.5013
2016-06-13,12835.0000,13255.0000,12830.0000,13025.0000,402220.0000,1.3224
2016-06-14,13035.0000,13170.0000,12810.0000,12845.0000,384874.0000,-1.9466
2016-06-15,12830.0000,12925.0000,12730.0000,12780.0000,348866.0000,-1.4269
2016-06-16,12810.0000,13090.0000,12720.0000,13000.0000,465724.0000,1.4436
2016-06-17,13000.0000,13565.0000,12835.0000,13480.0000,1180982.0000,4.3748
2016-06-20,13530.0000,13590.0000,13300.0000,13455.0000,691508.0000,1.1654
2016-06-21,13560.0000,13590.0000,13130.0000,13155.0000,424002.0000,-2.4833
2016-06-22,13150.0000,13380.0000,13100.0000,13345.0000,259316.0000,-0.1123
2016-06-23,13350.0000,13655.0000,13310.0000,13515.0000,411162.0000,2.1542
2016-06-24,13600.0000,13805.0000,13350.0000,13430.0000,537620.0000,-0.8124
2016-06-27,13410.0000,13725.0000,13350.0000,13700.0000,351284.0000,0.7723
2016-06-28,13700.0000,14265.0000,13665.0000,14170.0000,670370.0000,4.3062
2016-06-29,14235.0000,14670.0000,14210.0000,14670.0000,971310.0000,5.0107
2016-06-30,14700.0000,14945.0000,14590.0000,14725.0000,883582.0000,1.3072
2016-07-01,14740.0000,14880.0000,14465.0000,14735.0000,701944.0000,-0.2032
2016-07-04,14760.0000,15425.0000,14730.0000,15425.0000,873112.0000,5.0034
2016-07-05,15535.0000,15790.0000,14510.0000,15000.0000,1208904.0000,-1.5748
2016-07-06,14985.0000,15340.0000,14450.0000,14875.0000,1188480.0000,-1.8152
2016-07-07,14655.0000,15145.0000,14655.0000,14910.0000,1103588.0000,0.7773
2016-07-08,14940.0000,15120.0000,14215.0000,14350.0000,1176150.0000,-4.1096
2016-07-11,14440.0000,15060.0000,14335.0000,15045.0000,931096.0000,3.3665
2016-07-12,15100.0000,15455.0000,14975.0000,15380.0000,1136932.0000,4.5192
2016-07-13,15345.0000,16030.0000,15115.0000,15730.0000,1472122.0000,3.0124
2016-07-14,15730.0000,15965.0000,15510.0000,15855.0000,1065150.0000,1.4071
2016-07-15,15855.0000,16060.0000,15750.0000,15975.0000,1005784.0000,1.3642
2016-07-18,16100.0000,16185.0000,15460.0000,15765.0000,1318568.0000,-0.9736
2016-07-19,15895.0000,15925.0000,15495.0000,15675.0000,1206644.0000,-0.4762
2016-07-20,15670.0000,15740.0000,15020.0000,15305.0000,1338872.0000,-2.2981
2016-07-21,15280.0000,15600.0000,15195.0000,15485.0000,838224.0000,0.7482
2016-07-22,15535.0000,15795.0000,15170.0000,15195.0000,1229802.0000,-1.3952
2016-07-25,15250.0000,15445.0000,15115.0000,15340.0000,827116.0000,-1.2234
2016-07-26,15375.0000,15480.0000,15170.0000,15450.0000,818438.0000,1.1126
2016-07-27,15430.0000,15775.0000,15370.0000,15680.0000,952144.0000,2.1498
2016-07-28,15730.0000,15795.0000,14830.0000,14905.0000,1592824.0000,-4.5469
2016-07-29,14900.0000,14975.0000,14545.0000,14545.0000,1064360.0000,-5.0278
2016-08-01,14505.0000,14920.0000,14465.0000,14765.0000,899388.0000,-0.1015
2016-08-02,14710.0000,14875.0000,14450.0000,14700.0000,937584.0000,-0.2037
2016-08-03,14710.0000,14745.0000,14320.0000,14505.0000,1009318.0000,-1.4606
2016-08-04,14520.0000,14760.0000,14355.0000,14710.0000,880154.0000,1.4483
2016-08-05,14680.0000,15175.0000,14625.0000,15155.0000,1087028.0000,4.3733
2016-08-08,15200.0000,15265.0000,14750.0000,14755.0000,949646.0000,-0.8067
2016-08-09,14765.0000,14865.0000,14525.0000,14690.0000,928986.0000,-2.3596
2016-08-10,14585.0000,14780.0000,14450.0000,14745.0000,849680.0000,0.2379
2016-08-11,14760.0000,14870.0000,14660.0000,14730.0000,561374.0000,0.6148
2016-08-12,14705.0000,14915.0000,14600.0000,14660.0000,712808.0000,-0.5427
2016-08-15,14655.0000,14750.0000,14525.0000,14700.0000,539102.0000,-0.4402
2016-08-16,14685.0000,14745.0000,14470.0000,14635.0000,743172.0000,-0.1705
2016-08-17,14585.0000,14865.0000,14530.0000,14770.0000,729584.0000,1.1990
2016-08-18,14755.0000,14940.0000,14625.0000,14820.0000,572358.0000,0.7478
2016-08-19,14875.0000,14920.0000,14640.0000,14645.0000,455430.0000,-1.0139
2016-08-22,14595.0000,14660.0000,14370.0000,14520.0000,672446.0000,-1.7591
2016-08-23,14530.0000,14720.0000,14505.0000,14565.0000,320348.0000,0.1375
2016-08-24,14570.0000,14670.0000,14535.0000,14575.0000,276064.0000,-0.2396
2016-08-25,14555.0000,14585.0000,13910.0000,13980.0000,988818.0000,-4.2138
2016-08-26,14020.0000,14130.0000,13885.0000,13965.0000,512646.0000,-1.5856
2016-08-29,13965.0000,14045.0000,13780.0000,13825.0000,425250.0000,-1.2500
2016-08-30,13800.0000,13950.0000,13790.0000,13850.0000,275180.0000,-0.3239
2016-08-31,13830.0000,13930.0000,13545.0000,13590.0000,439044.0000,-2.0187
2016-09-01,13580.0000,13710.0000,13450.0000,13680.0000,308078.0000,-0.2552
2016-09-02,13705.0000,14000.0000,13650.0000,13790.0000,554490.0000,1.3971
2016-09-05,13825.0000,13940.0000,13790.0000,13890.0000,241596.0000,0.2888
2016-09-06,13910.0000,14160.0000,13775.0000,14115.0000,488816.0000,1.7664
2016-09-07,14100.0000,14260.0000,14030.0000,14075.0000,390564.0000,0.4640
2016-09-08,14095.0000,14180.0000,13980.0000,14155.0000,355028.0000,0.2479
2016-09-09,14160.0000,14175.0000,14025.0000,14135.0000,235974.0000,0.3194
2016-09-12,14105.0000,14205.0000,13860.0000,13870.0000,405048.0000,-1.7009
2016-09-13,13880.0000,14150.0000,13815.0000,14095.0000,462598.0000,0.6067
2016-09-14,14045.0000,14220.0000,13955.0000,14205.0000,443356.0000,1.3195
2016-09-19,14280.0000,14745.0000,14265.0000,14745.0000,425504.0000,4.5004
2016-09-20,14765.0000,14930.0000,14655.0000,14930.0000,446924.0000,2.6823
2016-09-21,14940.0000,14980.0000,14795.0000,14965.0000,400876.0000,1.2517
2016-09-22,14985.0000,15015.0000,14820.0000,14910.0000,510614.0000,0.1007
2016-09-23,14925.0000,14975.0000,14755.0000,14945.0000,388556.0000,0.1676
2016-09-26,14960.0000,15535.0000,14880.0000,15495.0000,736410.0000,4.3083
2016-09-27,15485.0000,15550.0000,15355.0000,15465.0000,467190.0000,1.2770
2016-09-28,15455.0000,15470.0000,15195.0000,15245.0000,426340.0000,-1.3269
2016-09-29,15210.0000,15405.0000,15010.0000,15105.0000,657206.0000,-1.4356
2016-09-30,15080.0000,15190.0000,14970.0000,15180.0000,379214.0000,-0.1316
2016-10-10,15700.0000,15750.0000,15440.0000,15630.0000,321010.0000,3.5099
2016-10-11,15580.0000,15720.0000,15330.0000,15385.0000,476536.0000,-1.2833
2016-10-12,15370.0000,15475.0000,15185.0000,15240.0000,391872.0000,-1.5822
2016-10-13,15205.0000,15265.0000,14920.0000,14940.0000,595016.0000,-2.7027
2016-10-14,14940.0000,15180.0000,14890.0000,15060.0000,319580.0000,-0.2319
2016-10-17,15020.0000,15430.0000,15020.0000,15165.0000,509610.0000,0.6972
2016-10-18,15180.0000,15235.0000,14985.0000,15080.0000,444732.0000,-1.0823
2016-10-19,15075.0000,15260.0000,14805.0000,14825.0000,610944.0000,-1.8212
2016-10-20,14830.0000,15110.0000,14745.0000,15005.0000,433352.0000,-0.1995
2016-10-21,15040.0000,15180.0000,14795.0000,14840.0000,358204.0000,-0.7690
2016-10-24,14850.0000,14910.0000,14730.0000,14780.0000,334748.0000,-1.1702
2016-10-25,14760.0000,15135.0000,14750.0000,15085.0000,506040.0000,1.7538
2016-10-26,15100.0000,15160.0000,14850.0000,14925.0000,362382.0000,-0.3339
2016-10-27,14920.0000,15350.0000,14885.0000,15325.0000,685682.0000,2.3714
2016-10-28,15255.0000,15305.0000,15085.0000,15195.0000,370654.0000,0.4628
2016-10-31,15165.0000,15450.0000,15135.0000,15380.0000,451964.0000,1.1842
2016-11-01,15360.0000,15390.0000,15120.0000,15125.0000,352566.0000,-1.2728
2016-11-02,15135.0000,15200.0000,14915.0000,14920.0000,324164.0000,-2.1639
2016-11-03,14950.0000,15250.0000,14930.0000,15240.0000,265216.0000,1.2288
2016-11-04,15250.0000,15430.0000,15120.0000,15230.0000,420170.0000,1.0282
2016-11-07,15230.0000,15465.0000,15180.0000,15335.0000,410796.0000,0.3599
2016-11-08,15335.0000,15595.0000,15100.0000,15205.0000,570460.0000,-0.8154
2016-11-09,15255.0000,15470.0000,15230.0000,15300.0000,470060.0000,-0.2933
2016-11-10,15325.0000,15700.0000,15280.0000,15595.0000,675848.0000,1.6292
2016-11-11,15620.0000,16270.0000,15575.0000,16270.0000,472370.0000,5.0016
2016-11-14,16570.0000,17005.0000,14775.0000,15200.0000,1150658.0000,-4.3424
2016-11-15,15220.0000,15630.0000,15210.0000,15330.0000,303256.0000,-3.6152
2016-11-16,15330.0000,15975.0000,15325.0000,15895.0000,508568.0000,3.1139
2016-11-17,15860.0000,16245.0000,15825.0000,16130.0000,498248.0000,2.5755
2016-11-18,16160.0000,16215.0000,15765.0000,16050.0000,338838.0000,-0.2176
2016-11-21,16025.0000,16540.0000,15890.0000,16380.0000,416212.0000,2.7281
2016-11-22,16335.0000,16500.0000,16100.0000,16320.0000,195578.0000,0.3073
2016-11-23,16300.0000,16325.0000,16035.0000,16160.0000,153900.0000,-1.3130
2016-11-24,16150.0000,16445.0000,16020.0000,16180.0000,304080.0000,0.0309
2016-11-25,16100.0000,16160.0000,15650.0000,15785.0000,301902.0000,-3.0108
2016-11-28,15830.0000,16265.0000,15780.0000,16255.0000,375634.0000,2.3292
2016-11-29,16300.0000,16480.0000,15950.0000,16000.0000,545268.0000,0.0000
2016-11-30,15945.0000,16240.0000,15730.0000,15840.0000,469700.0000,-2.6130
2016-12-01,15935.0000,16215.0000,15880.0000,15895.0000,433896.0000,-0.4073
2016-12-02,15915.0000,16045.0000,15585.0000,15670.0000,421006.0000,-2.5194
2016-12-05,15695.0000,15890.0000,15630.0000,15730.0000,255548.0000,-0.5060
2016-12-06,15740.0000,15960.0000,15670.0000,15800.0000,291108.0000,0.1902
2016-12-07,15860.0000,15990.0000,15750.0000,15890.0000,316178.0000,0.4425
2016-12-08,15950.0000,15950.0000,15690.0000,15700.0000,230228.0000,-1.1646
2016-12-09,15705.0000,15800.0000,15625.0000,15705.0000,260024.0000,-0.6327
2016-12-12,15690.0000,16115.0000,15665.0000,15860.0000,575960.0000,0.8264
2016-12-13,15850.0000,16160.0000,15825.0000,16135.0000,476476.0000,1.6378
2016-12-14,16225.0000,16235.0000,15745.0000,15785.0000,439824.0000,-1.6204
2016-12-15,15780.0000,15890.0000,15720.0000,15810.0000,243508.0000,-0.9398
2016-12-16,15790.0000,15910.0000,15715.0000,15735.0000,267238.0000,-0.4429
2016-12-19,15715.0000,15765.0000,15425.0000,15425.0000,308702.0000,-2.4352
2016-12-20,15410.0000,15455.0000,14820.0000,14905.0000,443870.0000,-4.3632
2016-12-21,14980.0000,15140.0000,14900.0000,15110.0000,199450.0000,0.0000
2016-12-22,15150.0000,15350.0000,15090.0000,15150.0000,343540.0000,1.0674
2016-12-23,15180.0000,15330.0000,15020.0000,15150.0000,306330.0000,-0.5906
2016-12-26,15150.0000,15175.0000,14605.0000,14780.0000,298810.0000,-2.7312
2016-12-27,14800.0000,14940.0000,14720.0000,14900.0000,145648.0000,0.2692
2016-12-28,14960.0000,15090.0000,14725.0000,14835.0000,236102.0000,-0.0674
2016-12-29,14835.0000,14965.0000,14760.0000,14935.0000,181228.0000,0.2349
2016-12-30,14990.0000,15080.0000,14830.0000,15030.0000,210796.0000,1.0420
2017-01-03,15080.0000,15300.0000,14990.0000,15085.0000,184116.0000,0.6673
2017-01-04,15120.0000,15205.0000,14885.0000,15085.0000,233474.0000,-0.5275
2017-01-05,15095.0000,15405.0000,15075.0000,15300.0000,298096.0000,1.6611
2017-01-06,15340.0000,15415.0000,15140.0000,15185.0000,249582.0000,-0.4589
2017-01-09,15185.0000,15380.0000,15120.0000,15370.0000,189804.0000,0.4904
2017-01-10,15365.0000,15450.0000,15215.0000,15445.0000,212228.0000,1.1792
2017-01-11,15465.0000,15500.0000,15280.0000,15385.0000,210756.0000,0.3588
2017-01-12,15365.0000,15455.0000,15285.0000,15305.0000,201324.0000,-0.5846
2017-01-13,15360.0000,15395.0000,15010.0000,15055.0000,292610.0000,-2.0176
2017-01-16,15055.0000,15225.0000,15030.0000,15105.0000,192140.0000,-0.4941
2017-01-17,15105.0000,15245.0000,15030.0000,15160.0000,223432.0000,0.1652
2017-01-18,15185.0000,15280.0000,14925.0000,15125.0000,277914.0000,-0.1321
2017-01-19,15145.0000,15315.0000,15060.0000,15295.0000,195280.0000,1.2914
2017-01-20,15325.0000,15370.0000,15170.0000,15170.0000,170834.0000,-0.1317
2017-01-23,15220.0000,15545.0000,15170.0000,15545.0000,253802.0000,1.6345
2017-01-24,15545.0000,15775.0000,15510.0000,15685.0000,306190.0000,2.1491
2017-01-25,15625.0000,15750.0000,15555.0000,15620.0000,167572.0000,-0.2873
2017-01-26,15620.0000,15735.0000,15565.0000,15665.0000,95640.0000,0.0958
2017-02-03,15900.0000,16010.0000,15780.0000,15965.0000,198548.0000,2.0128
2017-02-06,15855.0000,16190.0000,15855.0000,16075.0000,275890.0000,0.9736
2017-02-07,16075.0000,16095.0000,15865.0000,15950.0000,184364.0000,-0.7776
2017-02-08,15900.0000,16015.0000,15800.0000,15865.0000,189848.0000,-0.5329
2017-02-09,15855.0000,15970.0000,15815.0000,15860.0000,144114.0000,-0.2516
2017-02-10,15895.0000,15995.0000,15755.0000,15845.0000,220840.0000,-0.3459
2017-02-13,15880.0000,16130.0000,15845.0000,15950.0000,274950.0000,0.4092
2017-02-14,16015.0000,16210.0000,15840.0000,15935.0000,347072.0000,-0.4063
2017-02-15,15975.0000,15995.0000,15785.0000,15845.0000,199056.0000,-1.1232
2017-02-16,15795.0000,15815.0000,15605.0000,15670.0000,172478.0000,-1.2602
2017-02-17,15660.0000,15775.0000,15490.0000,15515.0000,190016.0000,-1.3982
2017-02-20,15500.0000,15600.0000,15430.0000,15590.0000,126386.0000,-0.3516
2017-02-21,15570.0000,15815.0000,15570.0000,15650.0000,160428.0000,0.8376
2017-02-22,15665.0000,15685.0000,15460.0000,15485.0000,132514.0000,-1.4008
2017-02-23,15455.0000,15600.0000,15450.0000,15545.0000,137204.0000,0.0322
2017-02-24,15565.0000,15900.0000,15480.0000,15900.0000,313538.0000,2.3825
2017-02-27,15905.0000,15980.0000,15780.0000,15845.0000,247726.0000,1.1814
2017-02-28,15870.0000,16090.0000,15800.0000,15955.0000,285782.0000,0.5356
2017-03-01,15940.0000,16030.0000,15850.0000,16010.0000,183016.0000,0.3762
2017-03-02,16010.0000,16095.0000,15880.0000,15965.0000,174112.0000,0.1568
2017-03-03,15945.0000,16040.0000,15660.0000,15950.0000,257934.0000,-0.2502
2017-03-06,15970.0000,16465.0000,15900.0000,16430.0000,451468.0000,3.4309
2017-03-07,16405.0000,16500.0000,16235.0000,16320.0000,247898.0000,0.4926
2017-03-08,16300.0000,16345.0000,15680.0000,15730.0000,438796.0000,-3.8509
2017-03-09,15750.0000,15790.0000,15555.0000,15565.0000,287026.0000,-2.3219
2017-03-10,15565.0000,15665.0000,15285.0000,15465.0000,300578.0000,-1.2767
2017-03-13,,,,15465.0000,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
