,CZCE棉花,,,,,
,CF.CZC,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-03-08,10550.0000,10640.0000,10275.0000,10410.0000,514552.0000,-0.5256
2016-03-09,10400.0000,10455.0000,10235.0000,10290.0000,330476.0000,-1.7192
2016-03-10,10300.0000,10390.0000,10165.0000,10180.0000,296882.0000,-1.4521
2016-03-11,10180.0000,10180.0000,10040.0000,10110.0000,336550.0000,-1.8447
2016-03-14,10140.0000,10245.0000,10100.0000,10115.0000,300680.0000,0.0495
2016-03-15,10095.0000,10215.0000,10080.0000,10100.0000,278398.0000,-0.7371
2016-03-16,10100.0000,10155.0000,10060.0000,10110.0000,237762.0000,-0.3941
2016-03-17,10100.0000,10245.0000,10090.0000,10185.0000,243394.0000,0.7418
2016-03-18,10185.0000,10460.0000,10185.0000,10380.0000,500574.0000,2.0649
2016-03-21,10380.0000,10510.0000,10270.0000,10500.0000,491512.0000,1.3025
2016-03-22,10520.0000,10605.0000,10440.0000,10450.0000,396126.0000,0.3361
2016-03-23,10435.0000,10610.0000,10410.0000,10535.0000,315354.0000,0.0950
2016-03-24,10500.0000,10560.0000,10350.0000,10355.0000,302250.0000,-1.6152
2016-03-25,10360.0000,10430.0000,10340.0000,10420.0000,208124.0000,-0.2871
2016-03-28,10440.0000,10495.0000,10350.0000,10355.0000,219608.0000,-0.3848
2016-03-29,10360.0000,10430.0000,10220.0000,10235.0000,292840.0000,-1.7754
2016-03-30,10250.0000,10325.0000,10210.0000,10295.0000,150764.0000,-0.1455
2016-03-31,10320.0000,10350.0000,10120.0000,10200.0000,261980.0000,-0.7782
2016-04-01,10215.0000,10270.0000,10185.0000,10240.0000,169286.0000,0.0489
2016-04-05,10255.0000,10355.0000,10250.0000,10315.0000,167668.0000,0.8309
2016-04-06,10335.0000,10470.0000,10320.0000,10430.0000,275470.0000,1.0169
2016-04-07,10430.0000,10450.0000,10315.0000,10375.0000,214218.0000,-0.3362
2016-04-08,10380.0000,10425.0000,10330.0000,10395.0000,188040.0000,0.2894
2016-04-11,10445.0000,10790.0000,10440.0000,10790.0000,464400.0000,4.0000
2016-04-12,11000.0000,11010.0000,10810.0000,10880.0000,613854.0000,2.5448
2016-04-13,10980.0000,11325.0000,10950.0000,11325.0000,471990.0000,4.0423
