一德期货,万达期货,三五九,上海东亚,上海东方,上海东证,上海中期,上海久恒,上海五矿,上海众鑫,上海南都,上海大陆,上海恒洋,上海普民,上海浙石,上海良茂,上海通联,上海金城,上海金源,上海金鹏,东兴期货,东吴期货,东方汇金,东海期货,东航期货,东证期货,东银期货,中信建投,中信新际,中信期货,中信汇理,中化物产,中原期货,中国国际,中大期货,中天期货,中山期货,中州期货,中投期货,中晟期货,中期嘉合,中期期货,中电投,中粮期货,中航期货,中融汇信,中衍期货,中证期货,中诚期货,中谷期货,中财期货,中辉期货,中金期货,中钢期货,中铝国贸,中银国际,乾坤期货,云南国资,云晨期货,五矿实达,五矿期货,五矿海勤,五矿经易,京都期货,信达期货,倍特期货,先融期货,光大期货,兴业期货,兴证期货,冠通期货,创元期货,北京中期,北京首创,北方期货,华信万达,华元期货,华创期货,华安期货,华泰期货,华泰长城,华煜期货,华联期货,华融期货,华西期货,华证期货,华金期货,华鑫期货,华闻期货,华龙期货,南华期货,南粤期货,南证期货,同信久恒,和合期货,和融期货,四川天元,国信期货,国元安泰,国元期货,国元海勤,国富期货,国投安信,国投期货,国民期货,国泰君安,国海良时,国联期货,国贸期货,国都期货,国金期货,国际期货,大华期货,大地期货,大有期货,大越期货,大连良运,大通期货,天富期货,天津金谷,天琪期货,天风期货,天鸿期货,宁波杉立,安信期货,安徽华物,安粮期货,宏源期货,宝利华,宝城期货,山东泉鑫,山西三立,山西物产,山金期货,平安期货,广发期货,广州期货,广晟期货,广永期货,建信期货,建证期货,弘业期货,弘信期货,德盛期货,德邦期货,徽商期货,恒泰期货,成都倍特,招商期货,招金期货,摩根大通,新天期货,新晟期货,新湖期货,新疆天利,新纪元,方正中期,方正期货,无锡国联,晟鑫期货,株冶火炬,株冶集团,格林大华,格林期货,民安期货,民生期货,永安期货,汇鑫期货,江南期货,江海汇鑫,江苏东华,江苏弘业,江苏文峰,江苏苏物,江西瑞奇,河北恒银,河南万达,津投期货,浙商期货,浙新世纪,浙江中大,浙江大地,浙江大越,浙江天地,浙江天马,浙江新华,浙江永安,浙江良时,浙江金达,浙江金迪,海南星海,海富期货,海航东银,海航期货,海证期货,海通期货,深圳金汇,深圳金牛,混沌天成,渤海期货,湖南大有,湖南泰阳,湘财祈年,烟台中州,珠江期货,瑞达期货,瑞龙期货,甘肃陇达,申万期货,盛达期货,神华期货,福能期货,科信期货,紫金矿业,红塔期货,经易期货,美尔雅,苏州中辰,英大期货,葫芦岛锌,西南期货,西部期货,象屿期货,豫粮期货,财富期货,财达期货,辽宁中期,迈科期货,通惠期货,道通期货,重庆先融,金信期货,金元期货,金友期货,金川集团,金昌期货,金瑞期货,金石期货,金鹏期货,鑫国联,鑫德投资,铜冠金源,银建期货,银河期货,锌业股份,锦泰期货,长城伟业,长安期货,长江期货,陕西长安,集成利,集成期货,青铜峡,首创京都,鲁能金穗,鲁证期货,鸿海期货,鼎鑫期货
-829,0,0,0,0,0,100,-262,0,0,0,0,0,0,0,0,-1483,0,0,-620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,-2238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-292,-511,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,837,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,-264,0,0,-609,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,-242,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,-416,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,557,0,0,0,0,0,0,0,324,0,363,361,0,0,0,0,244,1296,0,0,0,0,0,1237,0,0,265,0,389,0,0,0,0,-190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-315,0,0,-1036,0,367,0,0,0,0,0,0,0,0,0,-719,0,0,0,0,0,0,0,0,-715,0,0,0,0,0,0,0,0,0,-539,0,0,0,0,0,0,0,0,0,0,0
-745,0,0,0,0,0,-84,-242,0,0,0,0,0,0,0,0,-1067,0,0,-614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,303,0,0,-2219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-374,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,532,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,-247,0,0,-1326,0,0,0,0,0,0,0,0,0,0,0,304,0,315,0,0,-181,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,-195,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,602,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,1237,0,0,0,0,0,946,0,0,607,0,343,0,0,0,0,-190,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,-828,0,266,0,0,0,0,0,0,0,0,0,-718,0,0,0,0,0,0,0,0,-890,0,0,0,0,0,0,0,0,0,-480,0,0,0,0,0,0,0,0,0,0,0
-752,0,0,230,0,0,32,-243,0,0,0,0,0,0,0,0,-1039,0,0,-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,279,0,0,-2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144,-371,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,805,217,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,-250,0,0,-830,0,0,0,0,0,0,0,0,0,0,0,218,0,320,0,0,-181,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,-412,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,562,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,1294,0,0,0,0,0,806,0,0,-186,0,285,0,0,0,0,-190,-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1073,0,210,0,0,0,0,0,0,0,0,0,-918,0,318,0,0,0,0,0,0,-855,0,0,0,0,0,0,0,0,0,-448,0,0,0,0,0,0,0,0,0,0,0
-752,0,0,230,0,0,32,-243,0,0,0,0,0,0,0,0,-1039,0,0,-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,279,0,0,-1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-144,-371,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,805,217,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,-250,0,0,-932,0,0,0,0,0,0,0,0,0,0,0,218,0,320,0,0,-181,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,-412,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,529,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,1270,0,0,0,0,0,795,0,0,-186,0,285,0,0,0,0,-190,-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1073,0,208,0,0,0,0,0,0,0,0,0,-918,0,317,0,0,0,0,0,0,-855,0,0,0,0,0,0,0,0,0,-412,0,0,0,0,0,0,0,0,0,0,0
-900,0,0,0,0,0,59,-282,0,0,0,0,0,0,0,0,-639,0,0,-670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,-322,0,0,-1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-480,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,787,0,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,-248,0,0,-1269,0,0,0,0,0,0,0,0,0,0,0,229,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-313,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,633,0,0,0,0,0,0,0,247,0,0,268,0,243,0,0,0,1552,0,227,0,0,0,705,0,0,0,0,392,0,0,0,0,-310,0,0,0,0,260,0,0,-337,0,0,0,0,0,0,0,0,0,0,-1122,0,242,0,0,0,0,0,0,0,0,0,-1523,0,320,0,0,0,0,0,0,-900,0,0,0,0,0,0,0,0,0,-524,0,0,0,0,0,0,0,0,0,0,0
-909,0,0,259,0,0,20,-278,0,0,0,0,0,0,0,0,-599,0,265,-662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,-368,0,0,-2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-426,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,966,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,-288,0,0,-1427,0,0,0,0,0,0,0,0,0,0,0,234,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-334,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,354,0,0,0,0,0,0,0,258,0,0,297,0,632,0,0,0,1668,0,-86,0,233,0,884,0,0,0,0,0,0,0,0,0,-270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1151,0,0,0,0,0,0,0,0,0,0,0,-1683,0,316,0,0,0,0,0,0,-1025,0,0,0,0,0,0,0,0,0,-531,0,0,0,0,0,0,0,0,0,0,0
-906,0,0,238,0,0,493,-330,0,0,0,0,0,0,0,0,-600,0,0,-661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,-1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-282,-397,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,749,232,0,0,0,0,201,0,861,0,0,0,0,0,0,0,0,0,-286,0,0,-1536,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,-328,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,399,0,0,211,0,308,0,0,0,1644,0,104,0,0,0,1202,0,0,320,0,0,0,0,0,0,-352,-282,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,-1096,0,430,0,0,0,0,0,0,0,0,0,-1683,0,0,0,0,0,0,0,0,-1022,0,0,0,0,0,0,0,0,0,-449,0,0,0,0,0,0,0,0,0,0,0
-805,0,0,238,0,0,543,-286,0,0,0,0,0,0,0,0,-599,0,0,-663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,-1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-459,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,1086,243,0,0,0,0,202,0,813,0,0,0,0,0,0,0,0,0,-286,0,0,-1296,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-308,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,487,0,0,0,1381,0,353,0,0,0,1004,0,0,254,0,189,0,0,0,0,-242,-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-805,0,352,0,0,0,0,0,0,0,0,0,-1604,0,0,0,0,0,0,0,0,-1006,0,0,0,0,0,0,0,0,0,-455,0,0,0,0,0,0,0,-227,0,0,0
-668,0,0,265,0,0,496,-286,0,0,0,0,0,0,0,0,-599,0,0,-680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,0,-1692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-212,-339,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,273,0,0,0,0,200,0,712,0,0,0,0,0,0,0,0,0,-302,0,0,-1262,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,-235,0,0,0,0,0,0,182,0,0,0,0,210,0,0,0,0,0,0,-314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,313,0,0,0,1031,0,53,0,0,0,712,0,0,382,0,0,0,0,0,0,-240,-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-855,0,423,0,0,0,0,0,0,0,0,0,-1218,0,0,0,0,0,0,0,0,-960,0,0,0,0,0,0,0,0,0,-332,0,0,0,0,0,0,0,0,0,0,0
-604,0,0,242,0,0,761,-281,0,0,0,0,0,0,0,0,-599,0,0,-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015,285,0,0,0,0,201,0,577,0,0,0,0,0,0,0,0,0,-271,0,0,-965,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,-225,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,-344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247,0,0,0,0,0,0,0,507,0,-502,0,0,332,0,0,0,677,0,-357,0,185,0,623,0,0,314,0,0,0,0,0,0,-240,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,-644,0,474,0,0,0,0,0,0,0,0,0,-1133,0,0,0,0,0,0,0,0,-936,0,0,0,0,0,0,0,0,0,-302,0,0,0,0,0,0,0,189,0,0,0
