category_buy,buy_sum,buy_chg,category_sell,sell_sum,update_date
非期货公司,2300,0,非期货公司,420,2016-12-05
期货公司  ,69241,-2022,期货公司  ,62657,2016-12-05
非期货公司,1520,0,非期货公司,8104,2016-12-05
期货公司  ,134790,14430,期货公司  ,123224,2016-12-05
非期货公司,900,0,非期货公司,12466,2016-12-05
期货公司  ,65978,2955,期货公司  ,61310,2016-12-05
非期货公司,300,0,非期货公司,4968,2016-12-05
期货公司  ,26667,192,期货公司  ,23175,2016-12-05
非期货公司,0,0,非期货公司,3492,2016-12-05
期货公司  ,34283,1499,期货公司  ,31263,2016-12-05
非期货公司,0,0,非期货公司,3020,2016-12-05
期货公司  ,347384,16099,期货公司  ,319934,2016-12-05
非期货公司,5020,0,非期货公司,32470,2016-12-05
期货公司  ,14735,-1690,期货公司  ,17035,2016-12-06
非期货公司,2300,0,非期货公司,0,2016-12-06
期货公司  ,65454,-3787,期货公司  ,58930,2016-12-06
非期货公司,1520,0,非期货公司,8044,2016-12-06
期货公司  ,140997,6207,期货公司  ,129431,2016-12-06
非期货公司,900,0,非期货公司,12466,2016-12-06
期货公司  ,68154,2176,期货公司  ,63486,2016-12-06
非期货公司,300,0,非期货公司,4968,2016-12-06
期货公司  ,26336,-331,期货公司  ,23044,2016-12-06
非期货公司,0,0,非期货公司,3292,2016-12-06
期货公司  ,35158,875,期货公司  ,32138,2016-12-06
非期货公司,0,0,非期货公司,3020,2016-12-06
期货公司  ,350834,3450,期货公司  ,324064,2016-12-06
非期货公司,5020,0,非期货公司,31790,2016-12-06
期货公司  ,12720,-2015,期货公司  ,14640,2016-12-07
非期货公司,1920,-380,非期货公司,0,2016-12-07
期货公司  ,61831,-3623,期货公司  ,55625,2016-12-07
非期货公司,1540,20,非期货公司,7746,2016-12-07
期货公司  ,142720,1723,期货公司  ,131254,2016-12-07
非期货公司,900,0,非期货公司,12366,2016-12-07
期货公司  ,71268,3114,期货公司  ,66600,2016-12-07
非期货公司,300,0,非期货公司,4968,2016-12-07
期货公司  ,26388,52,期货公司  ,22696,2016-12-07
非期货公司,0,0,非期货公司,3692,2016-12-07
期货公司  ,36410,1252,期货公司  ,33390,2016-12-07
非期货公司,0,0,非期货公司,3020,2016-12-07
期货公司  ,351337,503,期货公司  ,324205,2016-12-07
非期货公司,4660,-360,非期货公司,31792,2016-12-07
期货公司  ,11035,-1685,期货公司  ,12955,2016-12-08
非期货公司,1920,0,非期货公司,0,2016-12-08
期货公司  ,57207,-4624,期货公司  ,51171,2016-12-08
非期货公司,1540,0,非期货公司,7576,2016-12-08
