,CZCE白糖,,,,,
,SR.CZC,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,涨跌幅
Date,open,high,low,close,volume,pct_chg
2016-05-23,5489.0000,5536.0000,5464.0000,5530.0000,1119966.0000,0.5455
2016-05-24,5515.0000,5525.0000,5491.0000,5497.0000,510224.0000,-0.1635
2016-05-25,5495.0000,5508.0000,5432.0000,5471.0000,1005048.0000,-0.6718
2016-05-26,5465.0000,5522.0000,5460.0000,5518.0000,583378.0000,0.8038
2016-05-27,5528.0000,5550.0000,5502.0000,5519.0000,479996.0000,0.3455
2016-05-30,5516.0000,5560.0000,5503.0000,5557.0000,555902.0000,0.5974
2016-05-31,5558.0000,5583.0000,5533.0000,5573.0000,587866.0000,0.6684
2016-06-01,5567.0000,5579.0000,5500.0000,5515.0000,514372.0000,-0.7915
2016-06-02,5513.0000,5531.0000,5507.0000,5520.0000,303086.0000,-0.2710
2016-06-03,5538.0000,5683.0000,5532.0000,5676.0000,1243836.0000,2.8075
2016-06-06,5675.0000,5732.0000,5622.0000,5724.0000,1148220.0000,2.0321
2016-06-07,5716.0000,5720.0000,5652.0000,5659.0000,765546.0000,-0.4048
2016-06-08,5682.0000,5696.0000,5659.0000,5666.0000,507536.0000,-0.2991
2016-06-13,5700.0000,5808.0000,5688.0000,5759.0000,775136.0000,1.4087
2016-06-14,5763.0000,5783.0000,5730.0000,5742.0000,566254.0000,-0.3644
2016-06-15,5730.0000,5741.0000,5663.0000,5709.0000,691754.0000,-0.7303
2016-06-16,5722.0000,5800.0000,5700.0000,5732.0000,1135770.0000,0.6497
2016-06-17,5745.0000,5784.0000,5692.0000,5781.0000,887040.0000,0.5391
2016-06-20,5795.0000,5864.0000,5766.0000,5833.0000,1416042.0000,1.6202
2016-06-21,5828.0000,5859.0000,5801.0000,5811.0000,689472.0000,-0.3601
2016-06-22,5781.0000,5799.0000,5757.0000,5793.0000,581282.0000,-0.6687
2016-06-23,5790.0000,5814.0000,5762.0000,5766.0000,612490.0000,-0.2767
2016-06-24,5778.0000,5787.0000,5701.0000,5705.0000,775476.0000,-1.4170
2016-06-27,5700.0000,5815.0000,5700.0000,5781.0000,574230.0000,0.4169
2016-06-28,5777.0000,5868.0000,5775.0000,5833.0000,704630.0000,1.1444
2016-06-29,5850.0000,5880.0000,5819.0000,5841.0000,663472.0000,0.2919
2016-06-30,5883.0000,6090.0000,5883.0000,6090.0000,1571808.0000,4.0137
2016-07-01,6090.0000,6095.0000,5953.0000,5984.0000,1384552.0000,-0.3165
2016-07-04,6010.0000,6170.0000,6005.0000,6074.0000,1539478.0000,1.1154
2016-07-05,6068.0000,6088.0000,5888.0000,5978.0000,924152.0000,-1.9518
2016-07-06,6001.0000,6064.0000,5902.0000,5971.0000,1169134.0000,-0.5662
2016-07-07,5900.0000,5961.0000,5881.0000,5885.0000,704970.0000,-1.6380
2016-07-08,5903.0000,5916.0000,5757.0000,5784.0000,939892.0000,-2.3633
2016-07-11,5785.0000,5848.0000,5755.0000,5821.0000,614046.0000,-0.1030
2016-07-12,5850.0000,5956.0000,5833.0000,5924.0000,766166.0000,1.9621
2016-07-13,5900.0000,5940.0000,5847.0000,5907.0000,738244.0000,0.0678
2016-07-14,5930.0000,5968.0000,5819.0000,5878.0000,618678.0000,-0.2545
2016-07-15,5938.0000,5948.0000,5860.0000,5897.0000,569060.0000,0.0000
2016-07-18,5879.0000,5887.0000,5811.0000,5850.0000,487160.0000,-0.9482
2016-07-19,5840.0000,5915.0000,5836.0000,5902.0000,634762.0000,0.9925
2016-07-20,6270.0000,6288.0000,6224.0000,6247.0000,297568.0000,-0.1917
2016-07-21,6234.0000,6260.0000,6197.0000,6245.0000,241168.0000,-0.2556
2016-07-22,6274.0000,6310.0000,6205.0000,6216.0000,500774.0000,-0.2727
2016-07-25,6214.0000,6248.0000,6188.0000,6228.0000,296744.0000,-0.4635
2016-07-26,6249.0000,6282.0000,6200.0000,6233.0000,445984.0000,0.2251
2016-07-27,6185.0000,6218.0000,6162.0000,6190.0000,446172.0000,-0.8648
2016-07-28,6162.0000,6202.0000,6121.0000,6124.0000,562064.0000,-1.0982
2016-07-29,6134.0000,6157.0000,6090.0000,6105.0000,615812.0000,-0.9411
2016-08-01,6124.0000,6187.0000,6124.0000,6157.0000,495070.0000,0.5224
2016-08-02,6151.0000,6192.0000,6127.0000,6134.0000,449460.0000,-0.4544
2016-08-03,6159.0000,6176.0000,6130.0000,6136.0000,445162.0000,-0.3087
2016-08-04,6130.0000,6163.0000,6049.0000,6070.0000,814612.0000,-1.3329
2016-08-05,6070.0000,6131.0000,6061.0000,6103.0000,534676.0000,0.0984
2016-08-08,6114.0000,6177.0000,6100.0000,6151.0000,578340.0000,0.8361
2016-08-09,6176.0000,6191.0000,6140.0000,6152.0000,380422.0000,0.1954
2016-08-10,6159.0000,6176.0000,6089.0000,6116.0000,585082.0000,-0.7143
2016-08-11,6120.0000,6131.0000,6045.0000,6064.0000,540792.0000,-1.1251
2016-08-12,6067.0000,6081.0000,6056.0000,6065.0000,269442.0000,-0.2795
2016-08-15,6072.0000,6127.0000,6070.0000,6106.0000,429298.0000,0.5931
2016-08-16,6110.0000,6145.0000,6095.0000,6121.0000,379890.0000,0.2621
2016-08-17,6130.0000,6183.0000,6124.0000,6162.0000,480306.0000,0.6534
2016-08-18,6142.0000,6157.0000,6107.0000,6149.0000,401588.0000,-0.1299
2016-08-19,6155.0000,6248.0000,6150.0000,6238.0000,722294.0000,1.7286
2016-08-22,6220.0000,6271.0000,6206.0000,6242.0000,569348.0000,0.5639
2016-08-23,6256.0000,6298.0000,6246.0000,6292.0000,573464.0000,0.8495
2016-08-24,6288.0000,6292.0000,6254.0000,6276.0000,438936.0000,-0.0319
2016-08-25,6278.0000,6278.0000,6186.0000,6230.0000,650228.0000,-0.6855
2016-08-26,6257.0000,6257.0000,6202.0000,6233.0000,375542.0000,0.1929
2016-08-29,6229.0000,6255.0000,6190.0000,6242.0000,467328.0000,0.2409
2016-08-30,6236.0000,6287.0000,6233.0000,6261.0000,557162.0000,0.5460
2016-08-31,6260.0000,6263.0000,6200.0000,6230.0000,458194.0000,-0.6538
2016-09-01,6200.0000,6246.0000,6191.0000,6204.0000,710328.0000,-0.4013
2016-09-02,6199.0000,6211.0000,6142.0000,6181.0000,818368.0000,-0.5950
2016-09-05,6239.0000,6268.0000,6224.0000,6252.0000,528680.0000,1.1978
2016-09-06,6250.0000,6261.0000,6232.0000,6242.0000,240660.0000,-0.0800
2016-09-07,6210.0000,6265.0000,6202.0000,6251.0000,415000.0000,0.0640
2016-09-08,6275.0000,6280.0000,6215.0000,6227.0000,366804.0000,-0.1923
2016-09-09,6216.0000,6240.0000,6213.0000,6231.0000,284864.0000,-0.0802
2016-09-12,6220.0000,6250.0000,6203.0000,6230.0000,582376.0000,0.0642
2016-09-13,6225.0000,6336.0000,6214.0000,6320.0000,916920.0000,1.4935
2016-09-14,6327.0000,6330.0000,6293.0000,6323.0000,411292.0000,0.4767
2016-09-19,6478.0000,6480.0000,6414.0000,6437.0000,420710.0000,1.9642
2016-09-20,6452.0000,6464.0000,6418.0000,6432.0000,458706.0000,-0.2017
2016-09-21,6437.0000,6488.0000,6405.0000,6412.0000,741928.0000,-0.4193
2016-09-22,6421.0000,6528.0000,6394.0000,6473.0000,951404.0000,0.4500
2016-09-23,6511.0000,6523.0000,6463.0000,6499.0000,575378.0000,0.5570
2016-09-26,6514.0000,6625.0000,6491.0000,6610.0000,757894.0000,1.8176
2016-09-27,6615.0000,6695.0000,6610.0000,6673.0000,990304.0000,1.4596
2016-09-28,6665.0000,6721.0000,6638.0000,6710.0000,728650.0000,0.7659
2016-09-29,6700.0000,6765.0000,6676.0000,6698.0000,855612.0000,0.3446
2016-09-30,6705.0000,6723.0000,6657.0000,6716.0000,561144.0000,0.0149
2016-10-10,6710.0000,6732.0000,6668.0000,6730.0000,418016.0000,0.5228
2016-10-11,6720.0000,6730.0000,6622.0000,6658.0000,811784.0000,-0.5229
2016-10-12,6657.0000,6714.0000,6638.0000,6693.0000,607166.0000,0.3900
2016-10-13,6681.0000,6767.0000,6666.0000,6735.0000,801556.0000,0.8535
2016-10-14,6737.0000,6749.0000,6709.0000,6740.0000,483696.0000,0.2380
2016-10-17,6734.0000,6814.0000,6697.0000,6786.0000,745778.0000,0.8171
2016-10-18,6786.0000,6804.0000,6747.0000,6796.0000,484076.0000,0.4731
2016-10-19,6782.0000,6797.0000,6702.0000,6725.0000,745516.0000,-0.8112
2016-10-20,6731.0000,6747.0000,6701.0000,6715.0000,426500.0000,-0.5185
2016-10-21,6685.0000,6724.0000,6675.0000,6714.0000,563680.0000,-0.1636
2016-10-24,6716.0000,6906.0000,6710.0000,6877.0000,1032168.0000,2.6265
2016-10-25,6890.0000,6905.0000,6859.0000,6900.0000,588108.0000,1.0545
2016-10-26,6896.0000,6931.0000,6828.0000,6890.0000,746248.0000,0.1308
2016-10-27,6886.0000,6910.0000,6851.0000,6858.0000,508508.0000,-0.2037
2016-10-28,6865.0000,6886.0000,6786.0000,6819.0000,806850.0000,-0.8722
2016-10-31,6800.0000,6823.0000,6750.0000,6760.0000,604250.0000,-1.0539
2016-11-01,6752.0000,6758.0000,6692.0000,6747.0000,598648.0000,-0.6918
2016-11-02,6743.0000,6776.0000,6702.0000,6746.0000,583390.0000,0.2228
2016-11-03,6751.0000,6854.0000,6733.0000,6825.0000,720792.0000,1.2011
2016-11-04,6818.0000,6853.0000,6740.0000,6744.0000,492368.0000,-0.7944
2016-11-07,6768.0000,6796.0000,6743.0000,6774.0000,454280.0000,-0.4263
2016-11-08,6790.0000,6888.0000,6780.0000,6795.0000,788544.0000,0.3248
2016-11-09,6788.0000,6828.0000,6760.0000,6775.0000,581156.0000,-0.9358
2016-11-10,6784.0000,6848.0000,6775.0000,6816.0000,676302.0000,0.3977
2016-11-11,6798.0000,6940.0000,6782.0000,6823.0000,1017006.0000,0.1027
2016-11-14,6820.0000,6858.0000,6728.0000,6829.0000,867816.0000,-0.2629
2016-11-15,6824.0000,6907.0000,6813.0000,6852.0000,938596.0000,0.8685
2016-11-16,6855.0000,6875.0000,6785.0000,6818.0000,529734.0000,-0.5543
2016-11-17,6800.0000,6800.0000,6748.0000,6779.0000,542892.0000,-0.6594
2016-11-18,6784.0000,6804.0000,6751.0000,6797.0000,432380.0000,0.3988
2016-11-21,6811.0000,6876.0000,6766.0000,6841.0000,565282.0000,0.8848
2016-11-22,6851.0000,6892.0000,6819.0000,6865.0000,531918.0000,0.6156
2016-11-23,6860.0000,6872.0000,6771.0000,6799.0000,402792.0000,-0.8603
