Wind资讯,ZN1602.SHF,ZN1602.SHF
,沪锌1602,沪锌1602
日期,结算价,持仓量
2015-02-16,16420.00 ,0.00 
2015-02-17,16445.00 ,0.00 
2015-02-25,16125.00 ,0.00 
2015-02-26,16110.00 ,18.00 
2015-02-27,16110.00 ,62.00 
2015-03-02,16110.00 ,58.00 
2015-03-03,16110.00 ,58.00 
2015-03-04,15955.00 ,62.00 
2015-03-05,15850.00 ,52.00 
2015-03-06,15870.00 ,58.00 
2015-03-09,15820.00 ,60.00 
2015-03-10,15880.00 ,60.00 
2015-03-11,15800.00 ,70.00 
2015-03-12,15765.00 ,84.00 
2015-03-13,15860.00 ,84.00 
2015-03-16,15905.00 ,82.00 
2015-03-17,15870.00 ,82.00 
2015-03-18,15790.00 ,86.00 
2015-03-19,15795.00 ,90.00 
2015-03-20,15845.00 ,88.00 
2015-03-23,16020.00 ,88.00 
2015-03-24,16110.00 ,84.00 
2015-03-25,16150.00 ,94.00 
2015-03-26,16200.00 ,92.00 
2015-03-27,16200.00 ,92.00 
2015-03-30,16190.00 ,92.00 
2015-03-31,16190.00 ,92.00 
2015-04-01,16165.00 ,92.00 
2015-04-02,16235.00 ,92.00 
2015-04-03,16370.00 ,94.00 
2015-04-07,16370.00 ,94.00 
2015-04-08,16370.00 ,94.00 
2015-04-09,16375.00 ,94.00 
2015-04-10,16375.00 ,94.00 
2015-04-13,16690.00 ,98.00 
2015-04-14,16615.00 ,90.00 
2015-04-15,16640.00 ,96.00 
2015-04-16,16705.00 ,94.00 
2015-04-17,16885.00 ,96.00 
2015-04-20,16700.00 ,100.00 
2015-04-21,16635.00 ,100.00 
2015-04-22,16635.00 ,100.00 
2015-04-23,16740.00 ,110.00 
2015-04-24,16760.00 ,108.00 
2015-04-27,16965.00 ,122.00 
2015-04-28,17180.00 ,128.00 
2015-04-29,17080.00 ,138.00 
2015-04-30,17175.00 ,152.00 
2015-05-04,17340.00 ,156.00 
2015-05-05,17315.00 ,154.00 
