Wind资讯,ZN1605.SHF,ZN1605.SHF
,沪锌1605,沪锌1605
日期,结算价,持仓量
2015-05-18,17260.00 ,2.00 
2015-05-19,17260.00 ,2.00 
2015-05-20,16920.00 ,8.00 
2015-05-21,16920.00 ,8.00 
2015-05-22,16845.00 ,8.00 
2015-05-25,16750.00 ,14.00 
2015-05-26,16750.00 ,14.00 
2015-05-27,16780.00 ,16.00 
2015-05-28,16945.00 ,20.00 
2015-05-29,17070.00 ,24.00 
2015-06-01,16920.00 ,40.00 
2015-06-02,16775.00 ,46.00 
2015-06-03,16740.00 ,60.00 
2015-06-04,16605.00 ,64.00 
2015-06-05,16455.00 ,68.00 
2015-06-08,16480.00 ,72.00 
2015-06-09,16550.00 ,80.00 
2015-06-10,16550.00 ,80.00 
2015-06-11,16535.00 ,80.00 
2015-06-12,16445.00 ,88.00 
2015-06-15,16430.00 ,88.00 
2015-06-16,16325.00 ,88.00 
2015-06-17,16205.00 ,88.00 
2015-06-18,16065.00 ,90.00 
2015-06-19,15965.00 ,90.00 
2015-06-23,15840.00 ,96.00 
2015-06-24,15860.00 ,108.00 
2015-06-25,15825.00 ,114.00 
2015-06-26,15770.00 ,128.00 
2015-06-29,15690.00 ,138.00 
2015-06-30,15490.00 ,146.00 
2015-07-01,15385.00 ,146.00 
2015-07-02,15625.00 ,138.00 
2015-07-03,15635.00 ,150.00 
2015-07-06,15345.00 ,188.00 
2015-07-07,15425.00 ,192.00 
2015-07-08,14780.00 ,176.00 
2015-07-09,14830.00 ,176.00 
2015-07-10,15275.00 ,178.00 
2015-07-13,15255.00 ,176.00 
2015-07-14,15490.00 ,176.00 
2015-07-15,15490.00 ,176.00 
2015-07-16,15700.00 ,176.00 
2015-07-17,15625.00 ,180.00 
2015-07-20,15515.00 ,182.00 
2015-07-21,15560.00 ,182.00 
2015-07-22,15440.00 ,182.00 
2015-07-23,15175.00 ,186.00 
2015-07-24,15180.00 ,188.00 
2015-07-27,14840.00 ,186.00 
2015-07-28,14735.00 ,192.00 
2015-07-29,15060.00 ,188.00 
2015-07-30,14970.00 ,194.00 
2015-07-31,14855.00 ,200.00 
2015-08-03,14725.00 ,216.00 
2015-08-04,14625.00 ,226.00 
2015-08-05,14715.00 ,222.00 
2015-08-06,14595.00 ,230.00 
2015-08-07,14405.00 ,254.00 
2015-08-10,14400.00 ,270.00 
2015-08-11,14540.00 ,274.00 
2015-08-12,14555.00 ,258.00 
2015-08-13,14830.00 ,276.00 
2015-08-14,14765.00 ,268.00 
2015-08-17,14755.00 ,256.00 
2015-08-18,14650.00 ,256.00 
2015-08-19,14475.00 ,258.00 
2015-08-20,14605.00 ,272.00 
2015-08-21,14845.00 ,266.00 
2015-08-24,14390.00 ,262.00 
2015-08-25,14345.00 ,248.00 
2015-08-26,14425.00 ,244.00 
2015-08-27,14315.00 ,246.00 
2015-08-28,14500.00 ,230.00 
2015-08-31,14710.00 ,232.00 
2015-09-01,14680.00 ,234.00 
2015-09-02,14755.00 ,242.00 
2015-09-07,14735.00 ,242.00 
2015-09-08,14605.00 ,242.00 
2015-09-09,14865.00 ,254.00 
2015-09-10,14835.00 ,252.00 
2015-09-11,14875.00 ,252.00 
2015-09-14,14795.00 ,244.00 
2015-09-15,14480.00 ,244.00 
2015-09-16,14340.00 ,412.00 
2015-09-17,14315.00 ,846.00 
2015-09-18,14170.00 ,978.00 
2015-09-21,13570.00 ,1012.00 
2015-09-22,13375.00 ,1048.00 
2015-09-23,13250.00 ,1110.00 
2015-09-24,13410.00 ,1104.00 
2015-09-25,13495.00 ,1106.00 
2015-09-28,13275.00 ,1108.00 
2015-09-29,13175.00 ,1090.00 
2015-09-30,13415.00 ,1086.00 
2015-10-08,13475.00 ,1092.00 
2015-10-09,13705.00 ,1098.00 
2015-10-12,14295.00 ,1104.00 
2015-10-13,14250.00 ,1096.00 
2015-10-14,14225.00 ,1096.00 
2015-10-15,14305.00 ,1090.00 
2015-10-16,14260.00 ,1080.00 
2015-10-19,14150.00 ,1070.00 
2015-10-20,13995.00 ,1058.00 
2015-10-21,14090.00 ,1082.00 
2015-10-22,13770.00 ,1062.00 
2015-10-23,13890.00 ,1110.00 
2015-10-26,13960.00 ,1100.00 
