update_date,open,high,low,close,amt,volume
2015/7/14 14:25,84498.72,84641.11,84451.16,84617.04,0,6500
2015/7/14 14:26,84641.37,84649.46,84633.22,84633.22,0,322
2015/7/14 14:30,84633.2,84956.62,84604.64,84924.17,0,8162
2015/7/14 14:35,84899.83,85019.04,84765.35,84833.32,0,8416
2015/7/14 14:40,84833.33,84844.01,84599.76,84648.49,0,5288
2015/7/14 14:45,84640.38,84781.6,84569.87,84692.43,0,5234
2015/7/14 14:50,84692.43,84818.16,84616.41,84681.27,0,5390
2015/7/14 14:55,84681.26,84742.22,84394.13,84394.13,0,6948
2015/7/14 15:00,84412.8,84624.72,84388.53,84600.42,0,7452
2015/8/3 8:55,82693.99,82693.99,82693.99,82693.99,0,265616
2015/8/3 9:00,82535.4,82539.58,82127.9,82174.07,0,7646
2015/8/3 9:05,82115.33,82115.33,81787.86,82076.01,0,20074
2015/8/3 9:10,82089.95,82410,82075.99,82398.82,0,11744
2015/8/3 9:15,82394.7,82394.7,82194.49,82277.25,0,7034
2015/8/3 9:20,82263.36,82266.45,82110.75,82180.88,0,5570
2015/8/3 9:25,82194.79,82246.56,82116.69,82214.25,0,3818
2015/8/3 9:30,82228.16,82231.01,81891.27,81982.16,0,7302
2015/8/3 9:35,81952.76,82012.09,81597.36,81782.1,0,13180
2015/8/3 9:40,81770.6,81829.4,81429.21,81640.16,0,10534
2015/8/3 9:45,81662.67,81679.29,81434.58,81655.53,0,8160
2015/8/3 9:50,81671.06,81686.22,81543.67,81644.35,0,4914
2015/8/3 9:55,81662.76,81711.94,81241.49,81296.94,0,11386
2015/8/3 10:00,81296.93,81448.65,81227.38,81426.57,0,7436
2015/8/3 10:05,81401.25,81474.21,81178.1,81295.69,0,7116
2015/8/3 10:10,81323.88,81517.46,81316.93,81387.73,0,5816
2015/8/3 10:15,81366.87,81567.29,81364.08,81487.41,0,3422
2015/8/3 10:30,81468.21,81555.31,81468.21,81535.81,0,1014
2015/8/3 10:35,81513.32,81513.32,81349.85,81349.87,0,5008
2015/8/3 10:40,81349.87,81406.07,81149.03,81149.03,0,4988
2015/8/3 10:45,81191.84,81453.73,81066.55,81127.59,0,11978
2015/8/3 10:50,81185.28,81293.73,81079.75,81252.71,0,6734
2015/8/3 10:55,81258.49,81307.42,81163.28,81212.19,0,3032
2015/8/3 11:00,81188.49,81209.27,80761,80857.39,0,9916
2015/8/3 11:05,80900.69,81083.77,80718.31,80831.72,0,8914
2015/8/3 11:10,80817.85,81013.2,80796.6,80924.45,0,6614
2015/8/3 11:15,80924.45,80996.12,80826.44,80949.44,0,4254
2015/8/3 11:20,80956.39,81129.22,80956.39,81036.92,0,4252
2015/8/3 11:25,81036.92,81080.12,80924.73,81007.32,0,2724
2015/8/3 11:30,81021.22,81060.51,80937.35,81005.83,0,2720
2015/8/3 13:30,80950.19,80950.19,80857.11,80869.78,0,1796
2015/8/3 13:35,80869.78,80942.66,80671.96,80760.03,0,8024
2015/8/3 13:40,80760.02,80760.02,80647.23,80694.53,0,6874
2015/8/3 13:45,80680.57,80828.61,80680.57,80758.22,0,6798
2015/8/3 13:50,80751.21,80776.58,80637.3,80695.71,0,6138
2015/8/3 13:55,80688.69,80915.58,80560.9,80824.68,0,12426
2015/8/3 14:00,80842.99,80842.99,80733.61,80769.21,0,4178
2015/8/3 14:05,80776.15,80816.82,80717.11,80724.09,0,4430
2015/8/3 14:10,80724.08,80740.56,80659.11,80717.87,0,4608
2015/8/3 14:15,80710.86,80792.44,80645.03,80792.44,0,4460
2015/8/3 14:20,80785.43,80789.63,80677.41,80677.47,0,3452
2015/8/3 14:25,80677.46,80697.66,80540.72,80676.64,0,5852
2015/8/3 14:30,80676.63,80762.02,80651.38,80756.42,0,3538
2015/8/3 14:35,80756.43,80861.79,80644.36,80650.03,0,6484
2015/8/3 14:40,80657.03,80700.44,80500.31,80541.83,0,8166
2015/8/3 14:45,80548.84,80581.05,80427.88,80487.15,0,8916
2015/8/3 14:50,80494.18,80507.64,80382.82,80496.54,0,9354
2015/8/3 14:55,80470.08,80654.49,80470.08,80553.97,0,8840
2015/8/3 15:00,80553.98,80594.82,80481.07,80513.63,0,8062
2015/8/4 8:55,80685.31,80685.31,80685.31,80685.31,0,258192
2015/8/4 9:00,80883.75,80917.85,80757.28,80854.17,0,4444
2015/8/4 9:05,80861.17,80861.22,80613.59,80687.68,0,6584
2015/8/4 9:10,80677.86,80691.75,80448.39,80455.25,0,8646
2015/8/4 9:15,80421.69,80471.47,80352.71,80470.26,0,8694
2015/8/4 9:20,80464.56,80551.29,80296.01,80497.96,0,8846
2015/8/4 9:25,80467.29,80486.91,80435.06,80484.19,0,2484
2015/8/4 9:30,80517.69,80600.01,80506.56,80593.07,0,3770
2015/8/4 9:35,80559.57,80583.25,80509.55,80558.23,0,2688
2015/8/4 9:40,80558.23,80802.02,80558.23,80783.67,0,7016
2015/8/4 9:45,80797.57,80968.34,80783.65,80897.46,0,10410
2015/8/4 9:50,80907.26,80930.98,80787.08,80794.17,0,5274
2015/8/4 9:55,80801.09,80844.46,80742.62,80810.67,0,2592
2015/8/4 10:00,80810.67,80811.73,80748.96,80794.94,0,1404
2015/8/4 10:05,80794.94,80794.97,80676.19,80687.99,0,3020
2015/8/4 10:10,80667.25,80667.31,80512.64,80573.24,0,3962
2015/8/4 10:15,80580.15,80619.34,80500.48,80522.48,0,3884
2015/8/4 10:30,80501.77,80501.8,80399.37,80452.37,0,1872
2015/8/4 10:35,80431.68,80507.27,80431.68,80444.5,0,2882
2015/8/4 10:40,80451.39,80451.39,80148.15,80242.4,0,14894
2015/8/4 10:45,80246.97,80374.26,80120.64,80371.96,0,11810
2015/8/4 10:50,80371.97,80419.34,80329.9,80412.44,0,5676
2015/8/4 10:55,80402.63,80653.92,80366.29,80543.32,0,7834
2015/8/4 11:00,80539.3,80582.1,80463.5,80463.5,0,4052
2015/8/4 11:05,80463.5,80514.91,80412.95,80439.57,0,3720
2015/8/4 11:10,80446.46,80509.87,80423.31,80472.5,0,2906
2015/8/4 11:15,80493.14,80515.81,80352.82,80359.71,0,4342
2015/8/4 11:20,80352.8,80577.15,80352.79,80537.96,0,4768
2015/8/4 11:25,80532.13,80544.89,80492.33,80509.01,0,1890
2015/8/4 11:30,80502.14,80631.92,80459,80631.92,0,2224
2015/8/4 13:30,80641.73,80660.36,80554.48,80645.63,0,1808
2015/8/4 13:35,80639.76,80674.26,80524.7,80524.7,0,4106
2015/8/4 13:40,80531.52,80791.83,80531.52,80758.51,0,6048
2015/8/4 13:45,80765.36,80788.93,80690.25,80766.84,0,3522
2015/8/4 13:50,80753.17,80831.55,80733.58,80804.81,0,4270
2015/8/4 13:55,80818.48,80820.61,80726.66,80751.93,0,3070
2015/8/4 14:00,80751.92,80776.25,80660.9,80697.34,0,3074
2015/8/4 14:05,80700.31,81069.06,80700.31,81024.01,0,8436
2015/8/4 14:10,81037.64,81051.02,80904.12,80904.12,0,6334
2015/8/4 14:15,80901.15,80970.61,80852.22,80930.38,0,4500
2015/8/4 14:20,80930.38,80950.65,80793.8,80813.37,0,3318
2015/8/4 14:25,80793.76,80835.91,80747.74,80829.08,0,3640
2015/8/4 14:30,80838.89,80884.92,80783.43,80803.08,0,2610
2015/8/4 14:35,80780.46,80940.15,80763.85,80914.54,0,2350
2015/8/4 14:40,80911.55,80960.69,80836.14,80852.78,0,3868
2015/8/4 14:45,80859.58,80961.21,80859.58,80947.65,0,3448
2015/8/4 14:50,80946.83,81405.35,80940.82,81308.16,0,14466
2015/8/4 14:55,81314.96,81336.89,81190.01,81222.69,0,6494
2015/8/4 15:00,81209.22,81306.49,81181.19,81293.05,0,5266
2015/8/5 8:55,81529.57,81529.57,81529.57,81529.57,0,172324
2015/8/5 9:00,81526.31,81526.32,81274.92,81314.05,0,3028
2015/8/5 9:05,81314.14,81346.79,81086.67,81112.62,0,11120
2015/8/5 9:10,81109.33,81193.37,81053.51,81150.84,0,6970
2015/8/5 9:15,81144.3,81173.69,80994.54,80997.74,0,5206
2015/8/5 9:20,80994.41,81001.28,80709.77,80775.08,0,13118
2015/8/5 9:25,80778.41,80886.61,80778.41,80831.01,0,5122
2015/8/5 9:30,80837.52,80853.88,80605.57,80680.37,0,8816
2015/8/5 9:35,80673.84,80765.38,80569.94,80648.5,0,7242
2015/8/5 9:40,80654.99,80763.04,80651.94,80710.57,0,3550
2015/8/5 9:45,80717.07,80775.85,80687.74,80726.79,0,2450
2015/8/5 9:50,80720.29,80795.25,80703.97,80795.25,0,2586
2015/8/5 9:55,80795.26,80795.26,80730.2,80746.25,0,2362
