update_date,volume,position,position_diff,turn_over_rate
2007-03-26,"21,606.00 ","6,068.00 ",,
2007-03-27,"17,198.00 ","7,962.00 ","1,894.00 ",9.080253432
2007-03-28,"9,026.00 ","8,666.00 ",704.00 ,12.82102273
2007-03-29,"9,190.00 ","9,566.00 ",900.00 ,10.21111111
2007-03-30,"14,140.00 ","10,736.00 ","1,170.00 ",12.08547009
2007-04-02,"6,046.00 ","11,042.00 ",306.00 ,19.75816993
2007-04-03,"12,742.00 ","11,870.00 ",828.00 ,15.38888889
2007-04-04,"9,230.00 ","12,292.00 ",422.00 ,21.87203791
2007-04-05,"19,804.00 ","14,856.00 ","2,564.00 ",7.723868955
2007-04-06,"62,900.00 ","18,620.00 ","3,764.00 ",16.7109458
2007-04-09,"34,082.00 ","21,114.00 ","2,494.00 ",13.66559743
2007-04-10,"132,998.00 ","27,646.00 ","6,532.00 ",20.36099204
2007-04-11,"118,144.00 ","29,340.00 ","1,694.00 ",69.74262102
2007-04-12,"114,138.00 ","32,888.00 ","3,548.00 ",32.16967306
2007-04-13,"59,808.00 ","29,552.00 ","-3,336.00 ",-17.92805755
2007-04-16,"59,672.00 ","31,364.00 ","1,812.00 ",32.93156733
2007-04-17,"76,410.00 ","32,702.00 ","1,338.00 ",57.10762332
2007-04-18,"25,508.00 ","31,066.00 ","-1,636.00 ",-15.59168704
2007-04-19,"146,222.00 ","32,622.00 ","1,556.00 ",93.97300771
2007-04-20,"129,208.00 ","32,214.00 ",-408.00 ,-316.6862745
2007-04-23,"110,814.00 ","34,920.00 ","2,706.00 ",40.95121951
2007-04-24,"102,662.00 ","38,560.00 ","3,640.00 ",28.20384615
2007-04-25,"125,850.00 ","36,504.00 ","-2,056.00 ",-61.21108949
2007-04-26,"67,730.00 ","37,978.00 ","1,474.00 ",45.94979647
2007-04-27,"73,880.00 ","34,952.00 ","-3,026.00 ",-24.4150694
2007-04-30,"50,978.00 ","32,224.00 ","-2,728.00 ",-18.68695015
2007-05-08,658.00 ,"31,922.00 ",-302.00 ,-2.178807947
2007-05-09,"100,186.00 ","39,332.00 ","7,410.00 ",13.52037787
2007-05-10,"110,314.00 ","43,922.00 ","4,590.00 ",24.0335512
2007-05-11,"87,832.00 ","39,636.00 ","-4,286.00 ",-20.49276715
2007-05-14,"72,970.00 ","39,144.00 ",-492.00 ,-148.3130081
2007-05-15,"59,588.00 ","35,242.00 ","-3,902.00 ",-15.271143
2007-05-16,"93,018.00 ","34,520.00 ",-722.00 ,-128.833795
2007-05-17,"62,726.00 ","30,054.00 ","-4,466.00 ",-14.04523063
2007-05-18,"139,704.00 ","29,290.00 ",-764.00 ,-182.8586387
2007-05-21,"58,256.00 ","26,842.00 ","-2,448.00 ",-23.79738562
