Wind资讯,ZN1609.SHF,ZN1609.SHF
,沪锌1609,沪锌1609
日期,结算价,持仓量
2015-09-16,14390.00 ,4.00 
2015-09-17,14435.00 ,10.00 
2015-09-18,14175.00 ,28.00 
2015-09-21,13470.00 ,60.00 
2015-09-22,13330.00 ,90.00 
2015-09-23,13150.00 ,138.00 
2015-09-24,13295.00 ,164.00 
2015-09-25,13370.00 ,188.00 
2015-09-28,13180.00 ,214.00 
2015-09-29,13040.00 ,230.00 
2015-09-30,13175.00 ,202.00 
2015-10-08,13340.00 ,192.00 
2015-10-09,13580.00 ,186.00 
2015-10-12,14120.00 ,174.00 
2015-10-13,14055.00 ,178.00 
2015-10-14,14045.00 ,186.00 
2015-10-15,14190.00 ,218.00 
2015-10-16,14150.00 ,262.00 
2015-10-19,14075.00 ,290.00 
2015-10-20,13920.00 ,308.00 
2015-10-21,13985.00 ,310.00 
2015-10-22,13650.00 ,288.00 
2015-10-23,13840.00 ,226.00 
2015-10-26,13835.00 ,226.00 
2015-10-27,13835.00 ,244.00 
2015-10-28,13910.00 ,242.00 
2015-10-29,13910.00 ,242.00 
2015-10-30,13680.00 ,236.00 
2015-11-02,13680.00 ,234.00 
2015-11-03,13730.00 ,228.00 
2015-11-04,13725.00 ,226.00 
2015-11-05,13695.00 ,222.00 
2015-11-06,13720.00 ,222.00 
2015-11-09,13620.00 ,222.00 
2015-11-10,13235.00 ,226.00 
2015-11-11,12985.00 ,238.00 
2015-11-12,12990.00 ,228.00 
2015-11-13,12990.00 ,228.00 
2015-11-16,13005.00 ,230.00 
2015-11-17,12725.00 ,232.00 
2015-11-18,12505.00 ,244.00 
2015-11-19,12240.00 ,254.00 
2015-11-20,12185.00 ,258.00 
2015-11-23,12160.00 ,346.00 
2015-11-24,12340.00 ,348.00 
2015-11-25,12735.00 ,346.00 
2015-11-26,12960.00 ,318.00 
2015-11-27,12920.00 ,330.00 
2015-11-30,12665.00 ,336.00 
2015-12-01,12695.00 ,342.00 
2015-12-02,12670.00 ,368.00 
2015-12-03,12395.00 ,382.00 
2015-12-04,12440.00 ,384.00 
2015-12-07,12545.00 ,390.00 
2015-12-08,12545.00 ,402.00 
2015-12-09,12490.00 ,412.00 
2015-12-10,12585.00 ,416.00 
2015-12-11,12660.00 ,406.00 
2015-12-14,12760.00 ,396.00 
2015-12-15,12740.00 ,390.00 
2015-12-16,12665.00 ,394.00 
2015-12-17,12695.00 ,404.00 
2015-12-18,12560.00 ,406.00 
2015-12-21,12870.00 ,410.00 
2015-12-22,12820.00 ,400.00 
2015-12-23,12830.00 ,398.00 
2015-12-24,13040.00 ,398.00 
2015-12-25,13070.00 ,404.00 
2015-12-28,12980.00 ,416.00 
2015-12-29,13005.00 ,416.00 
2015-12-30,13380.00 ,408.00 
2015-12-31,13500.00 ,412.00 
2016-01-04,13290.00 ,412.00 
2016-01-05,13330.00 ,406.00 
2016-01-06,13150.00 ,440.00 
2016-01-07,12965.00 ,500.00 
2016-01-08,12825.00 ,536.00 
2016-01-11,12950.00 ,540.00 
2016-01-12,12555.00 ,498.00 
2016-01-13,12525.00 ,458.00 
2016-01-14,12715.00 ,408.00 
2016-01-15,12710.00 ,470.00 
2016-01-18,12755.00 ,578.00 
2016-01-19,12895.00 ,564.00 
2016-01-20,12865.00 ,568.00 
2016-01-21,12815.00 ,576.00 
2016-01-22,12850.00 ,606.00 
2016-01-25,12875.00 ,628.00 
2016-01-26,12890.00 ,644.00 
2016-01-27,13105.00 ,620.00 
2016-01-28,13170.00 ,654.00 
2016-01-29,13070.00 ,674.00 
2016-02-01,13225.00 ,656.00 
2016-02-02,13390.00 ,648.00 
2016-02-03,13450.00 ,664.00 
2016-02-04,14005.00 ,594.00 
2016-02-05,13970.00 ,564.00 
2016-02-15,13950.00 ,548.00 
2016-02-16,13810.00 ,612.00 
2016-02-17,13645.00 ,610.00 
2016-02-18,13720.00 ,610.00 
2016-02-19,13930.00 ,624.00 
2016-02-22,14255.00 ,648.00 
2016-02-23,14330.00 ,638.00 
2016-02-24,14055.00 ,620.00 
2016-02-25,14330.00 ,618.00 
2016-02-26,14130.00 ,618.00 
2016-02-29,14295.00 ,780.00 
2016-03-01,14285.00 ,788.00 
2016-03-02,14380.00 ,930.00 
2016-03-03,14490.00 ,1090.00 
2016-03-04,14645.00 ,1278.00 
2016-03-07,14595.00 ,1220.00 
2016-03-08,14455.00 ,1184.00 
2016-03-09,14120.00 ,1218.00 
2016-03-10,14200.00 ,1190.00 
2016-03-11,14205.00 ,1148.00 
2016-03-14,14340.00 ,1082.00 
2016-03-15,14210.00 ,1096.00 
2016-03-16,14005.00 ,1110.00 
2016-03-17,14175.00 ,1066.00 
2016-03-18,14540.00 ,1478.00 
2016-03-21,14520.00 ,1514.00 
2016-03-22,14580.00 ,1440.00 
2016-03-23,14515.00 ,1180.00 
