SPGCCCP Index,,,SPGCCNP Index,,,SPGCCTP Index,,,SPGCKCP Index,,,SPGCSBP Index,,,SPGCKWP Index,,,SPGCWHP Index,,,SPGCSOP Index,,,SPGCLCP Index,,,SPGCLHP Index,,,SPGCFCP Index,,,SPGCIAP Index,,,SPGCICP Index,,,SPGCIKP Index,,,SPGCILP Index,,,SPGCIZP Index,,,SPGCBRP Index,,,SPGCCLP Index,,,SPGCGOP Index,,,SPGCHOP Index,,,SPGCHUP Index,,,SPGCNGP Index,,,SPGCGCP Index,,,SPGCSIP Index,,,SPGSCI Index,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST
2001/9/21,5.460169,,2001/9/21,25.32357,,2001/9/21,78.22359,,2001/9/21,33.32769,,2001/9/21,15.07958,,2001/9/21,50.031,,2001/9/21,39.17368,,2001/9/21,126.5728,,2001/9/21,444.143,,2001/9/21,164.01109,,2002/12/23,91.5473,,2001/9/21,40.7927,,2001/9/21,102.5465,,2001/9/21,63.2648,,2001/9/21,48.1921,,2001/9/21,35.5757,,2001/9/21,296.22,,2001/9/21,442.3204,,2001/9/21,236.7584,,2001/9/21,209.2292,,2001/9/21,557.515,,2001/9/21,2160.1521,,2001/9/21,32.5833,,2001/9/21,25.19566,,2002/12/17,427.3249
2001/9/24,5.548236,,2001/9/24,25.14872,,2001/9/24,79.28447,,2001/9/24,33.36166,,2001/9/24,14.52518,,2001/9/24,49.9027,,2001/9/24,39.28413,,2001/9/24,126.1013,,2001/9/24,444.5907,,2001/9/24,162.9725,,2002/12/24,91.5473,,2001/9/24,40.2952,,2001/9/24,102.067,,2001/9/24,62.9109,,2001/9/24,47.6974,,2001/9/24,35.3727,,2001/9/24,257.7739,,2001/9/24,374.8738,,2001/9/24,204.9122,,2001/9/24,181.9587,,2001/9/24,490.387,,2001/9/24,1992.03296,,2001/9/24,32.3608,,2001/9/24,25.0756,,2002/12/18,431.4783
2001/9/25,5.465673,,2001/9/25,25.119579,,2001/9/25,79.06796,,2001/9/25,33.22577,,2001/9/25,14.85782,,2001/9/25,50.2876,,2001/9/25,39.87321,,2001/9/25,124.8888,,2001/9/25,438.1956,,2001/9/25,159.8567,,2002/12/26,91.3796,,2001/9/25,40.0842,,2001/9/25,101.7473,,2001/9/25,62.7757,,2001/9/25,47.8797,,2001/9/25,35.7562,,2001/9/25,260.3215,,2001/9/25,371.4674,,2001/9/25,202.8239,,2001/9/25,182.3953,,2001/9/25,482.016,,2001/9/25,2013.92297,,2001/9/25,32.4609,,2001/9/25,24.81366,,2002/12/19,429.2706
2001/9/26,5.603278,,2001/9/26,25.265289,,2001/9/26,79.24116,,2001/9/26,33.39564,,2001/9/26,15.03523,,2001/9/26,50.2876,,2001/9/26,40.57274,,2001/9/26,125.293,,2001/9/26,438.7072,,2001/9/26,159.56,,2002/12/27,91.1784,,2001/9/26,40.2952,,2001/9/26,102.138,,2001/9/26,63.4192,,2001/9/26,47.8536,,2001/9/26,35.7674,,2001/9/26,265.6484,,2001/9/26,381.1756,,2001/9/26,204.1291,,2001/9/26,191.534,,2001/9/26,487.336,,2001/9/26,1972.76904,,2001/9/26,32.7946,,2001/9/26,25.18475,,2002/12/20,429.7846
2001/9/27,5.86748,,2001/9/27,25.17787,,2001/9/27,76.27503,,2001/9/27,33.39564,,2001/9/27,14.99088,,2001/9/27,50.4586,,2001/9/27,40.42547,,2001/9/27,124.4173,,2001/9/27,436.277,,2001/9/27,159.1149,,2002/12/30,91.212,,2001/9/27,40.2726,,2001/9/27,102.2446,,2001/9/27,63.4192,,2001/9/27,48.0619,,2001/9/27,36.0043,,2001/9/27,264.8378,,2001/9/27,387.3071,,2001/9/27,215.0926,,2001/9/27,191.8541,,2001/9/27,496.099,,2001/9/27,1972.76904,,2001/9/27,32.6166,,2001/9/27,25.14655,,2002/12/23,440.6223
2001/9/28,5.928026,,2001/9/28,25.003019,,2001/9/28,75.51726,,2001/9/28,32.8181,,2001/9/28,14.70259,,2001/9/28,50.031,,2001/9/28,39.87321,,2001/9/28,121.5881,,2001/9/28,430.5214,,2001/9/28,162.6758,,2002/12/31,91.6032,,2001/9/28,40.0239,,2001/9/28,101.3211,,2001/9/28,62.3253,,2001/9/28,48.1661,,2001/9/28,35.5982,,2001/9/28,270.1647,,2001/9/28,399.0592,,2001/9/28,218.225,,2001/9/28,194.9682,,2001/9/28,504.548,,2001/9/28,1964.88794,,2001/9/28,32.7056,,2001/9/28,25.51218,,2002/12/24,442.6988
2001/10/1,6.032606,,2001/10/1,24.53676,,2001/10/1,74.80279,,2001/10/1,32.20658,,2001/10/1,14.59171,,2001/10/1,48.9192,,2001/10/1,39.2105,,2001/10/1,121.7902,,2001/10/1,432.312,,2001/10/1,168.6107,,2003/1/2,92.2739,,2001/10/1,40.0239,,2001/10/1,100.9481,,2001/10/1,63.2776,,2001/10/1,47.4371,,2001/10/1,35.5193,,2001/10/1,267.0381,,2001/10/1,396.5044,,2001/10/1,212.7433,,2001/10/1,192.0578,,2001/10/1,510.573,,2001/10/1,1933.36597,,2001/10/1,32.6166,,2001/10/1,25.46852,,2002/12/26,442.4874
2001/10/2,5.900505,,2001/10/2,24.39105,,2001/10/2,75.45231,,2001/10/2,31.76493,,2001/10/2,14.56953,,2001/10/2,48.064,,2001/10/2,38.80551,,2001/10/2,122.0596,,2001/10/2,432.6318,,2001/10/2,169.94611,,2003/1/3,92.6316,,2001/10/2,39.9937,,2001/10/2,100.7172,,2001/10/2,63.0717,,2001/10/2,47.0205,,2001/10/2,35.4065,,2001/10/2,257.774,,2001/10/2,388.1587,,2001/10/2,214.8316,,2001/10/2,188.187,,2001/10/2,501.106,,2001/10/2,1985.90295,,2001/10/2,32.3608,,2001/10/2,25.37575,,2002/12/27,443.7979
2001/10/3,5.977564,,2001/10/3,24.565901,,2001/10/3,75.60386,,2001/10/3,31.25533,,2001/10/3,14.87999,,2001/10/3,48.7054,,2001/10/3,39.68913,,2001/10/3,121.7902,,2001/10/3,434.6782,,2001/10/3,166.53349,,2003/1/6,91.6032,,2001/10/3,39.549,,2001/10/3,99.4918,,2001/10/3,63.4835,,2001/10/3,47.0986,,2001/10/3,35.2937,,2001/10/3,253.1419,,2001/10/3,376.066,,2001/10/3,207.7837,,2001/10/3,186.1206,,2001/10/3,492.343,,2001/10/3,2031.43506,,2001/10/3,32.4386,,2001/10/3,25.29389,,2002/12/30,431.0307
2001/10/4,6.197732,,2001/10/4,24.65332,,2001/10/4,74.47803,,2001/10/4,31.59506,,2001/10/4,14.74693,,2001/10/4,49.0475,,2001/10/4,40.16776,,2001/10/4,121.5208,,2001/10/4,443.9512,,2001/10/4,166.97861,,2003/1/7,91.2902,,2001/10/4,39.5189,,2001/10/4,99.7404,,2001/10/4,62.4926,,2001/10/4,47.3069,,2001/10/4,35.0907,,2001/10/4,258.932,,2001/10/4,385.4336,,2001/10/4,210.394,,2001/10/4,189.9623,,2001/10/4,495.16,,2001/10/4,2113.74292,,2001/10/4,32.4386,,2001/10/4,25.4576,,2002/12/31,428.1334
2001/10/5,6.131682,,2001/10/5,24.973869,,2001/10/5,72.03151,,2001/10/5,31.69698,,2001/10/5,14.56952,,2001/10/5,48.9192,,2001/10/5,40.24139,,2001/10/5,121.8576,,2001/10/5,450.0266,,2001/10/5,164.01109,,2003/1/8,90.3736,,2001/10/5,39.3455,,2001/10/5,99.2254,,2001/10/5,61.965,,2001/10/5,49.3637,,2001/10/5,35.2598,,2001/10/5,253.6051,,2001/10/5,381.3459,,2001/10/5,214.5706,,2001/10/5,186.3243,,2001/10/5,484.05,,2001/10/5,1950.00195,,2001/10/5,32.5388,,2001/10/5,25.56674,,2003/1/2,438.5104
2001/10/8,6.01059,,2001/10/8,25.119579,,2001/10/8,69.36849,,2001/10/8,31.18738,,2001/10/8,13.90425,,2001/10/8,49.0903,,2001/10/8,40.02049,,2001/10/8,122.3545,,2001/10/8,446.829,,2001/10/8,162.8241,,2003/1/9,90.2898,,2001/10/8,39.3395,,2001/10/8,99.7576,,2001/10/8,65.4253,,2001/10/8,50.5445,,2001/10/8,35.3274,,2001/10/8,252.6112,,2001/10/8,382.3301,,2001/10/8,209.9242,,2001/10/8,187.6644,,2001/10/8,480.955,,2001/10/8,1984.18005,,2001/10/8,32.6389,,2001/10/8,25.48488,,2003/1/3,449.4838
2001/10/9,5.806934,,2001/10/9,24.828171,,2001/10/9,68.52412,,2001/10/9,30.81368,,2001/10/9,13.63814,,2001/10/9,48.962,,2001/10/9,40.38866,,2001/10/9,121.6316,,2001/10/9,442.864,,2001/10/9,159.0554,,2003/1/10,89.7868,,2001/10/9,39.0491,,2001/10/9,99.2791,,2001/10/9,66.2174,,2001/10/9,50.3107,,2001/10/9,35.2037,,2001/10/9,255.6555,,2001/10/9,382.8373,,2001/10/9,209.4023,,2001/10/9,188.1096,,2001/10/9,480.58,,2001/10/9,2073.02905,,2001/10/9,32.2273,,2001/10/9,24.83002,,2003/1/6,438.28
2001/10/10,5.735379,,2001/10/10,24.973881,,2001/10/10,69.97471,,2001/10/10,30.81368,,2001/10/10,13.90425,,2001/10/10,49.133,,2001/10/10,41.08819,,2001/10/10,120.8442,,2001/10/10,442.2245,,2001/10/10,153.41721,,2003/1/13,89.703,,2001/10/10,38.7757,,2001/10/10,98.8083,,2001/10/10,66.8473,,2001/10/10,49.7918,,2001/10/10,34.8778,,2001/10/10,256.4613,,2001/10/10,383.8817,,2001/10/10,209.8719,,2001/10/10,187.8791,,2001/10/10,481.282,,2001/10/10,2131.55688,,2001/10/10,31.8936,,2001/10/10,24.22973,,2003/1/7,432.0764
2001/10/11,5.790421,,2001/10/11,24.857321,,2001/10/11,69.64995,,2001/10/11,30.33806,,2001/10/11,14.32559,,2001/10/11,49.3896,,2001/10/11,41.12501,,2001/10/11,120.5516,,2001/10/11,440.4339,,2001/10/11,154.07001,,2003/1/14,89.1161,,2001/10/11,38.8657,,2001/10/11,99.1124,,2001/10/11,67.4461,,2001/10/11,49.7296,,2001/10/11,35.0439,,2001/10/11,261.0114,,2001/10/11,396.4014,,2001/10/11,214.2562,,2001/10/11,193.8389,,2001/10/11,493.176,,2001/10/11,2158.80908,,2001/10/11,31.4375,,2001/10/11,24.14787,,2003/1/8,429.8359
2001/10/12,5.663824,,2001/10/12,24.30364,,2001/10/12,69.30354,,2001/10/12,30.37203,,2001/10/12,14.28124,,2001/10/12,48.5344,,2001/10/12,40.6832,,2001/10/12,117.2361,,2001/10/12,431.1609,,2001/10/12,152.0818,,2003/1/15,87.4394,,2001/10/12,38.9707,,2001/10/12,99.5363,,2001/10/12,69.6626,,2001/10/12,50.0919,,2001/10/12,35.537,,2001/10/12,252.0624,,2001/10/12,381.8438,,2001/10/12,207.4627,,2001/10/12,185.613,,2001/10/12,472.987,,2001/10/12,2076.51099,,2001/10/12,31.7823,,2001/10/12,24.39344,,2003/1/9,441.649
2001/10/15,5.614286,,2001/10/15,24.01223,,2001/10/15,67.8313,,2001/10/15,29.79449,,2001/10/15,14.36994,,2001/10/15,48.1923,,2001/10/15,40.27821,,2001/10/15,115.3131,,2001/10/15,421.5682,,2001/10/15,146.1469,,2003/1/16,87.635,,2001/10/15,38.8882,,2001/10/15,99.0241,,2001/10/15,67.5617,,2001/10/15,49.3415,,2001/10/15,34.3715,,2001/10/15,251.2593,,2001/10/15,377.8279,,2001/10/15,203.0208,,2001/10/15,183.3487,,2001/10/15,469.57,,2001/10/15,2026.97998,,2001/10/15,31.4486,,2001/10/15,23.97324,,2003/1/10,435.8553
2001/10/16,5.718866,,2001/10/16,24.099649,,2001/10/16,68.13441,,2001/10/16,29.82846,,2001/10/16,14.6804,,2001/10/16,49.2613,,2001/10/16,40.90411,,2001/10/16,115.3131,,2001/10/16,431.1609,,2001/10/16,149.0253,,2003/1/17,87.4953,,2001/10/16,39.278,,2001/10/16,99.8013,,2001/10/16,65.6408,,2001/10/16,49.8073,,2001/10/16,34.8422,,2001/10/16,247.4732,,2001/10/16,372.4734,,2001/10/16,205.3724,,2001/10/16,181.801,,2001/10/16,463.125,,2001/10/16,2173.28809,,2001/10/16,31.4708,,2001/10/16,23.7113,,2003/1/13,440.6045
2001/10/17,5.867479,,2001/10/17,24.216209,,2001/10/17,68.26431,,2001/10/17,30.406,,2001/10/17,14.70258,,2001/10/17,50.4587,,2001/10/17,41.935,,2001/10/17,116.2414,,2001/10/17,429.4342,,2001/10/17,149.4704,,2003/1/21,87.7468,,2001/10/17,39.5328,,2001/10/17,99.8013,,2001/10/17,65.3838,,2001/10/17,50.6094,,2001/10/17,34.6517,,2001/10/17,243.3429,,2001/10/17,369.7961,,2001/10/17,197.795,,2001/10/17,180.2819,,2001/10/17,455.282,,2001/10/17,2059.74707,,2001/10/17,31.5932,,2001/10/17,23.84773,,2003/1/14,441.4935
2001/10/18,5.823445,,2001/10/18,23.924801,,2001/10/18,67.50654,,2001/10/18,30.98354,,2001/10/18,14.54735,,2001/10/18,49.7317,,2001/10/18,41.67728,,2001/10/18,115.3131,,2001/10/18,428.2831,,2001/10/18,149.76711,,2003/1/22,88.4734,,2001/10/18,38.9557,,2001/10/18,98.1409,,2001/10/18,61.8566,,2001/10/18,49.9625,,2001/10/18,34.1922,,2001/10/18,239.2126,,2001/10/18,360.593,,2001/10/18,199.1014,,2001/10/18,176.5845,,2001/10/18,445.497,,2001/10/18,2133.66309,,2001/10/18,31.126,,2001/10/18,23.26382,,2003/1/15,448.4089
2001/10/19,5.647311,,2001/10/19,23.953939,,2001/10/19,66.14255,,2001/10/19,29.79448,,2001/10/19,14.92434,,2001/10/19,50.2876,,2001/10/19,42.26636,,2001/10/19,113.9206,,2001/10/19,430.0737,,2001/10/19,148.5208,,2003/1/23,88.2498,,2001/10/19,38.326,,2001/10/19,96.7101,,2001/10/19,58.9398,,2001/10/19,48.5394,,2001/10/19,34.3715,,2001/10/19,247.4732,,2001/10/19,372.4733,,2001/10/19,199.1014,,2001/10/19,181.6863,,2001/10/19,464.755,,2001/10/19,2278.44702,,2001/10/19,31.2261,,2001/10/19,23.31839,,2003/1/16,453.0065
2001/10/22,5.520714,,2001/10/22,23.808229,,2001/10/22,64.54041,,2001/10/22,28.8772,,2001/10/22,14.72476,,2001/10/22,49.5179,,2001/10/22,41.53001,,2001/10/22,113.1912,,2001/10/22,429.8818,,2001/10/22,147.2448,,2003/1/24,87.8307,,2001/10/22,38.4834,,2001/10/22,96.3038,,2001/10/22,58.2974,,2001/10/22,48.5912,,2001/10/22,34.1586,,2001/10/22,243.9166,,2001/10/22,372.4733,,2001/10/22,202.2369,,2001/10/22,181.4857,,2001/10/22,466.852,,2001/10/22,2352.36304,,2001/10/22,30.7144,,2001/10/22,23.11102,,2003/1/17,452.8763
2001/10/23,5.564748,,2001/10/23,23.808229,,2001/10/23,64.43216,,2001/10/23,29.59064,,2001/10/23,14.70258,,2001/10/23,49.9027,,2001/10/23,42.04545,,2001/10/23,113.4564,,2001/10/23,430.5213,,2001/10/23,146.3546,,2003/1/27,87.4674,,2001/10/23,38.8057,,2001/10/23,98.0349,,2001/10/23,59.1069,,2001/10/23,50.9716,,2001/10/23,34.4163,,2001/10/23,242.7693,,2001/10/23,365.6128,,2001/10/23,200.1466,,2001/10/23,179.9093,,2001/10/23,458.232,,2001/10/23,2236.53589,,2001/10/23,30.7589,,2001/10/23,23.15468,,2003/1/21,453.3926
2001/10/24,5.504202,,2001/10/24,24.070499,,2001/10/24,62.98157,,2001/10/24,29.42077,,2001/10/24,15.25698,,2001/10/24,49.9883,,2001/10/24,41.78773,,2001/10/24,114.5174,,2001/10/24,427.8353,,2001/10/24,141.5473,,2003/1/28,87.2997,,2001/10/24,38.5284,,2001/10/24,96.6394,,2001/10/24,57.0253,,2001/10/24,51.0751,,2001/10/24,34.4611,,2001/10/24,245.6376,,2001/10/24,373.6446,,2001/10/24,204.3272,,2001/10/24,184.8391,,2001/10/24,470.113,,2001/10/24,2416.37305,,2001/10/24,30.7366,,2001/10/24,23.00188,,2003/1/22,454.0295
2001/10/25,5.432647,,2001/10/25,24.070499,,2001/10/25,61.74749,,2001/10/25,30.10023,,2001/10/25,15.0574,,2001/10/25,50.6724,,2001/10/25,42.5609,,2001/10/25,115.5784,,2001/10/25,430.7131,,2001/10/25,141.1615,,2003/1/29,88.9764,,2001/10/25,38.4759,,2001/10/25,96.9751,,2001/10/25,57.9504,,2001/10/25,50.0401,,2001/10/25,34.1137,,2001/10/25,242.8841,,2001/10/25,368.2901,,2001/10/25,204.8498,,2001/10/25,183.32,,2001/10/25,459.863,,2001/10/25,2364.55493,,2001/10/25,30.948,,2001/10/25,23.02917,,2003/1/23,449.0634
2001/10/26,5.476681,,2001/10/26,23.953939,,2001/10/26,62.48361,,2001/10/26,29.48871,,2001/10/26,14.90217,,2001/10/26,51.5704,,2001/10/26,43.44452,,2001/10/26,115.1805,,2001/10/26,430.3933,,2001/10/26,141.9924,,2003/1/30,89.0043,,2001/10/26,38.7233,,2001/10/26,98.2115,,2001/10/26,58.4644,,2001/10/26,50.7646,,2001/10/26,34.7974,,2001/10/26,242.4252,,2001/10/26,368.6248,,2001/10/26,199.624,,2001/10/26,180.6831,,2001/10/26,456.679,,2001/10/26,2425.51709,,2001/10/26,30.9591,,2001/10/26,23.00188,,2003/1/24,457.4348
2001/10/29,5.487689,,2001/10/29,23.72081,,2001/10/29,62.65681,,2001/10/29,29.65858,,2001/10/29,15.01305,,2001/10/29,51.2283,,2001/10/29,42.89226,,2001/10/29,115.1805,,2001/10/29,434.5501,,2001/10/29,147.3338,,2003/1/31,89.1441,,2001/10/29,38.4534,,2001/10/29,96.7631,,2001/10/29,58.5801,,2001/10/29,50.2471,,2001/10/29,34.3715,,2001/10/29,242.7694,,2001/10/29,370.6327,,2001/10/29,201.453,,2001/10/29,181.6289,,2001/10/29,456.058,,2001/10/29,2544.39209,,2001/10/29,31.1149,,2001/10/29,23.15468,,2003/1/27,449.2163
2001/10/30,5.487689,,2001/10/30,24.01222,,2001/10/30,62.61351,,2001/10/30,29.45474,,2001/10/30,15.19046,,2001/10/30,51.5704,,2001/10/30,43.51816,,2001/10/30,116.7719,,2001/10/30,431.1607,,2001/10/30,147.3338,,2003/2/3,88.8087,,2001/10/30,38.7458,,2001/10/30,97.8053,,2001/10/30,57.4493,,2001/10/30,49.7814,,2001/10/30,34.3155,,2001/10/30,240.5895,,2001/10/30,365.9475,,2001/10/30,198.5788,,2001/10/30,180.0238,,2001/10/30,443.09,,2001/10/30,2425.51709,,2001/10/30,31.2817,,2001/10/30,23.26382,,2003/1/28,453.9192
2001/10/31,5.597773,,2001/10/31,23.953939,,2001/10/31,64.73527,,2001/10/31,29.82844,,2001/10/31,14.94653,,2001/10/31,51.5704,,2001/10/31,43.14999,,2001/10/31,115.8436,,2001/10/31,435.3175,,2001/10/31,153.26871,,2003/2/4,87.4674,,2001/10/31,38.1761,,2001/10/31,96.4628,,2001/10/31,57.2566,,2001/10/31,49.7814,,2001/10/31,34.181,,2001/10/31,235.0824,,2001/10/31,354.4018,,2001/10/31,192.0466,,2001/10/31,174.9507,,2001/10/31,435.713,,2001/10/31,2507.81494,,2001/10/31,31.2039,,2001/10/31,23.05645,,2003/1/29,465.1741
2001/11/1,5.647311,,2001/11/1,23.779091,,2001/11/1,65.01673,,2001/11/1,30.71174,,2001/11/1,14.76912,,2001/11/1,50.6724,,2001/11/1,42.52409,,2001/11/1,117.1035,,2001/11/1,435.8291,,2001/11/1,154.6041,,2003/2/5,86.629,,2001/11/1,38.0262,,2001/11/1,95.7032,,2001/11/1,58.1817,,2001/11/1,50.3506,,2001/11/1,34.5172,,2001/11/1,226.0187,,2001/11/1,341.1828,,2001/11/1,190.7402,,2001/11/1,168.7311,,2001/11/1,420.338,,2001/11/1,2507.05298,,2001/11/1,31.2261,,2001/11/1,22.95822,,2003/1/30,467.4386
2001/11/2,5.537227,,2001/11/2,23.5751,,2001/11/2,64.86518,,2001/11/2,30.84763,,2001/11/2,14.70259,,2001/11/2,50.2448,,2001/11/2,42.04546,,2001/11/2,116.4404,,2001/11/2,431.0327,,2001/11/2,156.88901,,2003/2/6,85.5392,,2001/11/2,37.8463,,2001/11/2,95.085,,2001/11/2,55.9588,,2001/11/2,48.8499,,2001/11/2,33.9344,,2001/11/2,226.2482,,2001/11/2,337.6689,,2001/11/2,183.1628,,2001/11/2,166.9827,,2001/11/2,422.434,,2001/11/2,2475.0481,,2001/11/2,31.2372,,2001/11/2,22.42888,,2003/1/31,466.1573
2001/11/5,5.465672,,2001/11/5,23.633381,,2001/11/5,66.20752,,2001/11/5,31.83285,,2001/11/5,15.19046,,2001/11/5,49.9883,,2001/11/5,41.86137,,2001/11/5,117.0372,,2001/11/5,424.7655,,2001/11/5,156.7406,,2003/2/7,84.8126,,2001/11/5,37.8388,,2001/11/5,95.4206,,2001/11/5,58.6572,,2001/11/5,49.2639,,2001/11/5,34.1474,,2001/11/5,223.1505,,2001/11/5,334.9916,,2001/11/5,184.7305,,2001/11/5,164.9764,,2001/11/5,417.697,,2001/11/5,2226.62891,,2001/11/5,31.0926,,2001/11/5,22.36339,,2003/2/3,462.4823
2001/11/6,5.449159,,2001/11/6,23.60424,,2001/11/6,66.70548,,2001/11/6,32.61423,,2001/11/6,15.63398,,2001/11/6,50.0738,,2001/11/6,42.04546,,2001/11/6,115.6447,,2001/11/6,416.7716,,2001/11/6,151.3992,,2003/2/10,85.8263,,2001/11/6,37.8538,,2001/11/6,95.5796,,2001/11/6,58.2331,,2001/11/6,48.5394,,2001/11/6,33.6431,,2001/11/6,220.397,,2001/11/6,333.3183,,2001/11/6,183.4241,,2001/11/6,163.7439,,2001/11/6,418.707,,2001/11/6,2194.62402,,2001/11/6,31.1705,,2001/11/6,22.47253,,2003/2/4,469.8129
2001/11/7,5.718865,,2001/11/7,23.60424,,2001/11/7,69.77986,,2001/11/7,32.13861,,2001/11/7,15.94444,,2001/11/7,50.4159,,2001/11/7,42.26636,,2001/11/7,117.0372,,2001/11/7,419.8413,,2001/11/7,150.7464,,2003/2/11,85.6764,,2001/11/7,37.5914,,2001/11/7,93.9545,,2001/11/7,58.3616,,2001/11/7,48.3842,,2001/11/7,33.4637,,2001/11/7,222.118,,2001/11/7,336.1629,,2001/11/7,183.9467,,2001/11/7,163.8872,,2001/11/7,424.22,,2001/11/7,2187.00391,,2001/11/7,31.2929,,2001/11/7,22.5271,,2003/2/5,473.2256
2001/11/8,6.047637,,2001/11/8,23.63303,,2001/11/8,69.69846,,2001/11/8,31.11791,,2001/11/8,16.09967,,2001/11/8,49.9908,,2001/11/8,41.77625,,2001/11/8,116.1089,,2001/11/8,414.0822,,2001/11/8,152.231,,2003/2/12,84.0159,,2001/11/8,37.8819,,2001/11/8,95.4158,,2001/11/8,59.3897,,2001/11/8,49.779,,2001/11/8,33.5712,,2001/11/8,234.2885,,2001/11/8,354.2337,,2001/11/8,191.2023,,2001/11/8,174.0055,,2001/11/8,447.456,,2001/11/8,2253.53198,,2001/11/8,30.8258,,2001/11/8,22.25572,,2003/2/6,477.3053
2001/11/9,6.36073,,2001/11/9,23.99136,,2001/11/9,70.93907,,2001/11/9,30.46147,,2001/11/9,15.76703,,2001/11/9,49.8048,,2001/11/9,42.07429,,2001/11/9,117.8993,,2001/11/9,404.6869,,2001/11/9,146.856,,2003/2/13,83.5842,,2001/11/9,39.0561,,2001/11/9,98.9568,,2001/11/9,62.9088,,2001/11/9,51.7594,,2001/11/9,34.7139,,2001/11/9,246.5881,,2001/11/9,372.0037,,2001/11/9,200.2252,,2001/11/9,179.6844,,2001/11/9,470.932,,2001/11/9,2229.87207,,2001/11/9,30.8969,,2001/11/9,22.2666,,2003/2/7,489.4171
2001/11/12,6.37389,,2001/11/12,23.99136,,2001/11/12,70.93907,,2001/11/12,30.46147,,2001/11/12,15.83356,,2001/11/12,49.3683,,2001/11/12,41.66236,,2001/11/12,118.6287,,2001/11/12,395.2916,,2001/11/12,144.4239,,2003/2/14,84.4093,,2001/11/12,39.4775,,2001/11/12,100.215,,2001/11/12,70.6788,,2001/11/12,52.0274,,2001/11/12,35.2524,,2001/11/12,235.9356,,2001/11/12,356.1348,,2001/11/12,191.3112,,2001/11/12,172.4006,,2001/11/12,447.131,,2001/11/12,2096.21191,,2001/11/12,31.0036,,2001/11/12,22.47307,,2003/2/10,482.4123
2001/11/13,6.642576,,2001/11/13,23.90242,,2001/11/13,75.85236,,2001/11/13,30.57923,,2001/11/13,16.05532,,2001/11/13,48.3092,,2001/11/13,41.00151,,2001/11/13,118.0982,,2001/11/13,402.8078,,2001/11/13,145.99519,,2003/2/18,84.5743,,2001/11/13,40.7985,,2001/11/13,104.1177,,2001/11/13,77.7346,,2001/11/13,51.3068,,2001/11/13,35.8015,,2001/11/13,240.2641,,2001/11/13,362.5044,,2001/11/13,195.3196,,2001/11/13,174.7533,,2001/11/13,450.569,,2001/11/13,2141.60791,,2001/11/13,30.937,,2001/11/13,22.59243,,2003/2/11,489.2635
2001/11/14,6.571503,,2001/11/14,24.039789,,2001/11/14,75.77011,,2001/11/14,33.63715,,2001/11/14,16.41013,,2001/11/14,48.4749,,2001/11/14,41.42972,,2001/11/14,118.6287,,2001/11/14,405.831,,2001/11/14,145.7206,,2003/2/19,84.8769,,2001/11/14,41.3651,,2001/11/14,103.8009,,2001/11/14,70.8378,,2001/11/14,50.6899,,2001/11/14,36.1917,,2001/11/14,220.9101,,2001/11/14,331.2198,,2001/11/14,179.9749,,2001/11/14,161.4694,,2001/11/14,415.981,,2001/11/14,2064.30396,,2001/11/14,30.937,,2001/11/14,22.6141,,2003/2/12,484.8379
2001/11/15,6.735517,,2001/11/15,23.92989,,2001/11/15,73.54944,,2001/11/15,32.87267,,2001/11/15,16.32143,,2001/11/15,48.5992,,2001/11/15,41.4654,,2001/11/15,118.4961,,2001/11/15,412.0587,,2001/11/15,148.82339,,2003/2/20,85.0694,,2001/11/15,40.6046,,2001/11/15,102.8329,,2001/11/15,69.033,,2001/11/15,50.6899,,2001/11/15,36.3255,,2001/11/15,200.5254,,2001/11/15,295.3004,,2001/11/15,168.2713,,2001/11/15,147.3094,,2001/11/15,380.704,,2001/11/15,1980.55798,,2001/11/15,30.6483,,2001/11/15,22.42989,,2003/2/13,487.7371
2001/11/16,6.970604,,2001/11/16,24.039789,,2001/11/16,74.5364,,2001/11/16,33.03194,,2001/11/16,16.21055,,2001/11/16,49.5107,,2001/11/16,42.3932,,2001/11/16,120.0212,,2001/11/16,414.5982,,2001/11/16,147.7251,,2003/2/21,85.2069,,2001/11/16,41.6261,,2001/11/16,105.2088,,2001/11/16,70.58,,2001/11/16,51.9237,,2001/11/16,36.3255,,2001/11/16,204.7627,,2001/11/16,304.0733,,2001/11/16,169.0515,,2001/11/16,150.2488,,2001/11/16,391.034,,2001/11/16,2039.96802,,2001/11/16,30.604,,2001/11/16,22.36488,,2003/2/14,489.6842
