index,update_date,open,return_rate,volume,high,low,invest_signal,min5,max5,out,record,accu_return,max_draw
2014-09-12,2014-09-12,585.85,,695600.0,590.24,583.29,0.5,568.28,608.76,1.0,1,0.0,
2014-09-15,2014-09-15,598.17,-0.0208112103728,1261600.0,601.47,586.96,1.0,568.28,596.57,1.0,2,-0.0208112103728,0.0208112103728
2014-09-16,2014-09-16,596.48,0.00282928242975,1127500.0,601.9,589.16,1.0,568.28,601.47,1.0,2,-0.017981927943,0.017981927943
2014-09-18,2014-09-18,593.44,0.00510959831589,598200.0,594.81,589.09,1.0,577.19,601.9,1.0,1,-0.0128723296271,0.0128723296271
2014-09-19,2014-09-19,583.77,0.0164290441031,947400.0,586.09,572.21,1.0,583.29,601.9,1.0,2,0.00355671447599,-0.00355671447599
2014-09-22,2014-09-22,564.46,0.0336375477265,1281100.0,571.01,554.13,1.0,572.21,601.9,1.0,2,0.0371942622025,-0.0336375477265
2014-09-23,2014-09-23,553.82,0.0190297977063,1290200.0,557.02,550.13,1.0,554.13,601.9,1.0,2,0.0562240599088,-0.0190297977063
2014-09-24,2014-09-24,556.36,-0.00457584253355,720100.0,563.75,554.38,1.0,550.13,596.11,1.0,2,0.0516482173752,0.00457584253355
2014-09-25,2014-09-25,559.31,-0.005288314421,1400700.0,560.64,546.36,1.0,550.13,594.81,1.0,2,0.0463599029542,0.00986415695454
2014-11-24,2014-11-24,480.84,-0.0144538430317,1109200.0,482.97,470.66,0.5,467.62,512.84,1.0,1,0.0319060599226,0.0243179999862
2014-11-27,2014-11-27,468.9,-0.00491716650821,1611600.0,481.97,468.9,1.0,459.61,482.97,1.0,1,0.0269888934144,0.0292351664944
2014-11-28,2014-11-28,482.37,-0.0283219283289,1710600.0,486.21,480.12,1.0,459.61,482.97,1.0,2,-0.00133303491453,0.0575570948233
2014-12-22,2014-12-22,488.04,-0.00425047610698,764200.0,489.06,481.28,1.0,472.82,492.43,1.0,1,-0.00558351102151,0.0618075709303
2014-12-23,2014-12-23,477.92,0.0209540152393,868600.0,480.58,470.32,1.0,472.82,492.43,1.0,2,0.0153705042178,0.040853555691
2014-12-24,2014-12-24,474.23,0.00775091839222,747700.0,477.18,469.57,1.0,470.32,492.43,1.0,2,0.02312142261,0.0331026372987
2014-12-25,2014-12-25,473.44,0.00166724742368,456800.0,479.06,471.99,1.0,469.57,492.43,1.0,2,0.0247886700337,0.0314353898751
2014-12-26,2014-12-26,477.17,-0.00784763287312,334300.0,477.9,472.32,1.0,469.57,492.43,1.0,2,0.0169410371606,0.0392830227482
2014-12-29,2014-12-29,477.37,-0.000419050019751,735200.0,484.87,474.29,1.0,469.57,489.06,1.0,2,0.0165219871409,0.0397020727679
2014-12-30,2014-12-30,497.11,-0.0405194580302,736600.0,498.33,483.92,1.0,469.57,484.87,1.0,2,-0.0239974708894,0.0802215307982
2014-12-31,2014-12-31,506.53,-0.0187722223696,1245000.0,513.55,501.82,1.0,469.57,498.33,1.0,2,-0.042769693259,0.0989937531677
2015-01-05,2015-01-05,497.42,0.0181488122964,677700.0,503.37,496.43,1.0,471.99,513.55,1.0,2,-0.0246208809626,0.0808449408714
2015-01-06,2015-01-06,513.78,-0.032360418618,1294600.0,518.31,494.49,1.0,472.32,513.55,1.0,2,-0.0569812995805,0.113205359489
2015-04-20,2015-04-20,396.57,-0.00303053493551,1549100.0,397.54,386.72,0.5,371.62,401.22,1.0,1,-0.060011834516,0.116235894425
2015-04-21,2015-04-21,382.3,0.0366469295571,1513800.0,390.09,378.91,1.0,386.31,401.22,1.0,2,-0.023364904959,0.0795889648678
2015-05-14,2015-05-14,420.2,0.0547108178201,3094100.0,431.09,418.69,1.0,428.27,446.97,1.0,1,0.0313459128611,0.0248781470477
2015-05-15,2015-05-15,421.74,-0.00365822200497,2847600.0,427.72,415.95,1.0,418.69,446.14,1.0,2,0.0276876908561,0.0285363690527
2015-05-18,2015-05-18,424.92,-0.00751190549594,1622500.0,429.47,422.53,1.0,415.95,446.14,1.0,2,0.0201757853602,0.0360482745486
2015-05-19,2015-05-19,418.62,0.0149373287326,1764900.0,423.51,415.72,1.0,415.95,436.94,1.0,2,0.0351131140928,0.021110945816
2015-05-20,2015-05-20,414.31,0.0103491012884,2161100.0,416.71,409.55,1.0,415.72,431.09,1.0,2,0.0454622153812,0.0107618445276
2015-05-21,2015-05-21,418.49,-0.0100385088907,2292900.0,425.24,414.04,1.0,409.55,431.09,1.0,2,0.0354237064905,0.0208003534182
2015-05-22,2015-05-22,421.75,-0.00775972664464,2074800.0,423.8,413.89,1.0,409.55,429.47,1.0,2,0.0276639798459,0.0285600800629
2015-07-27,2015-07-27,366.92,-0.0125056478404,3187700.0,370.34,360.93,0.5,357.56,379.74,1.0,1,0.0151583320055,0.0410657279032
2015-08-03,2015-08-03,383.46,-0.0185297716278,4750600.0,387.83,375.46,1.0,359.34,384.36,1.0,1,-0.00337143962229,0.0595954995311
2015-08-04,2015-08-04,379.84,0.00948520146894,3040000.0,381.12,373.76,1.0,359.34,387.83,1.0,2,0.00611376184665,0.0501102980621
2015-08-05,2015-08-05,384.32,-0.0117254274703,3960000.0,389.84,381.74,1.0,371.26,387.83,1.0,2,-0.00561166562366,0.0618357255324
2015-08-06,2015-08-06,386.34,-0.00524227188653,2748100.0,390.32,384.36,1.0,371.26,389.84,1.0,2,-0.0108539375102,0.067077997419
2015-08-07,2015-08-07,385.15,0.00308494197917,2769200.0,386.1,376.76,0.5,371.26,390.32,1.0,2,-0.00776899553102,0.0639930554398
2015-08-12,2015-08-12,380.92,0.00487103228408,2914900.0,385.67,377.48,0.5,375.9,390.32,1.0,1,-0.00289796324694,0.0591220231557
2015-08-13,2015-08-13,391.66,-0.0278047371628,3876600.0,395.24,386.01,1.0,375.9,390.32,1.0,2,-0.0307027004098,0.0869267603186
2015-08-14,2015-08-14,392.01,-0.000893233180474,2183200.0,394.79,388.85,1.0,375.9,395.24,1.0,2,-0.0315959335903,0.087819993499
2015-08-17,2015-08-17,390.73,0.00327056529875,2498500.0,391.28,386.14,1.0,375.9,395.24,1.0,2,-0.0283253682915,0.0845494282003
2015-08-18,2015-08-18,389.55,0.00302455759355,2221600.0,392.35,386.16,1.0,377.48,395.24,1.0,2,-0.025300810698,0.0815248706067
2015-09-02,2015-09-02,384.83,0.0016876326525,1843300.0,390.26,383.77,0.5,361.08,392.81,1.0,1,-0.0236131780455,0.0798372379542
2015-09-07,2015-09-07,387.59,-0.0071464015596,1853400.0,390.54,379.74,1.0,361.08,392.81,1.0,1,-0.0307595796051,0.0869836395138
