index,update_date,open,return_rate,volume,high,low,invest_signal,min5,max5,out,record,
2014/10/13,2014/10/13,16753.59,0.004596195,511800,16871.9,16657.31,0.5,16327.87,16981.18,1,1,0.00706177
2014/10/16,2014/10/16,16393.37,0.023724218,928900,16606.92,16231.78,0.5,16615.9,16981.18,1,1,0.013026608
2014/10/17,2014/10/17,16239.41,0.009435981,743100,16272.95,16055.72,1,16231.78,16981.18,1,2,0.002065346
2014/10/20,2014/10/20,16370.34,-0.008030157,517800,16394.19,16255.74,1,16055.72,16871.9,1,2,0.001456903
2014/10/21,2014/10/21,16194.67,0.010788985,521700,16275.63,16126.45,1,16055.72,16865.78,1,2,0.004999176
2014/10/22,2014/10/22,16338.42,-0.008837214,519600,16374.28,16211.95,1,16055.72,16865.78,1,2,0.002194827
2014/10/23,2014/10/23,16361.47,-0.001409791,664800,16654.44,16337.81,1,16055.72,16606.92,1,2,0.017906093
2014/10/24,2014/10/24,16628.72,-0.01620214,434300,16666.33,16555.27,1,16055.72,16654.44,1,2,0.00226175
2014/10/27,2014/10/27,16582.8,0.002765307,400900,16651.42,16492.52,1,16126.45,16666.33,1,2,0.004138023
2014/10/28,2014/10/28,16572.47,0.000623129,251700,16613.45,16495.28,1,16126.45,16666.33,1,2,0.002472776
2014/10/29,2014/10/29,16592.6,-0.001213928,322100,16607.25,16468.38,1,16211.95,16666.33,1,2,0.000882924
2014/10/30,2014/10/30,16709.4,-0.007014622,499600,16790.89,16584.89,1,16337.81,16666.33,1,2,0.004876896
2014/10/31,2014/10/31,16685.47,0.001433154,598700,16906.65,16587.15,1,16468.38,16790.89,1,2,0.013255845
2014/11/3,2014/11/3,16817.08,-0.007856756,563500,16900.71,16732.51,1,16468.38,16906.65,1,2,0.00497292
2014/11/4,2014/11/4,16826.3,-0.000548102,504600,17047.04,16800.13,1,16468.38,16906.65,1,2,0.013118749
2014/11/5,2014/11/5,16590.96,0.01408517,747200,16722.98,16370.28,1,16468.38,17047.04,1,2,0.007957345
2014/11/6,2014/11/6,16435.64,0.009405821,478700,16527.29,16336.67,1,16370.28,17047.04,1,2,0.005576296
2014/11/7,2014/11/7,16470.63,-0.002126647,413500,16587.2,16376.29,1,16336.67,17047.04,1,2,0.007077446
2014/11/10,2014/11/10,16675.5,-0.012361782,395900,16793.04,16562.99,1,16336.67,17047.04,1,2,0.007048664
2014/11/11,2014/11/11,16735.18,-0.003572514,290400,16819.23,16671.32,1,16336.67,17047.04,1,2,0.005022354
2014/11/12,2014/11/12,16856.74,-0.007237486,330400,16858.2,16690.2,1,16336.67,16819.23,1,2,8.66122E-05
2014/11/13,2014/11/13,16766.76,0.005352222,307100,16815.99,16716.98,1,16336.67,16858.2,1,2,0.002936167
2014/11/14,2014/11/14,16595.52,0.010265576,389700,16779.97,16559.47,1,16376.29,16858.2,1,2,0.011114445
2014/11/17,2014/11/17,16756.09,-0.009628995,378700,16818.4,16616.96,1,16559.47,16858.2,1,2,0.003718648
2014/11/18,2014/11/18,16732.61,0.001402264,328000,16809.8,16632.01,1,16559.47,16858.2,1,2,0.004613148
2014/11/19,2014/11/19,16683.79,0.002921921,324000,16728.67,16608.62,1,16559.47,16858.2,1,2,0.002690036
2014/11/20,2014/11/20,16708.57,-0.001484172,315100,16760.03,16642.73,1,16559.47,16818.4,1,2,0.003079857
2014/11/21,2014/11/21,16729.78,-0.001268603,408500,16890.23,16623.74,1,16559.47,16818.4,1,2,0.009590682
2014/11/24,2014/11/24,16971.53,-0.014346869,544400,17055.15,16811.56,1,16608.62,16890.23,1,2,0.004927075
2014/11/25,2014/11/25,16874.34,0.005743109,360800,16999.96,16831.14,1,16608.62,17055.15,1,2,0.007444439
2014/11/27,2014/11/27,16846.96,0.0016239,317600,16896.8,16767.1,1,16623.74,17055.15,1,1,0.002958397
2014/11/28,2014/11/28,16734.52,0.006696573,403800,16830.73,16672.58,1,16623.74,17055.15,1,2,0.005749194
2014/12/1,2014/12/1,16321.71,0.024977528,630100,16613.76,16215.18,1,16672.58,17055.15,1,2,0.017893346
2014/12/2,2014/12/2,16558.82,-0.014422767,387500,16636.18,16391.52,1,16215.18,16999.96,1,2,0.00467183
2014/12/3,2014/12/3,16487.85,0.004295144,348200,16562.28,16446.42,1,16215.18,16993.2,1,2,0.004514233
2014/12/4,2014/12/4,16525.16,-0.002260322,362600,16697.17,16435.53,0.5,16215.18,16896.8,1,2,0.010408976
