update_date,open,high,low,close,volume,MA5,MA10,trend,company_name,position,position_lag,position_diff
2008/5/15,18472.45,18472.45,18472.45,18472.45,242900,18560.06,18316.57,243.49,新湖期货  ,88,,
2008/5/16,18803.24,18803.24,18803.24,18803.24,236400,18704.99,18480.358,224.632,新湖期货  ,88,88,0
2008/5/19,18793.16,18793.16,18793.16,18793.16,248600,18689.61667,18655.316,34.30066667,新湖期货  ,88,88,0
2008/5/20,18522.94,18522.94,18522.94,18522.94,148900,18706.44667,18686.214,20.23266667,新湖期货  ,88,88,0
2008/5/21,18136.45,18136.45,18136.45,18136.45,181700,18484.18333,18545.648,-61.46466667,新湖期货  ,88,88,0
2008/5/22,18248.6,18248.6,18248.6,18248.6,142800,18302.66333,18500.878,-198.2146667,新湖期货  ,88,88,0
2008/5/23,17801.8,17801.8,17801.8,17801.8,190100,18062.28333,18300.59,-238.3066667,新湖期货  ,88,88,0
2008/5/26,17971.08,17971.08,17971.08,17971.08,123200,18007.16,18136.174,-129.014,新湖期货  ,88,88,0
2008/5/27,17669.96,17669.96,17669.96,17669.96,114600,17814.28,17965.578,-151.298,新湖期货  ,88,88,0
2008/5/28,17652.65,17652.65,17652.65,17652.65,135100,17764.56333,17868.818,-104.2546667,新湖期货  ,88,88,0
2008/5/29,17117.77,17117.77,17117.77,17117.77,163800,17480.12667,17642.652,-162.5253333,新湖期货  ,78,88,-10
2008/7/15,15729.95,15729.95,15729.95,15729.95,216700,15841.02667,15563.868,277.1586667,新湖期货  ,-789,78,-867
2008/7/16,15286.55,15286.55,15286.55,15286.55,169000,15665.79,15620.514,45.276,新湖期货  ,-745,-789,44
2008/7/25,15254.12,15254.12,15254.12,15254.12,164700,15359.14333,15345.442,13.70133333,新湖期货  ,-1173,-745,-428
2008/10/9,12278.82,12278.82,12278.82,12278.82,135200,12609.97667,13145.134,-535.1573333,新湖期货  ,249,-1173,1422
2008/10/10,11809.3,11809.3,11809.3,11809.3,5400,12265.03333,12658.562,-393.5286667,新湖期货  ,247,249,-2
2008/10/27,8832.25,8832.25,8832.25,8832.25,229400,9051.943333,9412.722,-360.7786667,新湖期货  ,-3124,247,-3371
2008/10/29,9238.15,9238.15,9238.15,9238.15,206100,9096.74,9122.76,-26.02,新湖期货  ,-53,-3124,3071
2008/10/30,9532.82,9532.82,9532.82,9532.82,48800,9330.263333,9196.786,133.4773333,新湖期货  ,-51,-53,2
2008/10/31,9114.51,9114.51,9114.51,9114.51,176000,9295.16,9187.51,107.65,新湖期货  ,-51,-51,0
2008/11/3,9476.1,9476.1,9476.1,9476.1,88800,9374.476667,9316.28,58.19666667,新湖期货  ,1120,-51,1171
2008/11/4,9542.88,9542.88,9542.88,9542.88,185600,9377.83,9380.892,-3.062,新湖期货  ,-51,1120,-1171
2008/11/20,9336.76,9336.76,9336.76,9336.76,120300,9528.283333,9596.17,-67.88666667,新湖期货  ,314,-51,365
2008/12/4,9183.77,9183.77,9183.77,9183.77,83300,9421.51,9520.438,-98.928,新湖期货  ,-97,314,-411
2008/12/9,9171.45,9171.45,9171.45,9171.45,248900,9009.163333,9148.944,-139.7806667,新湖期货  ,412,-97,509
2008/12/10,9374.38,9374.38,9374.38,9374.38,237100,9241.136667,9117.128,124.0086667,新湖期货  ,-424,412,-836
2008/12/11,9268.54,9268.54,9268.54,9268.54,164000,9271.456667,9134.082,137.3746667,新湖期货  ,-702,-424,-278
2008/12/12,9077.27,9077.27,9077.27,9077.27,167600,9240.063333,9213.844,26.21933333,新湖期货  ,-699,-702,3
2008/12/15,9304.81,9304.81,9304.81,9304.81,88300,9216.873333,9239.29,-22.41666667,新湖期货  ,-670,-699,29
2008/12/16,9191.85,9191.85,9191.85,9191.85,92800,9191.31,9243.37,-52.06,新湖期货  ,-669,-670,1
2008/12/17,9289.92,9289.92,9289.92,9289.92,112000,9262.193333,9226.478,35.71533333,新湖期货  ,-666,-669,3
2008/12/18,9243.03,9243.03,9243.03,9243.03,63700,9241.6,9221.376,20.224,新湖期货  ,-657,-666,9
2008/12/19,9559.36,9559.36,9559.36,9559.36,162000,9364.103333,9317.794,46.30933333,新湖期货  ,262,-657,919
2008/12/25,9742.04,9742.04,9742.04,9742.04,115300,9744.813333,9715.914,28.89933333,新湖期货  ,619,262,357
2008/12/26,9668.24,9668.24,9668.24,9668.24,98800,9741.853333,9737.69,4.163333333,新湖期货  ,563,619,-56
2008/12/29,9789.07,9789.07,9789.07,9789.07,86300,9733.116667,9738.35,-5.233333333,新湖期货  ,707,563,144
2008/12/30,9729.21,9729.21,9729.21,9729.21,58300,9728.84,9748.768,-19.928,新湖期货  ,728,707,21
2008/12/31,10136.45,10136.45,10136.45,10136.45,140500,9884.91,9813.002,71.908,新湖期货  ,714,728,-14
2009/1/5,10572.29,10572.29,10572.29,10572.29,84500,10145.98333,9979.052,166.9313333,新湖期货  ,665,714,-49
2009/1/6,11160.66,11160.66,11160.66,11160.66,312300,10623.13333,10277.536,345.5973333,新湖期货  ,1615,665,950
2009/1/7,10974.31,10974.31,10974.31,10974.31,364000,10902.42,10514.584,387.836,新湖期货  ,835,1615,-780
2009/1/8,10633.43,10633.43,10633.43,10633.43,72800,10922.8,10695.428,227.372,新湖期货  ,852,835,17
2009/1/9,10756.71,10756.71,10756.71,10756.71,424800,10788.15,10819.48,-31.33,新湖期货  ,761,852,-91
2009/1/12,10946.53,10946.53,10946.53,10946.53,284700,10778.89,10894.328,-115.438,新湖期货  ,876,761,115
2009/1/13,10811.42,10811.42,10811.42,10811.42,217900,10838.22,10824.48,13.74,新湖期货  ,873,876,-3
2009/1/14,11276.59,11276.59,11276.59,11276.59,247600,11011.51333,10884.936,126.5773333,新湖期货  ,1694,873,821
2009/1/15,10915.37,10915.37,10915.37,10915.37,274900,11001.12667,10941.324,59.80266667,新湖期货  ,1282,1694,-412
2009/1/16,11100.15,11100.15,11100.15,11100.15,214400,11097.37,11010.012,87.358,新湖期货  ,1498,1282,216
2009/1/19,11006.54,11006.54,11006.54,11006.54,186900,11007.35333,11022.014,-14.66066667,新湖期货  ,1301,1498,-197
2009/1/20,10771.16,10771.16,10771.16,10771.16,181700,10959.28333,11013.962,-54.67866667,新湖期货  ,561,1301,-740
2009/1/21,10583.83,10583.83,10583.83,10583.83,142800,10787.17667,10875.41,-88.23333333,新湖期货  ,502,561,-59
2009/2/23,10244.91,10244.91,10244.91,10244.91,160700,10185.23667,10217.014,-31.77733333,新湖期货  ,621,502,119
2009/3/9,10453.7,10453.7,10453.7,10453.7,123600,10576.64,10519.16,57.48,新湖期货  ,-1130,621,-1751
2009/3/24,11434.7,11434.7,11434.7,11434.7,295400,11419.61667,11174.536,245.0806667,新湖期货  ,827,-1130,1957
2009/3/25,11292.98,11292.98,11292.98,11292.98,175800,11444.73667,11286.002,158.7346667,新湖期货  ,724,827,-103
2009/3/27,11585.71,11585.71,11585.71,11585.71,288700,11519.83333,11520.146,-0.312666667,新湖期货  ,737,724,13
2009/3/30,11543.03,11543.03,11543.03,11543.03,203600,11603.18333,11507.446,95.73733333,新湖期货  ,702,737,-35
2009/3/31,11693.44,11693.44,11693.44,11693.44,201600,11607.39333,11559.194,48.19933333,新湖期货  ,634,702,-68
2009/4/1,11639.35,11639.35,11639.35,11639.35,211800,11625.27333,11628.468,-3.194666667,新湖期货  ,683,634,49
2009/4/2,11797.46,11797.46,11797.46,11797.46,186800,11710.08333,11651.798,58.28533333,新湖期货  ,603,683,-80
2009/4/3,11746.95,11746.95,11746.95,11746.95,138300,11727.92,11684.046,43.874,新湖期货  ,438,603,-165
2009/4/7,12277.58,12277.58,12277.58,12277.58,294100,11940.66333,11830.956,109.7073333,新湖期货  ,435,438,-3
2009/4/8,11864.6,11864.6,11864.6,11864.6,258200,11963.04333,11865.188,97.85533333,新湖期货  ,1033,435,598
2009/4/9,12179.55,12179.55,12179.55,12179.55,206100,12107.24333,11973.228,134.0153333,新湖期货  ,937,1033,-96
2009/4/10,12663.73,12663.73,12663.73,12663.73,367300,12235.96,12146.482,89.478,新湖期货  ,949,937,12
2009/4/15,13124.56,13124.56,13124.56,13124.56,474200,12942.04333,12733.882,208.1613333,新湖期货  ,-2515,949,-3464
2009/4/16,13734.96,13734.96,13734.96,13734.96,311600,13208.93333,13044.964,163.9693333,新湖期货  ,-2636,-2515,-121
2009/4/17,13581.65,13581.65,13581.65,13581.65,543500,13480.39,13228.548,251.842,新湖期货  ,1545,-2636,4181
2009/4/20,13385.69,13385.69,13385.69,13385.69,388900,13567.43333,13318.828,248.6053333,新湖期货  ,-2155,1545,-3700
2009/4/21,12862.33,12862.33,12862.33,12862.33,34200,13276.55667,13337.838,-61.28133333,新湖期货  ,1096,-2155,3251
2009/4/23,12472.14,12472.14,12472.14,12472.14,370600,12572.54333,12936.994,-364.4506667,新湖期货  ,532,1096,-564
2009/4/28,11947.65,11947.65,11947.65,11947.65,363700,11980.14,12159.144,-179.004,新湖期货  ,541,532,9
2009/5/12,12747.74,12747.74,12747.74,12747.74,339500,12861.98333,12975.956,-113.9726667,新湖期货  ,843,541,302
2009/5/13,12865.73,12865.73,12865.73,12865.73,260500,12733.12667,12932.678,-199.5513333,新湖期货  ,1035,843,192
2009/5/14,12486.23,12486.23,12486.23,12486.23,234800,12699.9,12787.582,-87.682,新湖期货  ,989,1035,-46
2009/5/15,12653.72,12653.72,12653.72,12653.72,229500,12668.56,12667.866,0.694,新湖期货  ,1086,989,97
2009/5/18,12743.88,12743.88,12743.88,12743.88,430700,12627.94333,12699.46,-71.51666667,新湖期货  ,1183,1086,97
2009/5/19,13183.46,13183.46,13183.46,13183.46,504500,12860.35333,12786.604,73.74933333,新湖期货  ,1051,1183,-132
2009/5/20,12833.81,12833.81,12833.81,12833.81,393400,12920.38333,12780.22,140.1633333,新湖期货  ,811,1051,-240
2009/5/21,12732.17,12732.17,12732.17,12732.17,297800,12916.48,12829.408,87.072,新湖期货  ,847,811,36
2009/5/22,12873.13,12873.13,12873.13,12873.13,408700,12813.03667,12873.29,-60.25333333,新湖期货  ,1050,847,203
2009/5/25,12859.85,12859.85,12859.85,12859.85,268400,12821.71667,12896.484,-74.76733333,新湖期货  ,943,1050,-107
2009/5/26,12700.62,12700.62,12700.62,12700.62,193500,12811.2,12799.916,11.284,新湖期货  ,733,943,-210
2009/5/27,12788.76,12788.76,12788.76,12788.76,154200,12783.07667,12790.906,-7.829333333,新湖期货  ,706,733,-27
2009/6/1,13261.97,13261.97,13261.97,13261.97,454800,12917.11667,12896.866,20.25066667,新湖期货  ,542,706,-164
2009/6/2,13190.27,13190.27,13190.27,13190.27,419800,13080.33333,12960.294,120.0393333,新湖期货  ,537,542,-5
2009/6/4,13249.09,13249.09,13249.09,13249.09,225500,13282.59,13179.7,102.89,新湖期货  ,1079,537,542
2009/6/12,13834.47,13834.47,13834.47,13834.47,402900,13748.75333,13627.648,121.1053333,新湖期货  ,-244,1079,-1323
2009/6/15,13507.83,13507.83,13507.83,13507.83,362100,13688.45,13651.748,36.702,新湖期货  ,-245,-244,-1
2009/6/16,13475.76,13475.76,13475.76,13475.76,284100,13606.02,13645.97,-39.95,新湖期货  ,362,-245,607
2009/6/17,13531.9,13531.9,13531.9,13531.9,253800,13505.16333,13614.602,-109.4386667,新湖期货  ,-244,362,-606
2009/6/18,13444.66,13444.66,13444.66,13444.66,187900,13484.10667,13558.924,-74.81733333,新湖期货  ,-244,-244,0
2009/6/19,13377.24,13377.24,13377.24,13377.24,138400,13451.26667,13467.478,-16.21133333,新湖期货  ,-244,-244,0
2009/6/22,13221.76,13221.76,13221.76,13221.76,121600,13347.88667,13410.264,-62.37733333,新湖期货  ,-244,-244,0
2009/6/23,13209.63,13209.63,13209.63,13209.63,159500,13269.54333,13357.038,-87.49466667,新湖期货  ,-243,-244,1
2009/6/24,13417.1,13417.1,13417.1,13417.1,164400,13282.83,13334.078,-51.248,新湖期货  ,-243,-243,0
2009/6/25,13466.45,13466.45,13466.45,13466.45,203100,13364.39333,13338.436,25.95733333,新湖期货  ,356,-243,599
2009/6/26,13591.05,13591.05,13591.05,13591.05,149400,13491.53333,13381.198,110.3353333,新湖期货  ,-243,356,-599
2009/6/29,13487.45,13487.45,13487.45,13487.45,155400,13514.98333,13434.336,80.64733333,新湖期货  ,-243,-243,0
2009/6/30,13462.33,13462.33,13462.33,13462.33,182400,13513.61,13484.876,28.734,新湖期货  ,-140,-243,103
2009/7/1,13450.85,13450.85,13450.85,13450.85,94500,13466.87667,13491.626,-24.74933333,新湖期货  ,-140,-140,0
2009/7/2,13455.68,13455.68,13455.68,13455.68,131500,13456.28667,13489.472,-33.18533333,新湖期货  ,-140,-140,0
2009/7/3,13432.89,13432.89,13432.89,13432.89,116900,13446.47333,13457.84,-11.36666667,新湖期货  ,-140,-140,0
2009/7/6,13272.42,13272.42,13272.42,13272.42,125000,13386.99667,13414.834,-27.83733333,新湖期货  ,-140,-140,0
2009/7/7,13366.33,13366.33,13366.33,13366.33,93000,13357.21333,13395.634,-38.42066667,新湖期货  ,-100,-140,40
2009/7/8,13203.13,13203.13,13203.13,13203.13,253500,13280.62667,13346.09,-65.46333333,新湖期货  ,103,-100,203
2009/7/9,13236.36,13236.36,13236.36,13236.36,154800,13268.60667,13302.226,-33.61933333,新湖期货  ,103,103,0
2009/7/10,13197.5,13197.5,13197.5,13197.5,149600,13212.33,13255.148,-42.818,新湖期货  ,103,103,0
2009/7/13,12724.17,12724.17,12724.17,12724.17,432700,13052.67667,13145.498,-92.82133333,新湖期货  ,-1803,103,-1906
2009/7/14,12901.65,12901.65,12901.65,12901.65,382700,12941.10667,13052.562,-111.4553333,新湖期货  ,63,-1803,1866
2009/7/15,13251,13251,13251,13251,318900,12958.94,13062.136,-103.196,新湖期货  ,61,63,-2
2009/7/16,13246.9,13246.9,13246.9,13246.9,271700,13133.18333,13064.244,68.93933333,新湖期货  ,61,61,0
2009/7/17,13420.88,13420.88,13420.88,13420.88,190500,13306.26,13108.92,197.34,新湖期货  ,60,61,-1
2009/7/20,13890.01,13890.01,13890.01,13890.01,254300,13519.26333,13342.088,177.1753333,新湖期货  ,40,60,-20
2009/7/21,13739.61,13739.61,13739.61,13739.61,222000,13683.5,13509.68,173.82,新湖期货  ,40,40,0
2009/7/22,13753.22,13753.22,13753.22,13753.22,214400,13794.28,13610.124,184.156,新湖期货  ,40,40,0
2009/8/24,15540.2,15540.2,15540.2,15540.2,332800,15140.20333,14948.39,191.8133333,新湖期货  ,402,40,362
2009/8/25,15296.39,15296.39,15296.39,15296.39,247600,15240.17667,15049.648,190.5286667,新湖期货  ,356,402,-46
2009/8/26,15424.94,15424.94,15424.94,15424.94,203100,15420.51,15228.388,192.122,新湖期货  ,335,356,-21
2009/9/4,15803.53,15803.53,15803.53,15803.53,371000,15308.12667,15192.13,115.9966667,新湖期货  ,2340,335,2005
2009/9/7,15661.14,15661.14,15661.14,15661.14,406500,15554.22667,15333.146,221.0806667,新湖期货  ,2442,2340,102
2009/9/8,15660.96,15660.96,15660.96,15660.96,277200,15708.54333,15449.296,259.2473333,新湖期货  ,2149,2442,-293
2009/9/10,15642.43,15642.43,15642.43,15642.43,271000,15652.7,15684.554,-31.854,新湖期货  ,-1130,2149,-3279
2009/9/11,15183.44,15183.44,15183.44,15183.44,367800,15493.52667,15560.536,-67.00933333,新湖期货  ,-3152,-1130,-2022
2009/9/14,14854.96,14854.96,14854.96,14854.96,312400,15226.94333,15399.3,-172.3566667,新湖期货  ,-3097,-3152,55
2009/9/15,15159.36,15159.36,15159.36,15159.36,188800,15065.92,15298.98,-233.06,新湖期货  ,-3177,-3097,-80
2009/9/30,15369.24,15369.24,15369.24,15369.24,140400,15106.29,15116.86,-10.57,新湖期货  ,358,-3177,3535
2009/10/12,15895.16,15895.16,15895.16,15895.16,240700,15686.74,15401.97,284.77,新湖期货  ,683,358,325
2009/10/13,15916.9,15916.9,15916.9,15916.9,161000,15869.29333,15620.03,249.2633333,新湖期货  ,745,683,62
2009/10/15,15884.85,15884.85,15884.85,15884.85,205300,15978.18333,15925.106,53.07733333,新湖期货  ,751,745,6
2009/10/16,15938.97,15938.97,15938.97,15938.97,154300,15985.54,15953.736,31.804,新湖期货  ,814,751,63
2009/10/21,16185.31,16185.31,16185.31,16185.31,190500,16163.92333,16063.118,100.8053333,新湖期货  ,2002,814,1188
2009/10/22,16423.98,16423.98,16423.98,16423.98,380600,16276.83333,16170.944,105.8893333,新湖期货  ,2018,2002,16
2009/10/23,16754.07,16754.07,16754.07,16754.07,295300,16454.45333,16333.964,120.4893333,新湖期货  ,4932,2018,2914
2009/10/26,17241.25,17241.25,17241.25,17241.25,516700,16806.43333,16565.164,241.2693333,新湖期货  ,5219,4932,287
2009/10/27,17131.66,17131.66,17131.66,17131.66,425900,17042.32667,16747.254,295.0726667,新湖期货  ,4789,5219,-430
2009/10/28,16906.41,16906.41,16906.41,16906.41,432100,17093.10667,16891.474,201.6326667,新湖期货  ,4590,4789,-199
2009/10/29,16470.33,16470.33,16470.33,16470.33,293100,16836.13333,16900.744,-64.61066667,新湖期货  ,4499,4590,-91
2009/10/30,16829,16829,16829,16829,214400,16735.24667,16915.73,-180.4833333,新湖期货  ,4496,4499,-3
2009/11/2,16726.73,16726.73,16726.73,16726.73,267500,16675.35333,16812.826,-137.4726667,新湖期货  ,4496,4496,0
2009/11/3,16736.27,16736.27,16736.27,16736.27,238300,16764,16733.748,30.252,新湖期货  ,4502,4496,6
2009/11/4,16982.66,16982.66,16982.66,16982.66,238200,16815.22,16748.998,66.222,新湖期货  ,4531,4502,29
2009/11/5,16854.95,16854.95,16854.95,16854.95,230600,16857.96,16825.922,32.038,新湖期货  ,4478,4531,-53
2009/11/6,16906.3,16906.3,16906.3,16906.3,183900,16914.63667,16841.382,73.25466667,新湖期货  ,4486,4478,8
2009/11/9,17008.94,17008.94,17008.94,17008.94,161500,16923.39667,16897.824,25.57266667,新湖期货  ,4474,4486,-12
2009/11/11,16783.12,16783.12,16783.12,16783.12,174700,16835.90333,16853.792,-17.88866667,新湖期货  ,-101,4474,-4575
2009/11/12,17043.78,17043.78,17043.78,17043.78,299600,16847.51667,16891.558,-44.04133333,新湖期货  ,374,-101,475
2009/11/13,17245.39,17245.39,17245.39,17245.39,414100,17024.09667,16959.376,64.72066667,新湖期货  ,-101,374,-475
