update_date,daily_return,cum_return,drawdown
2007-04-18,,,
2007-04-19,0.0,0.0,0.0
2007-04-20,0.0,0.0,0.0
2007-04-23,0.0,0.0,0.0
2007-04-24,0.0,0.0,0.0
2007-04-26,0.0,0.0,0.0
2007-04-27,0.0,0.0,0.0
2007-04-30,0.0,0.0,0.0
2007-05-09,0.0,0.0,0.0
2007-05-10,0.0,0.0,0.0
2007-05-11,0.0,0.0,0.0
2007-05-14,0.0,0.0,0.0
2007-05-15,0.0,0.0,0.0
2007-05-16,0.0,0.0,0.0
2007-05-29,0.0,0.0,0.0
2007-05-30,0.0,0.0,0.0
2007-05-31,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0
2007-06-11,0.0,0.0,0.0
2007-06-12,0.0,0.0,0.0
2007-06-13,0.0,0.0,0.0
2007-06-14,0.0,0.0,0.0
2007-06-15,0.0,0.0,0.0
2007-07-02,0.0,0.0,0.0
2007-07-03,0.0,0.0,0.0
2007-07-04,0.0,0.0,0.0
2007-07-05,0.0,0.0,0.0
2007-07-06,0.0,0.0,0.0
2007-07-09,0.0,0.0,0.0
2007-07-10,0.0,0.0,0.0
2007-07-11,0.0,0.0,0.0
2007-07-12,0.0,0.0,0.0
2007-07-13,0.0,0.0,0.0
2007-07-16,0.0,0.0,0.0
2007-07-18,0.0,0.0,0.0
2007-07-20,0.0,0.0,0.0
2007-07-23,0.0,0.0,0.0
2007-07-25,0.0,0.0,0.0
2007-08-10,0.0,0.0,0.0
2007-08-13,0.0,0.0,0.0
2007-08-14,0.0,0.0,0.0
2007-08-15,0.0,0.0,0.0
2007-08-27,0.0,0.0,0.0
2007-08-28,0.0,0.0,0.0
2007-08-29,0.0,0.0,0.0
2007-08-30,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0
2007-09-03,0.0,0.0,0.0
2007-09-04,0.0,0.0,0.0
2007-09-05,0.0,0.0,0.0
2007-09-06,0.0,0.0,0.0
2007-09-10,0.0,0.0,0.0
2007-09-11,0.0,0.0,0.0
2007-09-12,0.0,0.0,0.0
2007-09-13,0.0,0.0,0.0
2007-09-14,0.0,0.0,0.0
2007-09-17,0.0,0.0,0.0
2007-10-08,0.0,0.0,0.0
2007-10-09,0.0,0.0,0.0
2007-10-10,0.0,0.0,0.0
2007-10-11,0.0,0.0,0.0
2007-10-12,0.0,0.0,0.0
2007-10-15,0.0,0.0,0.0
2007-11-02,0.0,0.0,0.0
2007-11-05,0.0,0.0,0.0
2007-11-06,0.0,0.0,0.0
2007-11-07,0.0,0.0,0.0
2007-11-08,0.0,0.0,0.0
2007-11-09,0.0,0.0,0.0
2007-11-12,0.0,0.0,0.0
2007-11-13,0.0,0.0,0.0
2007-11-14,0.0,0.0,0.0
2007-11-15,0.0,0.0,0.0
2007-12-07,0.0,0.0,0.0
2007-12-10,0.0,0.0,0.0
2007-12-11,0.0,0.0,0.0
2007-12-12,0.0,0.0,0.0
2007-12-13,0.0,0.0,0.0
2007-12-14,0.0,0.0,0.0
2007-12-17,0.0,0.0,0.0
2008-01-09,0.0,0.0,0.0
2008-01-10,0.0,0.0,0.0
2008-01-11,0.0,0.0,0.0
2008-01-14,0.0,0.0,0.0
2008-01-15,0.0,0.0,0.0
2008-02-04,0.0,0.0,0.0
2008-02-05,0.0,0.0,0.0
2008-02-13,0.0,0.0,0.0
2008-02-14,0.0,0.0,0.0
2008-02-15,0.0,0.0,0.0
2008-02-26,0.0,0.0,0.0
2008-02-28,0.0,0.0,0.0
2008-02-29,0.0,0.0,0.0
2008-03-11,0.0,0.0,0.0
2008-03-12,0.0,0.0,0.0
2008-03-13,0.0,0.0,0.0
2008-03-14,0.0,0.0,0.0
2008-03-17,0.0,0.0,0.0
2008-03-21,0.0,0.0,0.0
2008-04-07,0.0,0.0,0.0
2008-04-08,0.0,0.0,0.0
2008-04-09,0.0,0.0,0.0
2008-04-10,0.0,0.0,0.0
2008-04-11,0.0,0.0,0.0
2008-04-14,0.0,0.0,0.0
2008-04-15,0.0,0.0,0.0
2008-04-16,0.0,0.0,0.0
2008-04-17,0.0,0.0,0.0
2008-04-18,0.0,0.0,0.0
2008-04-21,0.0,0.0,0.0
2008-04-22,0.0,0.0,0.0
2008-04-23,0.0,0.0,0.0
2008-04-24,0.0,0.0,0.0
2008-04-25,0.0,0.0,0.0
2008-04-28,0.0,0.0,0.0
2008-05-09,0.0,0.0,0.0
2008-05-12,0.0,0.0,0.0
2008-05-13,0.0,0.0,0.0
2008-05-14,0.0,0.0,0.0
2008-05-19,0.0,0.0,0.0
2008-05-21,0.0,0.0,0.0
2008-05-22,0.0,0.0,0.0
2008-05-23,0.0,0.0,0.0
2008-05-26,0.0,0.0,0.0
2008-05-27,0.0,0.0,0.0
2008-05-28,0.0,0.0,0.0
2008-05-29,0.0,0.0,0.0
2008-05-30,0.0,0.0,0.0
2008-06-02,0.0,0.0,0.0
2008-06-03,0.0,0.0,0.0
2008-06-04,0.0,0.0,0.0
2008-06-05,0.0,0.0,0.0
2008-06-06,0.0,0.0,0.0
2008-06-10,0.0,0.0,0.0
2008-06-11,0.0,0.0,0.0
2008-06-12,0.0,0.0,0.0
2008-06-13,0.0,0.0,0.0
