Date,Price,Return,buy_chg,sell_chg,buy_dir,sell_dir,signal,result,accu_rate,time,OPEN,HIGH,LOW,CLOSE
2016-01-18,,,,,,,,,,2016-01-18 00:00:00.005,71040.0,72920.0,71040.0,72920.0
2016-01-19,,,,,,,,,,2016-01-19 00:00:00.005,72780.0,72800.0,71600.0,72420.0
2016-01-20,,,,,,,,,,2016-01-20 00:00:00.005,71370.0,71870.0,71120.0,71120.0
2016-01-21,,,,,,,,,,2016-01-21 00:00:00.005,72110.0,72730.0,71030.0,71600.0
2016-01-22,,,,,,,,,,2016-01-22 00:00:00.005,72740.0,74460.0,71770.0,72330.0
2016-01-26,,,,,,,,,,2016-01-26 00:00:00.005,71750.0,71800.0,71270.0,71500.0
2016-01-27,,,,,,,,,,2016-01-27 00:00:00.005,72180.0,73370.0,71400.0,72800.0
2016-01-28,,,,,,,,,,2016-01-28 00:00:00.005,72800.0,72800.0,72600.0,72600.0
2016-01-29,,,,,,,,,,2016-01-29 00:00:00.005,72010.0,72170.0,71620.0,71980.0
2016-02-01,,,,,,,,,,2016-02-01 00:00:00.005,72040.0,72100.0,71020.0,71270.0
2016-02-02,,,,,,,,,,2016-02-02 00:00:00.005,71090.0,71420.0,71070.0,71070.0
2016-02-03,,,,,,,,,,2016-02-03 00:00:00.005,71220.0,71220.0,70450.0,71130.0
2016-02-04,,,,,,,,,,2016-02-04 00:00:00.005,71010.0,71950.0,71010.0,71950.0
2016-02-05,,,,,,,,,,2016-02-05 00:00:00.005,71680.0,71930.0,70700.0,70840.0
2016-02-15,,,,,,,,,,2016-02-15 00:00:00.005,68260.0,69030.0,67910.0,68380.0
2016-02-16,,,,,,,,,,2016-02-16 00:00:00.005,69490.0,69490.0,68210.0,68690.0
2016-02-17,,,,,,,,,,2016-02-17 00:00:00.005,68560.0,68810.0,68210.0,68550.0
2016-02-18,,,,,,,,,,2016-02-18 00:00:00.005,68550.0,68960.0,68550.0,68600.0
2016-02-19,,,,,,,,,,2016-02-19 00:00:00.005,68710.0,69420.0,68710.0,69390.0
2016-02-22,,,,,,,,,,2016-02-22 00:00:00.005,69270.0,71180.0,69150.0,70800.0
2016-02-23,,,,,,,,,,2016-02-23 00:00:00.005,71110.0,72090.0,70600.0,70740.0
2016-02-24,,,,,,,,,,2016-02-24 00:00:00.005,71130.0,71150.0,70220.0,70830.0
2016-02-25,,,,,,,,,,2016-02-25 00:00:00.005,70520.0,71540.0,69700.0,70070.0
2016-02-26,,,,,,,,,,2016-02-26 00:00:00.005,70110.0,70200.0,68880.0,69750.0
2016-02-29,,,,,,,,,,2016-02-29 00:00:00.005,69540.0,70350.0,68940.0,69140.0
2016-03-01,,,,,,,,,,2016-03-01 00:00:00.005,69390.0,70030.0,69000.0,70030.0
2016-03-02,,,,,,,,,,2016-03-02 00:00:00.005,70190.0,71210.0,70010.0,71130.0
2016-03-03,,,,,,,,,,2016-03-03 00:00:00.005,71460.0,71470.0,70780.0,71400.0
2016-03-04,,,,,,,,,,2016-03-04 00:00:00.005,71610.0,73660.0,71370.0,73400.0
2016-03-07,,,,,,,,,,2016-03-07 00:00:00.005,73270.0,76100.0,73270.0,75260.0
2016-03-08,,,,,,,,,,2016-03-08 00:00:00.005,75750.0,77920.0,70620.0,74000.0
2016-03-09,,,,,,,,,,2016-03-09 00:00:00.005,73850.0,73850.0,70750.0,71390.0
