update_date,volume,position,position_diff,turn_over_rate
2001/11/9,21890,51568,,
2001/11/12,12728,47856,-3712,-3.43 
2001/11/13,21902,45212,-2644,-8.28 
2001/11/14,27804,40966,-4246,-6.55 
2001/11/15,34456,48708,7742,4.45 
2001/11/16,19560,53444,4736,4.13 
2001/11/19,33988,55194,1750,19.42 
2001/11/20,32146,59430,4236,7.59 
2001/11/21,15398,58936,-494,-31.17 
2001/11/22,16856,58422,-514,-32.79 
2001/11/23,21444,58676,254,84.43 
2001/11/26,11168,60348,1672,6.68 
2001/11/27,37308,60332,-16,-2331.75 
2001/11/28,46368,54522,-5810,-7.98 
2001/11/29,52380,55428,906,57.81 
2001/11/30,24044,54158,-1270,-18.93 
2001/12/3,17416,55508,1350,12.90 
2001/12/4,25204,52666,-2842,-8.87 
2001/12/5,18316,51278,-1388,-13.20 
2001/12/6,30320,51844,566,53.57 
2001/12/7,16718,52492,648,25.80 
2001/12/10,15354,50510,-1982,-7.75 
2001/12/11,35640,56554,6044,5.90 
2001/12/12,43244,61220,4666,9.27 
2001/12/13,33784,63444,2224,15.19 
2001/12/14,22372,64230,786,28.46 
2001/12/17,26032,64806,576,45.19 
2001/12/18,37910,69772,4966,7.63 
2001/12/19,42978,68750,-1022,-42.05 
2001/12/20,30878,67562,-1188,-25.99 
2001/12/21,35378,70040,2478,14.28 
2001/12/24,11752,71060,1020,11.52 
2001/12/25,2000,70960,-100,-20.00 
2001/12/26,4138,71488,528,7.84 
2001/12/27,31572,70238,-1250,-25.26 
2001/12/28,20266,67834,-2404,-8.43 
2001/12/29,13534,65264,-2570,-5.27 
2001/12/30,8070,64638,-626,-12.89 
2002/1/7,32814,66106,1468,22.35 
2002/1/8,1646,65122,-984,-1.67 
2002/1/9,61572,54422,-10700,-5.75 
2002/1/10,30180,55292,870,34.69 
2002/1/11,31418,53020,-2272,-13.83 
2002/1/14,17322,54452,1432,12.10 
2002/1/15,13712,52660,-1792,-7.65 
2002/1/16,11042,51000,-1660,-6.65 
2002/1/17,29046,61290,10290,2.82 
2002/1/18,52254,69634,8344,6.26 
2002/1/21,29318,71792,2158,13.59 
2002/1/22,21702,76738,4946,4.39 
2002/1/23,14564,77432,694,20.99 
2002/1/24,46854,80256,2824,16.59 
2002/1/25,28130,77604,-2652,-10.61 
2002/1/28,31650,76560,-1044,-30.32 
2002/1/29,24670,78296,1736,14.21 
2002/1/30,23936,81022,2726,8.78 
2002/1/31,16060,82492,1470,10.93 
2002/2/1,45234,78598,-3894,-11.62 
2002/2/4,32470,76898,-1700,-19.10 
2002/2/5,26266,74216,-2682,-9.79 
2002/2/6,13906,74502,286,48.62 
2002/2/7,9172,72592,-1910,-4.80 
2002/2/8,21812,69564,-3028,-7.20 
2002/2/19,13394,69456,-108,-124.02 
2002/2/20,11636,66948,-2508,-4.64 
2002/2/21,7428,65316,-1632,-4.55 
2002/2/22,6898,64720,-596,-11.57 
2002/2/25,7594,64266,-454,-16.73 
2002/2/26,23774,72420,8154,2.92 
2002/2/27,23700,76064,3644,6.50 
2002/2/28,26948,76420,356,75.70 
2002/3/1,24156,75140,-1280,-18.87 
2002/3/4,46104,75056,-84,-548.86 
2002/3/5,29030,74710,-346,-83.90 
2002/3/6,22274,76682,1972,11.30 
2002/3/7,42604,82164,5482,7.77 
2002/3/8,35318,87084,4920,7.18 
2002/3/11,27822,87392,308,90.33 
2002/3/12,19134,83334,-4058,-4.72 
2002/3/13,14318,81856,-1478,-9.69 
2002/3/14,15062,81318,-538,-28.00 
2002/3/15,17480,81448,130,134.46 
2002/3/18,31588,83568,2120,14.90 
2002/3/19,40582,80420,-3148,-12.89 
2002/3/20,22512,74570,-5850,-3.85 
2002/3/21,12414,72012,-2558,-4.85 
