update_date,hold_vol_buy,hold_vol_buy_chg
2017-01-03,14983.0,405.0
2017-01-04,14551.0,155.0
2017-01-05,14903.0,352.0
2017-01-06,14814.0,-89.0
2017-01-09,15227.0,413.0
2017-01-10,15359.0,132.0
2017-01-11,15650.0,-384.0
2017-01-12,16373.0,723.0
2017-01-13,16380.0,7.0
2017-01-16,16658.0,278.0
2017-01-17,15664.0,126.0
2017-01-18,16051.0,387.0
2017-01-19,16570.0,519.0
2017-01-20,16581.0,11.0
2017-01-23,15891.0,-690.0
2017-01-24,16293.0,402.0
2017-01-25,16675.0,242.0
2017-01-26,15895.0,-780.0
