Wind资讯,ZN1608.SHF,ZN1608.SHF
,沪锌1608,沪锌1608
日期,结算价,持仓量
2015-08-18,14765.00 ,0.00 
2015-08-19,14765.00 ,0.00 
2015-08-20,14685.00 ,0.00 
2015-08-21,14705.00 ,0.00 
2015-08-24,14355.00 ,0.00 
2015-08-25,14355.00 ,0.00 
2015-08-26,14525.00 ,0.00 
2015-08-27,14525.00 ,0.00 
2015-08-28,14795.00 ,0.00 
2015-08-31,14900.00 ,0.00 
2015-09-01,14840.00 ,0.00 
2015-09-02,14915.00 ,0.00 
2015-09-07,14895.00 ,0.00 
2015-09-08,14685.00 ,0.00 
2015-09-09,14685.00 ,0.00 
2015-09-10,14685.00 ,0.00 
2015-09-11,14685.00 ,0.00 
2015-09-14,14545.00 ,0.00 
2015-09-15,14435.00 ,0.00 
2015-09-16,14380.00 ,4.00 
2015-09-17,14395.00 ,32.00 
2015-09-18,14100.00 ,224.00 
2015-09-21,13530.00 ,236.00 
2015-09-22,13255.00 ,360.00 
2015-09-23,13125.00 ,358.00 
2015-09-24,13260.00 ,366.00 
2015-09-25,13410.00 ,364.00 
2015-09-28,13185.00 ,364.00 
2015-09-29,13055.00 ,364.00 
2015-09-30,13330.00 ,364.00 
2015-10-08,13465.00 ,370.00 
2015-10-09,13680.00 ,356.00 
2015-10-12,14135.00 ,354.00 
2015-10-13,14125.00 ,354.00 
2015-10-14,14065.00 ,354.00 
2015-10-15,14190.00 ,348.00 
2015-10-16,14150.00 ,350.00 
2015-10-19,14110.00 ,356.00 
2015-10-20,13915.00 ,362.00 
2015-10-21,14000.00 ,362.00 
2015-10-22,13750.00 ,374.00 
2015-10-23,13890.00 ,364.00 
2015-10-26,13885.00 ,364.00 
2015-10-27,13945.00 ,352.00 
2015-10-28,13935.00 ,360.00 
2015-10-29,13935.00 ,360.00 
2015-10-30,13745.00 ,372.00 
2015-11-02,13735.00 ,374.00 
2015-11-03,13710.00 ,370.00 
2015-11-04,13605.00 ,370.00 
2015-11-05,13625.00 ,370.00 
2015-11-06,13625.00 ,370.00 
2015-11-09,13625.00 ,370.00 
2015-11-10,13170.00 ,370.00 
2015-11-11,13015.00 ,370.00 
2015-11-12,13095.00 ,372.00 
2015-11-13,13095.00 ,372.00 
2015-11-16,12945.00 ,372.00 
2015-11-17,12820.00 ,372.00 
2015-11-18,12490.00 ,376.00 
2015-11-19,12350.00 ,376.00 
2015-11-20,12335.00 ,378.00 
2015-11-23,11985.00 ,438.00 
2015-11-24,12265.00 ,498.00 
2015-11-25,12790.00 ,502.00 
2015-11-26,12995.00 ,500.00 
2015-11-27,12745.00 ,494.00 
2015-11-30,12640.00 ,496.00 
2015-12-01,12640.00 ,506.00 
2015-12-02,12545.00 ,498.00 
2015-12-03,12390.00 ,498.00 
2015-12-04,12435.00 ,500.00 
2015-12-07,12695.00 ,500.00 
2015-12-08,12480.00 ,474.00 
2015-12-09,12385.00 ,472.00 
2015-12-10,12605.00 ,468.00 
2015-12-11,12655.00 ,470.00 
2015-12-14,12835.00 ,470.00 
2015-12-15,12710.00 ,468.00 
2015-12-16,12630.00 ,470.00 
2015-12-17,12670.00 ,478.00 
2015-12-18,12670.00 ,478.00 
2015-12-21,12680.00 ,482.00 
2015-12-22,12820.00 ,514.00 
2015-12-23,12905.00 ,500.00 
2015-12-24,13045.00 ,500.00 
2015-12-25,13060.00 ,504.00 
2015-12-28,13060.00 ,502.00 
2015-12-29,13095.00 ,506.00 
2015-12-30,13390.00 ,508.00 
2015-12-31,13445.00 ,506.00 
2016-01-04,13260.00 ,506.00 
2016-01-05,13295.00 ,510.00 
2016-01-06,13120.00 ,512.00 
2016-01-07,13105.00 ,514.00 
2016-01-08,12805.00 ,520.00 
2016-01-11,12930.00 ,528.00 
2016-01-12,12620.00 ,534.00 
2016-01-13,12550.00 ,542.00 
2016-01-14,12685.00 ,554.00 
2016-01-15,12795.00 ,558.00 
2016-01-18,12730.00 ,560.00 
2016-01-19,12795.00 ,608.00 
2016-01-20,12850.00 ,646.00 
2016-01-21,12785.00 ,670.00 
2016-01-22,12870.00 ,666.00 
2016-01-25,12850.00 ,706.00 
2016-01-26,12880.00 ,722.00 
2016-01-27,13135.00 ,722.00 
2016-01-28,13145.00 ,726.00 
2016-01-29,13115.00 ,722.00 
2016-02-01,13210.00 ,720.00 
2016-02-02,13355.00 ,720.00 
2016-02-03,13480.00 ,716.00 
2016-02-04,13960.00 ,720.00 
2016-02-05,13915.00 ,718.00 
2016-02-15,13935.00 ,718.00 
2016-02-16,13795.00 ,728.00 
2016-02-17,13680.00 ,730.00 
2016-02-18,13680.00 ,726.00 
2016-02-19,13905.00 ,734.00 
2016-02-22,14215.00 ,724.00 
2016-02-23,14275.00 ,732.00 
2016-02-24,14060.00 ,710.00 
2016-02-25,14380.00 ,748.00 
2016-02-26,14135.00 ,818.00 
2016-02-29,14280.00 ,936.00 
2016-03-01,14220.00 ,922.00 
2016-03-02,14380.00 ,1038.00 
2016-03-03,14485.00 ,1096.00 
2016-03-04,14630.00 ,1198.00 
2016-03-07,14580.00 ,1238.00 
2016-03-08,14445.00 ,1414.00 
2016-03-09,14160.00 ,1300.00 
2016-03-10,14270.00 ,1348.00 
2016-03-11,14175.00 ,1476.00 
2016-03-14,14315.00 ,1486.00 
2016-03-15,14200.00 ,1448.00 
2016-03-16,14035.00 ,1526.00 
2016-03-17,14175.00 ,1520.00 
2016-03-18,14475.00 ,1934.00 
2016-03-21,14550.00 ,2004.00 
2016-03-22,14580.00 ,2218.00 
2016-03-23,14515.00 ,2156.00 
2016-03-24,14350.00 ,2490.00 
2016-03-25,14280.00 ,2534.00 
2016-03-28,14375.00 ,2656.00 
2016-03-29,14290.00 ,2720.00 
2016-03-30,14215.00 ,2756.00 
2016-03-31,14170.00 ,2980.00 
2016-04-01,14405.00 ,3218.00 
2016-04-05,14495.00 ,3526.00 
2016-04-06,14370.00 ,3798.00 
2016-04-07,14270.00 ,3956.00 
2016-04-08,14005.00 ,4954.00 
2016-04-11,14110.00 ,5344.00 
2016-04-12,14095.00 ,5468.00 
2016-04-13,14665.00 ,8272.00 
2016-04-14,15005.00 ,9848.00 
2016-04-15,14900.00 ,9704.00 
2016-04-18,15095.00 ,10506.00 
2016-04-19,15155.00 ,12436.00 
2016-04-20,15230.00 ,15296.00 
2016-04-21,15295.00 ,18740.00 
2016-04-22,15100.00 ,16866.00 
2016-04-25,15280.00 ,22300.00 
2016-04-26,15000.00 ,23254.00 
2016-04-27,14995.00 ,23214.00 
2016-04-28,14930.00 ,20536.00 
2016-04-29,15215.00 ,24604.00 
2016-05-03,15280.00 ,26308.00 
2016-05-04,15100.00 ,27426.00 
2016-05-05,14980.00 ,34684.00 
2016-05-06,14845.00 ,37232.00 
2016-05-09,14900.00 ,49022.00 
2016-05-10,14670.00 ,50448.00 
2016-05-11,14800.00 ,53366.00 
2016-05-12,15115.00 ,51902.00 
2016-05-13,15000.00 ,53102.00 
2016-05-16,15080.00 ,53860.00 
2016-05-17,15140.00 ,58804.00 
2016-05-18,15115.00 ,61196.00 
2016-05-19,15030.00 ,65976.00 
2016-05-20,14945.00 ,73020.00 
2016-05-23,14955.00 ,76170.00 
2016-05-24,14680.00 ,85124.00 
2016-05-25,14600.00 ,90168.00 
2016-05-26,14750.00 ,97064.00 
2016-05-27,14960.00 ,107588.00 
2016-05-30,15035.00 ,117398.00 
2016-05-31,15075.00 ,118944.00 
2016-06-01,15065.00 ,131056.00 
2016-06-02,15445.00 ,217180.00 
2016-06-03,15515.00 ,211698.00 
2016-06-06,15740.00 ,226948.00 
2016-06-07,15755.00 ,231406.00 
2016-06-08,15570.00 ,218614.00 
2016-06-13,15895.00 ,230354.00 
2016-06-14,15840.00 ,227986.00 
2016-06-15,15640.00 ,213030.00 
2016-06-16,15690.00 ,206594.00 
2016-06-17,15530.00 ,197624.00 
2016-06-20,15560.00 ,191632.00 
2016-06-21,15695.00 ,186582.00 
2016-06-22,15695.00 ,189214.00 
2016-06-23,15765.00 ,185074.00 
2016-06-24,15635.00 ,163300.00 
2016-06-27,15630.00 ,159694.00 
2016-06-28,15735.00 ,161226.00 
2016-06-29,16155.00 ,157604.00 
2016-06-30,16320.00 ,143958.00 
2016-07-01,16405.00 ,129290.00 
2016-07-04,16730.00 ,112070.00 
2016-07-05,16450.00 ,99018.00 
2016-07-06,16375.00 ,88684.00 
2016-07-07,16365.00 ,84110.00 
2016-07-08,16340.00 ,80550.00 
2016-07-11,16595.00 ,77036.00 
2016-07-12,16690.00 ,72450.00 
2016-07-13,16980.00 ,67508.00 
2016-07-14,16845.00 ,65000.00 
2016-07-15,16920.00 ,63584.00 
2016-07-18,16990.00 ,59368.00 
2016-07-19,17095.00 ,58336.00 
2016-07-20,17155.00 ,56886.00 
2016-07-21,17150.00 ,54692.00 
2016-07-22,17330.00 ,51440.00 
2016-07-25,17250.00 ,48022.00 
2016-07-26,17170.00 ,43510.00 
2016-07-27,17000.00 ,38782.00 
2016-07-28,16790.00 ,32500.00 
2016-07-29,16870.00 ,27020.00 
2016-08-01,17125.00 ,24740.00 
2016-08-02,17260.00 ,25160.00 
2016-08-03,17240.00 ,23250.00 
2016-08-04,17245.00 ,21890.00 
2016-08-05,17255.00 ,20510.00 
2016-08-08,17350.00 ,18640.00 
2016-08-09,17285.00 ,16240.00 
2016-08-10,17390.00 ,15360.00 
