update_date,open,high,low,close
2013-10-18,976.1481 ,976.1481 ,976.1481 ,976.1481 
2013-10-21,967.0134 ,967.0134 ,967.0134 ,967.0134 
2013-10-22,946.3484 ,946.3484 ,946.3484 ,946.3484 
2013-10-23,937.5364 ,937.5364 ,937.5364 ,937.5364 
2013-10-24,924.6670 ,924.6670 ,924.6670 ,924.6670 
2013-10-25,916.6287 ,916.6287 ,916.6287 ,916.6287 
2013-10-28,921.3280 ,921.3280 ,921.3280 ,921.3280 
2013-10-29,919.3359 ,919.3359 ,919.3359 ,919.3359 
2013-10-30,922.0257 ,922.0257 ,922.0257 ,922.0257 
2013-10-31,920.1321 ,920.1321 ,920.1321 ,920.1321 
2013-11-01,941.0645 ,941.0645 ,941.0645 ,941.0645 
2013-11-04,948.7731 ,948.7731 ,948.7731 ,948.7731 
2013-11-05,944.8259 ,944.8259 ,944.8259 ,944.8259 
2013-11-06,942.8246 ,942.8246 ,942.8246 ,942.8246 
2013-11-07,943.8043 ,943.8043 ,943.8043 ,943.8043 
2013-11-08,937.4829 ,937.4829 ,937.4829 ,937.4829 
2013-11-11,940.1499 ,940.1499 ,940.1499 ,940.1499 
2013-11-12,941.0726 ,941.0726 ,941.0726 ,941.0726 
2013-11-13,940.8773 ,940.8773 ,940.8773 ,940.8773 
2013-11-14,934.9988 ,934.9988 ,934.9988 ,934.9988 
2013-11-15,929.1285 ,929.1285 ,929.1285 ,929.1285 
2013-11-18,930.2930 ,930.2930 ,930.2930 ,930.2930 
2013-11-19,939.9832 ,939.9832 ,939.9832 ,939.9832 
2013-11-20,939.9349 ,939.9349 ,939.9349 ,939.9349 
2013-11-21,930.2616 ,930.2616 ,930.2616 ,930.2616 
2013-11-22,929.3423 ,929.3423 ,929.3423 ,929.3423 
2013-11-25,931.0936 ,931.0936 ,931.0936 ,931.0936 
2013-11-26,939.0666 ,939.0666 ,939.0666 ,939.0666 
2013-11-27,934.3023 ,934.3023 ,934.3023 ,934.3023 
2013-11-28,937.0743 ,937.0743 ,937.0743 ,937.0743 
2013-11-29,937.2651 ,937.2651 ,937.2651 ,937.2651 
2013-12-02,934.6395 ,934.6395 ,934.6395 ,934.6395 
2013-12-03,937.2410 ,937.2410 ,937.2410 ,937.2410 
2013-12-04,949.8892 ,949.8892 ,949.8892 ,949.8892 
2013-12-05,942.8146 ,942.8146 ,942.8146 ,942.8146 
2013-12-06,938.9513 ,938.9513 ,938.9513 ,938.9513 
2013-12-09,942.8328 ,942.8328 ,942.8328 ,942.8328 
2013-12-10,940.1773 ,940.1773 ,940.1773 ,940.1773 
2013-12-11,935.0307 ,935.0307 ,935.0307 ,935.0307 
2013-12-12,928.4895 ,928.4895 ,928.4895 ,928.4895 
2013-12-13,911.8789 ,911.8789 ,911.8789 ,911.8789 
2013-12-16,915.7885 ,915.7885 ,915.7885 ,915.7885 
2013-12-17,908.1955 ,908.1955 ,908.1955 ,908.1955 
2013-12-18,904.2804 ,904.2804 ,904.2804 ,904.2804 
2013-12-19,905.5302 ,905.5302 ,905.5302 ,905.5302 
2013-12-20,902.4206 ,902.4206 ,902.4206 ,902.4206 
2013-12-23,889.1995 ,889.1995 ,889.1995 ,889.1995 
2013-12-24,895.3775 ,895.3775 ,895.3775 ,895.3775 
2013-12-25,897.9476 ,897.9476 ,897.9476 ,897.9476 
2013-12-26,892.6267 ,892.6267 ,892.6267 ,892.6267 
2013-12-27,902.5301 ,902.5301 ,902.5301 ,902.5301 
2013-12-30,906.5569 ,906.5569 ,906.5569 ,906.5569 
2013-12-31,906.5984 ,906.5984 ,906.5984 ,906.5984 
2014-01-02,903.0811 ,903.0811 ,903.0811 ,903.0811 
2014-01-03,897.6848 ,897.6848 ,897.6848 ,897.6848 
2014-01-06,888.9758 ,888.9758 ,888.9758 ,888.9758 
2014-01-07,892.7150 ,892.7150 ,892.7150 ,892.7150 
2014-01-08,888.1127 ,888.1127 ,888.1127 ,888.1127 
2014-01-09,883.9306 ,883.9306 ,883.9306 ,883.9306 
2014-01-10,875.7074 ,875.7074 ,875.7074 ,875.7074 
2014-01-13,866.3307 ,866.3307 ,866.3307 ,866.3307 
2014-01-14,875.8107 ,875.8107 ,875.8107 ,875.8107 
2014-01-15,874.0191 ,874.0191 ,874.0191 ,874.0191 
2014-01-16,873.7418 ,873.7418 ,873.7418 ,873.7418 
2014-01-17,869.9965 ,869.9965 ,869.9965 ,869.9965 
2014-01-20,855.8978 ,855.8978 ,855.8978 ,855.8978 
2014-01-21,841.9556 ,841.9556 ,841.9556 ,841.9556 
2014-01-22,846.5295 ,846.5295 ,846.5295 ,846.5295 
2014-01-23,871.8222 ,871.8222 ,871.8222 ,871.8222 
2014-01-24,870.4966 ,870.4966 ,870.4966 ,870.4966 
2014-01-27,858.3137 ,858.3137 ,858.3137 ,858.3137 
2014-01-28,851.7124 ,851.7124 ,851.7124 ,851.7124 
2014-01-29,859.9379 ,859.9379 ,859.9379 ,859.9379 
2014-01-30,862.5194 ,862.5194 ,862.5194 ,862.5194 
2014-02-07,849.6981 ,849.6981 ,849.6981 ,849.6981 
2014-02-10,848.5272 ,848.5272 ,848.5272 ,848.5272 
2014-02-11,843.1367 ,843.1367 ,843.1367 ,843.1367 
2014-02-12,847.5979 ,847.5979 ,847.5979 ,847.5979 
2014-02-13,848.1568 ,848.1568 ,848.1568 ,848.1568 
2014-02-14,855.8582 ,855.8582 ,855.8582 ,855.8582 
2014-02-17,868.3210 ,868.3210 ,868.3210 ,868.3210 
2014-02-18,856.3403 ,856.3403 ,856.3403 ,856.3403 
2014-02-19,860.2954 ,860.2954 ,860.2954 ,860.2954 
2014-02-20,848.6702 ,848.6702 ,848.6702 ,848.6702 
2014-02-21,847.4903 ,847.4903 ,847.4903 ,847.4903 
2014-02-24,820.4499 ,820.4499 ,820.4499 ,820.4499 
2014-02-25,815.2434 ,815.2434 ,815.2434 ,815.2434 
2014-02-26,817.2017 ,817.2017 ,817.2017 ,817.2017 
