YM;ZT;ZM;LW;X;SL;L;LD;J;ZL;J;TA;PVC;DY
1635.17 ;4116.05 ;13513.21 ;3905.32 ;12724.17 ;10057.43 ;13347.92 ;3498.90 ;200.12 ;5530.78 ;15250.61 ;7182.37 ;6866.48 ;6848.29 
1637.99 ;4085.74 ;13668.45 ;3919.15 ;12901.65 ;10175.05 ;13389.59 ;3511.87 ;202.35 ;5624.06 ;15473.21 ;7279.92 ;6882.09 ;6944.62 
1637.04 ;4096.41 ;13680.29 ;3995.11 ;13251.00 ;10259.78 ;13518.82 ;3547.46 ;204.11 ;5733.14 ;16023.96 ;7285.22 ;6943.96 ;7049.16 
1626.23 ;4115.94 ;13627.41 ;4026.70 ;13246.90 ;10387.76 ;13541.42 ;3515.80 ;205.33 ;5705.64 ;16123.57 ;7261.48 ;6942.66 ;6997.80 
1628.37 ;4099.67 ;13609.67 ;4002.56 ;13420.88 ;10376.60 ;13656.39 ;3508.42 ;205.35 ;5735.53 ;16579.71 ;7227.67 ;7008.65 ;7041.98 
1632.58 ;4130.28 ;13616.90 ;4026.00 ;13890.01 ;10534.42 ;13944.58 ;3563.27 ;207.55 ;5844.68 ;16959.82 ;7223.73 ;7041.32 ;7152.81 
1629.10 ;4072.04 ;13619.85 ;4033.00 ;13739.61 ;10323.96 ;13844.21 ;3534.49 ;207.78 ;5785.38 ;16778.00 ;7238.44 ;6945.02 ;7107.88 
1630.39 ;4067.09 ;13576.37 ;4069.58 ;13753.22 ;10356.01 ;13832.64 ;3566.39 ;207.95 ;5735.39 ;16856.65 ;7286.91 ;6922.59 ;7103.07 
1632.57 ;4048.16 ;13626.89 ;4120.76 ;13827.55 ;10489.12 ;13910.87 ;3558.40 ;209.17 ;5768.05 ;16890.79 ;7382.13 ;6948.13 ;7114.10 
1633.56 ;4053.12 ;13677.90 ;4184.09 ;14113.79 ;10530.99 ;14205.99 ;3527.12 ;208.06 ;5688.93 ;17208.01 ;7482.10 ;6970.19 ;7058.47 
1633.41 ;4011.04 ;13697.65 ;4239.67 ;14525.89 ;10709.45 ;14831.51 ;3502.28 ;210.09 ;5652.22 ;17438.66 ;7628.92 ;7162.01 ;6986.85 
1638.82 ;4023.92 ;13678.82 ;4329.94 ;14477.02 ;10827.42 ;14744.53 ;3540.51 ;209.59 ;5845.43 ;17495.40 ;7791.77 ;7205.14 ;7155.68 
1632.82 ;4072.30 ;13602.77 ;4386.57 ;13853.51 ;10641.75 ;14234.61 ;3519.68 ;204.92 ;5797.12 ;17222.20 ;7758.43 ;7156.50 ;7121.73 
1631.91 ;4049.32 ;13607.78 ;4440.08 ;14021.30 ;10761.82 ;14609.65 ;3546.63 ;204.52 ;5826.76 ;17498.81 ;7798.72 ;7442.12 ;7151.24 
1645.94 ;4129.51 ;13631.88 ;4622.99 ;14600.20 ;11161.25 ;15123.08 ;3607.59 ;205.95 ;5990.71 ;18238.23 ;7906.50 ;7621.37 ;7310.87 
1653.02 ;4291.56 ;13671.60 ;4861.00 ;15110.91 ;11558.75 ;14970.69 ;3698.98 ;209.43 ;6226.64 ;18563.48 ;8207.27 ;7704.05 ;7455.74 
1648.86 ;4356.27 ;13617.25 ;4842.58 ;15207.90 ;11484.32 ;15053.86 ;3693.90 ;209.68 ;6260.04 ;18457.39 ;8322.93 ;7486.88 ;7491.87 
1649.34 ;4293.10 ;13615.27 ;4875.89 ;15296.53 ;11730.83 ;15203.34 ;3723.28 ;211.38 ;6264.35 ;18421.45 ;8314.96 ;7491.84 ;7562.94 
1645.20 ;4291.19 ;13509.25 ;4866.90 ;15332.37 ;11739.64 ;15336.55 ;3690.40 ;211.56 ;6184.82 ;18597.42 ;8294.28 ;7711.01 ;7418.69 
1635.00 ;4354.11 ;13464.27 ;4680.17 ;14916.60 ;11329.61 ;14969.22 ;3668.32 ;210.55 ;6234.25 ;18223.63 ;7963.59 ;7548.30 ;7379.24 
1645.21 ;4524.41 ;13630.58 ;4656.55 ;15304.38 ;11481.11 ;15298.38 ;3751.27 ;209.79 ;6534.61 ;18730.86 ;7942.80 ;7653.60 ;7580.37 
1649.67 ;4698.13 ;13883.40 ;4675.73 ;15180.74 ;11674.32 ;15161.70 ;3796.70 ;208.37 ;6509.31 ;19157.64 ;8222.22 ;7909.09 ;7601.24 
1647.36 ;4779.86 ;13813.71 ;4611.52 ;14840.42 ;11598.17 ;14906.82 ;3812.68 ;207.17 ;6517.40 ;18930.30 ;8231.12 ;7765.69 ;7647.62 
1708.16 ;4859.32 ;13907.45 ;4632.84 ;15350.87 ;11840.90 ;15266.32 ;3835.09 ;209.58 ;6568.31 ;19368.61 ;8180.59 ;7853.75 ;7721.40 
1696.63 ;4781.30 ;13717.13 ;4526.42 ;15189.92 ;11722.66 ;15254.12 ;3773.25 ;209.93 ;6447.27 ;19047.06 ;8242.48 ;7648.85 ;7584.25 
1703.33 ;4806.64 ;13524.00 ;4449.33 ;14481.38 ;11162.90 ;14591.67 ;3647.12 ;207.21 ;6183.79 ;18197.55 ;8041.77 ;7328.41 ;7349.97 
1707.21 ;4799.96 ;13562.46 ;4427.88 ;14790.10 ;11346.55 ;15085.61 ;3664.77 ;206.52 ;6270.19 ;18046.18 ;7949.05 ;7305.35 ;7435.75 
1677.44 ;4615.04 ;13436.51 ;4227.50 ;14531.24 ;11095.04 ;14853.99 ;3599.94 ;205.56 ;6145.79 ;17705.79 ;7771.12 ;7126.67 ;7277.88 
1694.48 ;4603.08 ;13534.62 ;4289.11 ;14996.47 ;11230.66 ;14974.95 ;3636.75 ;207.52 ;6310.12 ;18208.80 ;7812.75 ;7243.98 ;7408.26 
1704.51 ;4500.76 ;13445.83 ;4338.85 ;14883.94 ;11101.53 ;14825.86 ;3626.15 ;206.56 ;6231.78 ;17979.36 ;7771.49 ;7237.78 ;7346.91 
1733.40 ;4629.03 ;13581.96 ;4329.42 ;15540.20 ;11344.13 ;15165.70 ;3722.25 ;209.78 ;6454.24 ;18714.12 ;7809.15 ;7353.40 ;7561.77 
1726.19 ;4667.86 ;13497.91 ;4245.99 ;15296.39 ;11090.55 ;14983.90 ;3718.46 ;207.71 ;6420.19 ;18400.87 ;7681.34 ;7214.36 ;7522.41 
1727.45 ;4640.86 ;13364.28 ;4274.03 ;15424.94 ;11095.03 ;15027.43 ;3722.48 ;208.27 ;6437.15 ;18641.72 ;7693.78 ;7217.94 ;7590.75 
1748.87 ;4758.16 ;13305.01 ;4275.76 ;15233.00 ;10889.85 ;14940.14 ;3705.94 ;208.01 ;6382.32 ;18583.92 ;7610.73 ;7223.59 ;7539.54 
1759.33 ;4868.36 ;13339.40 ;4274.68 ;15310.69 ;10993.61 ;15024.52 ;3734.65 ;208.81 ;6432.74 ;18802.15 ;7733.71 ;7247.52 ;7593.98 
1742.33 ;4698.67 ;13265.60 ;4127.24 ;14956.06 ;10679.89 ;14892.49 ;3671.05 ;209.30 ;6226.31 ;17977.06 ;7540.18 ;7112.24 ;7382.32 
1740.89 ;4602.49 ;13313.51 ;4078.13 ;15080.21 ;10597.86 ;14954.24 ;3666.96 ;209.72 ;6195.21 ;18029.34 ;7427.60 ;7022.06 ;7342.42 
1737.07 ;4593.22 ;13195.75 ;4035.86 ;14922.84 ;10205.40 ;14790.46 ;3574.11 ;210.00 ;5976.21 ;17391.49 ;7174.46 ;6899.78 ;7114.43 
1749.47 ;4619.31 ;13250.72 ;4046.55 ;15198.01 ;10348.71 ;14916.47 ;3635.33 ;215.56 ;6033.54 ;17904.04 ;7129.40 ;7001.56 ;7178.37 
1741.84 ;4591.92 ;13286.19 ;4029.95 ;15803.53 ;10286.37 ;15035.16 ;3570.33 ;217.39 ;6015.03 ;18063.85 ;7220.10 ;7004.63 ;7123.36 
1736.60 ;4452.62 ;13464.57 ;3916.41 ;15661.14 ;10359.93 ;14986.59 ;3549.50 ;218.89 ;5867.41 ;18260.82 ;7298.98 ;6948.96 ;6973.75 
1744.28 ;4600.14 ;13496.91 ;3936.86 ;15660.96 ;10322.15 ;15121.79 ;3595.25 ;222.78 ;5942.94 ;18401.99 ;7125.53 ;6887.78 ;7064.80 
1737.66 ;4553.13 ;13481.92 ;4028.50 ;15654.71 ;10405.67 ;15103.72 ;3589.45 ;220.55 ;5983.40 ;18597.84 ;7143.02 ;6971.52 ;7064.65 
1734.51 ;4546.77 ;13470.87 ;3997.38 ;15642.43 ;10467.25 ;15107.87 ;3610.75 ;219.38 ;6003.34 ;18673.14 ;7124.83 ;6929.72 ;7084.35 
1723.35 ;4633.80 ;13462.60 ;3965.98 ;15183.44 ;10471.54 ;14970.99 ;3576.59 ;220.23 ;5903.74 ;18498.88 ;7104.40 ;6912.17 ;7011.74 
1727.83 ;4577.86 ;13602.10 ;3963.14 ;14854.96 ;10003.25 ;14801.72 ;3548.75 ;219.52 ;5707.80 ;17649.20 ;6861.94 ;6769.99 ;6849.00 
1728.94 ;4618.38 ;13793.37 ;3959.86 ;15159.36 ;10012.49 ;14869.93 ;3567.96 ;219.26 ;5766.08 ;17402.87 ;6907.87 ;6821.16 ;6897.94 
1736.43 ;4623.77 ;13707.98 ;4027.73 ;15253.83 ;10065.83 ;14921.93 ;3635.41 ;225.25 ;5926.57 ;17673.78 ;6913.72 ;6831.75 ;7060.70 
1737.01 ;4663.57 ;13776.46 ;3980.97 ;15374.06 ;10034.89 ;15007.63 ;3707.95 ;225.95 ;5972.47 ;17493.75 ;6888.50 ;6816.03 ;7101.91 
1744.62 ;4620.73 ;13785.77 ;3964.70 ;15185.19 ;9818.15 ;14924.40 ;3709.14 ;223.06 ;5924.31 ;17270.93 ;6804.25 ;6748.19 ;7060.63 
1738.22 ;4643.00 ;13779.11 ;3988.84 ;15381.84 ;9784.52 ;14973.88 ;3680.74 ;221.02 ;5935.77 ;17418.93 ;6837.31 ;6770.94 ;7076.15 
1731.97 ;4651.08 ;13745.34 ;3952.86 ;15302.21 ;9825.29 ;14926.14 ;3690.94 ;223.23 ;5841.21 ;17244.56 ;6785.84 ;6749.33 ;6977.65 
1729.98 ;4558.52 ;13806.21 ;3892.76 ;15151.78 ;9779.74 ;14875.29 ;3659.95 ;223.14 ;5835.41 ;16773.47 ;6680.77 ;6688.24 ;6960.24 
1722.71 ;4538.80 ;13954.02 ;3859.18 ;15183.15 ;9647.89 ;14873.99 ;3593.14 ;223.49 ;5757.49 ;17011.45 ;6722.45 ;6589.70 ;6869.15 
1715.80 ;4533.12 ;13892.66 ;3824.24 ;15082.28 ;9530.32 ;14746.09 ;3602.87 ;218.82 ;5778.23 ;17008.82 ;6729.65 ;6522.15 ;6880.76 
1709.47 ;4536.31 ;13719.67 ;3664.03 ;14826.60 ;9495.80 ;14529.77 ;3543.38 ;216.77 ;5685.64 ;16474.68 ;6599.98 ;6359.90 ;6736.31 
1717.90 ;4621.83 ;13768.21 ;3715.11 ;15123.03 ;9505.94 ;14703.60 ;3543.31 ;217.81 ;5700.01 ;16921.80 ;6626.26 ;6368.58 ;6748.68 
1718.03 ;4626.17 ;13749.42 ;3705.80 ;15369.24 ;9846.16 ;14838.81 ;3528.79 ;218.90 ;5731.29 ;17916.06 ;6671.91 ;6503.98 ;6768.02 
1717.68 ;4553.97 ;14043.95 ;3659.57 ;15795.82 ;10124.38 ;14828.72 ;3586.10 ;229.35 ;5814.93 ;18645.74 ;6697.24 ;6503.95 ;6905.10 
1718.69 ;4483.87 ;14195.17 ;3676.83 ;15895.16 ;10374.93 ;14892.56 ;3657.98 ;230.35 ;5963.45 ;18700.51 ;6942.94 ;6705.92 ;7096.78 
1732.72 ;4495.82 ;14152.57 ;3651.22 ;15916.90 ;10227.26 ;14924.69 ;3644.28 ;231.22 ;5949.16 ;18921.80 ;6996.42 ;6644.34 ;7063.84 
1736.50 ;4501.41 ;14348.02 ;3665.95 ;16132.80 ;10383.85 ;14953.19 ;3665.42 ;233.42 ;6003.06 ;18846.66 ;7129.20 ;6659.71 ;7117.86 
1732.67 ;4426.30 ;14310.14 ;3739.08 ;15884.85 ;10340.02 ;14898.43 ;3663.12 ;231.49 ;5973.96 ;18590.14 ;7188.14 ;6708.85 ;7075.56 
1744.95 ;4473.21 ;14372.36 ;3814.13 ;15938.97 ;10306.23 ;14919.68 ;3697.90 ;230.02 ;6091.32 ;18745.46 ;7228.97 ;6707.24 ;7223.70 
1747.63 ;4582.66 ;14666.06 ;3853.29 ;16085.25 ;10514.49 ;14964.14 ;3705.89 ;231.47 ;6130.85 ;19130.03 ;7391.36 ;6788.71 ;7238.02 
1743.77 ;4551.88 ;14619.47 ;3834.55 ;16221.21 ;10571.10 ;15015.91 ;3702.09 ;234.20 ;6096.08 ;19272.98 ;7324.93 ;6829.67 ;7210.74 
1747.28 ;4484.79 ;14417.64 ;3879.05 ;16185.31 ;10493.22 ;14953.86 ;3721.65 ;231.91 ;6050.45 ;19043.81 ;7123.11 ;6707.32 ;7178.11 
1741.86 ;4513.23 ;14465.58 ;3851.50 ;16423.98 ;10555.91 ;14962.39 ;3703.35 ;231.59 ;6071.36 ;18849.84 ;7172.53 ;6749.81 ;7192.36 
1753.56 ;4547.41 ;14507.15 ;3885.93 ;16754.07 ;10842.24 ;15071.49 ;3740.17 ;232.91 ;6236.59 ;19267.10 ;7309.87 ;6817.29 ;7385.23 
1750.33 ;4652.48 ;14596.07 ;3996.00 ;17241.25 ;10884.54 ;15226.10 ;3752.22 ;231.77 ;6230.38 ;19242.13 ;7527.30 ;6886.85 ;7382.78 
1744.37 ;4636.55 ;14572.64 ;3972.56 ;17131.66 ;10805.97 ;15177.64 ;3712.91 ;229.22 ;6114.75 ;19226.96 ;7494.46 ;6843.13 ;7262.81 
1737.85 ;4648.63 ;14773.42 ;3872.31 ;16906.41 ;10800.87 ;15257.62 ;3678.52 ;228.87 ;6075.99 ;19349.01 ;7458.60 ;6820.09 ;7235.25 
1741.18 ;4647.20 ;14569.87 ;3842.67 ;16470.33 ;10538.23 ;15112.80 ;3665.48 ;227.44 ;6000.46 ;18980.17 ;7263.93 ;6691.71 ;7159.17 
1739.39 ;4632.19 ;14628.01 ;3882.68 ;16829.00 ;10723.18 ;15215.92 ;3679.80 ;230.54 ;6052.88 ;19441.06 ;7400.04 ;6745.04 ;7213.04 
1744.23 ;4642.35 ;14729.18 ;3926.97 ;16726.73 ;10684.23 ;15176.32 ;3711.28 ;230.60 ;6037.47 ;19161.96 ;7383.99 ;6728.78 ;7203.00 
1742.65 ;4678.89 ;14749.57 ;3905.44 ;16736.27 ;10554.05 ;15168.37 ;3726.25 ;233.79 ;6045.54 ;19139.28 ;7340.87 ;6712.28 ;7228.95 
1739.22 ;4684.30 ;14746.40 ;3922.12 ;16982.66 ;10638.02 ;15208.72 ;3740.88 ;237.97 ;6097.11 ;19181.62 ;7435.29 ;6723.60 ;7281.44 
1739.94 ;4647.38 ;14756.04 ;3947.69 ;16854.95 ;10641.52 ;15177.20 ;3725.63 ;238.05 ;6106.47 ;18999.27 ;7510.09 ;6681.68 ;7250.39 
1738.37 ;4660.59 ;14859.35 ;4012.73 ;16906.30 ;10875.57 ;15201.87 ;3724.65 ;239.15 ;6184.59 ;19167.43 ;7518.64 ;6731.00 ;7285.84 
1739.10 ;4701.50 ;15097.41 ;4089.57 ;17008.94 ;10976.17 ;15192.78 ;3725.19 ;242.08 ;6187.92 ;19307.23 ;7615.82 ;6749.72 ;7303.58 
1750.30 ;4669.83 ;15198.75 ;4079.16 ;16715.65 ;11011.10 ;15136.84 ;3710.94 ;240.75 ;6163.76 ;19285.25 ;7647.60 ;6958.45 ;7289.60 
1753.32 ;4663.61 ;15421.83 ;4082.36 ;16783.12 ;11112.92 ;15150.54 ;3722.33 ;242.53 ;6211.34 ;19713.48 ;7764.28 ;6991.34 ;7345.26 
1759.86 ;4662.57 ;15340.36 ;4064.25 ;17043.78 ;11242.27 ;15167.48 ;3732.38 ;245.49 ;6263.57 ;20431.09 ;7753.25 ;7043.17 ;7379.93 
1761.31 ;4665.30 ;15338.08 ;4107.87 ;17245.39 ;11451.91 ;15182.88 ;3768.28 ;242.88 ;6253.56 ;20550.92 ;7735.87 ;7066.03 ;7387.31 
1768.32 ;4729.78 ;15307.64 ;4112.08 ;17433.98 ;11498.57 ;15318.67 ;3779.75 ;247.36 ;6362.34 ;20628.84 ;7691.52 ;7090.48 ;7523.98 
1769.46 ;4702.37 ;15425.09 ;4119.25 ;17513.26 ;11509.14 ;15348.08 ;3762.65 ;248.49 ;6386.85 ;20741.78 ;7860.32 ;7098.79 ;7531.96 
1771.12 ;4707.45 ;15424.65 ;4143.73 ;17810.71 ;11667.76 ;15473.04 ;3805.54 ;249.51 ;6483.63 ;21321.38 ;7884.95 ;7189.38 ;7667.64 
1772.72 ;4719.34 ;15354.20 ;4209.97 ;17871.37 ;11563.72 ;15552.37 ;3801.09 ;250.28 ;6501.62 ;21575.78 ;7890.62 ;7137.23 ;7665.94 
